StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
175,Government Boys Municipal Corporation School Bogra. (Male),32.47486,74.52454,Male,Punjab,2,0,1099,0
176,Government Boys Municipal Corporation School Bogra. (Female),32.47486,74.52457,Female,Punjab,0,2,0,959
177,Government Girls Municipal Corporation School Bogra.,32.47486,74.5246,Combined,Punjab,1,1,809,618
163,Government Girls High School Fateh Garh Road. (Male) (P),32.47756,74.51575,Male,Punjab,3,0,1712,0
164,Government Girls High School Fateh Garh Road. (Female) (P),32.47756,74.51578,Female,Punjab,0,2,0,1444
167,Government Girls High School Fateh Garh. (Female) (P),32.47756,74.51581,Female,Punjab,0,2,0,1354
169,Government Girls High School Fateh Garh. (Female) (P),32.47756,74.51584,Female,Punjab,0,2,0,1203
170,Registered Pak Grammar High School Rehmanpura Fateh Garh.(Near Pani Wali Tanki) (Male) (P),32.47779,74.52308,Male,Punjab,2,0,1443,0
171,Registered Pak Grammar High School Rehmanpura Fateh Garh.(Near Pani Wali Tanki) (Female) (P),32.47779,74.52311,Female,Punjab,0,2,0,1151
172,Registered Pak Grammar High School Rehmanpura Fateh Garh.(Near Pani Wali Tanki) (Male) (P),32.47779,74.52314,Male,Punjab,3,0,1698,0
173,Registered Pak Grammar High School Rehmanpura Fateh Garh.(Near Pani Wali Tanki) (Female) (P),32.47779,74.52317,Female,Punjab,0,3,0,1460
125,Government Girls High School Kothi Wala Mohallah Haji Pura.(Male) (P),32.47931,74.52418,Male,Punjab,2,0,1264,0
126,Government Girls High School Kothi Wala Mohallah Haji Pura.(Female)(P),32.47931,74.52421,Female,Punjab,0,2,0,1006
127,Government Girls High School Kothi Wala Mohallah Haji Pura. (Male) (P),32.47931,74.52424,Male,Punjab,3,0,1572,0
128,Government Girls High School Kothi Wala Mohallah Haji Pura. (Female) (P),32.47931,74.52427,Female,Punjab,0,2,0,1336
129,Government Girls High School Kothi Wala Mohallah Haji Pura.(Male)  (P),32.47931,74.5243,Male,Punjab,2,0,1288,0
130,Government Girls High School Kothi Wala Mohallah Haji Pura.(Female)  (P),32.47931,74.52433,Female,Punjab,0,2,0,1141
115,Government Girls College for women Haji Pura. (Male) (P),32.48026,74.52743,Male,Punjab,2,0,1151,0
116,Government Girls College for women Haji Pura. (Female) (P),32.48026,74.52746,Female,Punjab,0,2,0,982
117,Government Girls College for women Haji Pura. (Male) (P),32.48026,74.52749,Male,Punjab,2,0,1505,0
118,Government Girls College for women Haji Pura. (Female) (P),32.48026,74.52752,Female,Punjab,0,2,0,1215
174,Government Girls College for women Haji Pura  (P),32.48026,74.52755,Combined,Punjab,1,1,847,695
124,Government Girls High School Kothi Wala Mohallah Haji Pura. (P),32.48046,74.5259,Combined,Punjab,1,1,860,745
165,Government Boys Primary School Fateh Garh Road. (P),32.48172,74.51868,Combined,Punjab,1,1,724,591
