StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
133,Government Girls Primary School Nanowali  (P),32.37474,74.57175,Combined,Punjab,1,1,741,521
17,Government Model Primary School Rehmat Abad. (P),32.37533,74.57066,Combined,Punjab,1,1,737,579
130,Government Girls Primary School Tong. (P),32.37747,74.54995,Combined,Punjab,1,1,771,492
107,Government Girls Elementary School Bharoke  (P),32.38451,74.62229,Combined,Punjab,1,1,843,617
110,Government Girls Primary School Sadharwali. (P),32.38451,74.62232,Combined,Punjab,1,1,654,440
129,Government Model Elementary School Gurdan Pur. (P),32.38611,74.58832,Combined,Punjab,2,1,981,733
109,Government Girls Primary School Jajjey Ramdas. (P),32.38805,74.64053,Combined,Punjab,1,1,619,430
16,Government Girls High School Partanwali(Female) (P),32.39171,74.53632,Female,Punjab,0,2,0,1125
131,Government Model Elementary School Ghurri. (P),32.39187,74.57619,Combined,Punjab,1,1,625,431
18,Government Girls Primary School Akewali (P),32.39197,74.51339,Combined,Punjab,1,1,466,341
19,Government Model Primary School Bhaniwali.  (P),32.39219,74.51517,Combined,Punjab,2,1,906,734
15,Government Boys Elementary Schooll Partanwali(Male) (P),32.39288,74.53547,Male,Punjab,2,0,1457,0
132,Government Model Elementary School Kohar. (P),32.39789,74.54546,Combined,Punjab,1,1,680,420
20,Government Girls Elementry School  Kot Kora. (P),32.39922,74.51792,Combined,Punjab,1,1,575,432
108,Government Girls Primary School Chandar. (P),32.40414,74.64873,Combined,Punjab,1,1,435,269
125,Government Model Primary School Walana. (P),32.40503,74.55574,Combined,Punjab,1,1,750,462
58,Government Girls Primary School Chak Gillan. (P),32.40962,74.53279,Combined,Punjab,2,2,1018,734
122,Government Girls Higher Secondary School Varyo. (Male) (P),32.40965,74.58525,Male,Punjab,2,0,1194,0
123,Government Girls Higher Secondary School Varyo. (Female) (P),32.40965,74.58528,Female,Punjab,0,2,0,963
115,Government Girls High School Gunna Kalan (Male) (P),32.41311,74.62885,Male,Punjab,3,0,1618,0
116,Government Girls High SchoolGunna Kalan (Female) (P),32.41311,74.62888,Female,Punjab,0,2,0,1207
126,Government Boys Primary School Dhillam Ghazi. (P),32.41486,74.55457,Combined,Punjab,1,1,610,413
106,Government Model Elementary School Wadianwala. (P),32.41528,74.65303,Combined,Punjab,2,1,988,663
119,Government Girls Primary School Garbla Sydan. (P),32.41529,74.60845,Combined,Punjab,1,1,532,399
127,Government Boys High School Sahu Wali.(Male) (P),32.41572,74.58601,Male,Punjab,2,0,1356,0
55,Government Girls Higher Secondery School Hundal.,32.41662,74.52546,Combined,Punjab,1,1,813,545
52,Government Boys High School Ladhar  (P),32.41717,74.51757,Combined,Punjab,1,1,811,517
53,Government Boys High School Ladhar (Male) (P),32.41717,74.5176,Male,Punjab,2,0,1254,0
54,Government Boys High School Ladhar (Female) (P),32.41717,74.51763,Female,Punjab,0,2,0,975
128,Government Girls Primery School Sahu Wali. (Female),32.41731,74.58541,Female,Punjab,0,2,0,1096
120,Government Model Primary School Sattowali. (P),32.42235,74.55383,Combined,Punjab,1,1,632,447
56,Government Boys Elementary School Hundal (Male) (P),32.42244,74.52753,Male,Punjab,3,0,1655,0
57,Government Boys Elementary School Hundal (Female) (P),32.42244,74.52756,Female,Punjab,0,2,0,1156
124,Government Boys Elementary School Mandianwala. (P),32.42543,74.57569,Combined,Punjab,1,1,887,633
117,Government Model Primery School Kot Rajkor.,32.42636,74.62652,Combined,Punjab,1,1,805,607
12,Government Model High School For Boys Gujran wala,32.429,74.54414,Combined,Punjab,1,1,702,570
121,Government Girls Primary School Dhudian Wali. (P),32.42905,74.55534,Combined,Punjab,2,1,913,621
59,Government Model Primary School Gato Rora. (P),32.42997,74.51031,Combined,Punjab,1,1,892,653
11,Government Model Primary School Parag Pur. (P),32.43233,74.5736,Combined,Punjab,1,1,724,578
7,Government Model Primary School Sadrana. (P),32.43444,74.57944,Combined,Punjab,2,1,967,710
105,Government Girls ElementarySchool Ratta Arian. (P),32.4355,74.64901,Combined,Punjab,2,1,1116,651
21,Government Model Primary School Anjotar. (P),32.43653,74.53372,Combined,Punjab,2,2,1008,741
98,Government Boys Primary School Kotli Jaspal. (P),32.43781,74.65084,Combined,Punjab,1,1,736,536
101,Government Boys High School Bhagowal. (Male) (P),32.43827,74.67284,Male,Punjab,2,0,1305,0
102,Government Boys High School Bhagowal. (Female) (P),32.43827,74.67287,Female,Punjab,0,2,0,995
103,Government Boys High School Bhagowal.  (P),32.43827,74.6729,Combined,Punjab,1,1,782,613
104,Government Boys Primary School Gahoga. (P),32.43829,74.65629,Combined,Punjab,2,1,1032,671
118,Government Boys Primary School Guna Khurd.  (P),32.4383,74.58981,Combined,Punjab,2,1,984,676
112,Government Model Primary School Vinjal. (P),32.44082,74.63298,Combined,Punjab,1,1,671,494
111,Government Girls Elementary School Nedoke. (P),32.44083,74.63297,Combined,Punjab,2,2,1074,824
13,Government Boys Primary School Kot Mandianwala. (P),32.4425,74.55972,Combined,Punjab,2,2,972,853
14,Government Girls Primary School Kotli Har Narainan. (P),32.4425,74.55975,Combined,Punjab,1,1,774,624
28,Government Boys High School Channu Moom.(Male) (P),32.44292,74.52303,Male,Punjab,3,0,1764,0
29,Government Boys High School Channu Moom.(Female) (P),32.44292,74.52306,Female,Punjab,0,3,0,1519
6,Government Model Primary School Lakhan Pur.,32.44341,74.57178,Combined,Punjab,1,1,480,329
39,Government Girls High School Bhadal. (Female),32.44596,74.51945,Female,Punjab,0,2,0,1242
38,Basic Health Unit Bhadal.(Male) (P),32.44696,74.5179,Male,Punjab,3,0,1609,0
4,Basic Health Unit Chouni Sulehrian.(Male) (P),32.4475,74.56778,Male,Punjab,2,0,1287,0
113,Government Model Elementary School Pathanwali. (Male) (P),32.44757,74.61278,Male,Punjab,2,0,1253,0
114,Government Model Elementary School Pathanwali. (Female) (P),32.44757,74.61281,Female,Punjab,0,2,0,968
22,Government Model School Chrind. (Male-Portion) (Male) (P),32.44843,74.53838,Male,Punjab,2,0,1178,0
23,Government Model School Chrind. (Female-Portion) (Female) (P),32.44843,74.53841,Female,Punjab,0,2,0,942
45,Government  Boys High School Kotli Amir Ali.(Male)(P),32.44907,74.47739,Male,Punjab,2,0,1159,0
46,Government  Boys High School Kotli Amir Ali.(Female)(P),32.44907,74.47742,Female,Punjab,0,2,0,1000
10,Government Boys Elementary School Dhera Sandha. (Female) (P),32.45028,74.57583,Female,Punjab,0,2,0,1335
9,Government Boys Elementary School Dhera Sandha. (Male) (P),32.45028,74.57586,Male,Punjab,3,0,1634,0
1,Government Girls Primary School Matanwala (Male) (P),32.45056,74.57583,Male,Punjab,2,0,1400,0
2,Government Girls High School Dhera Sandha (Matanwala) (Female) (P),32.45083,74.57583,Female,Punjab,0,2,0,1004
3,Government Girls High School Dhera Sandha (Matanwala).(P),32.45083,74.57586,Combined,Punjab,1,1,424,331
47,Government Model Primary School Sadra Badra.(Male-Portion)(Male) (P),32.45121,74.5051,Male,Punjab,2,0,1073,0
48,Government Model Primary School Sadra Badra.(Female-Portion)(Female) (P),32.45121,74.50513,Female,Punjab,0,2,0,916
76,Government Girls Primary School  Lalokay. (P),32.45286,74.53076,Combined,Punjab,1,1,689,575
51,Government Boys Primary School Miani. (P),32.45383,74.49184,Combined,Punjab,1,1,617,512
49,Government Girls High School Miani (Male) (P),32.45493,74.49256,Male,Punjab,2,0,1382,0
50,Government Girls High School Miani (Female) (P),32.45493,74.49259,Female,Punjab,0,2,0,1065
8,Government Boys Elementrey School Noor Pura (Dheera Sandha) (P),32.45667,74.56361,Combined,Punjab,1,1,669,468
96,Government Model Primary School Kaiss (P),32.45667,74.59473,Combined,Punjab,1,1,807,639
24,Government Model Elementry School Kotla Ambanwala.(Male-Portion)(Male)(P),32.45675,74.54546,Male,Punjab,2,0,1470,0
25,Government Model Elementry School Kotla Ambanwala.(Female)(P),32.45675,74.54549,Female,Punjab,0,2,0,1159
