StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
157,Government Boys High School Shahzada (Female) (P),32.29936,74.75308,Female,Punjab,0,2,0,1120
158,Government Boys High School Shahzada. (P),32.29936,74.75311,Combined,Punjab,1,1,547,474
156,Government Girls High School Shahzada (Male) (P),32.30197,74.7552,Male,Punjab,2,0,1262,0
153,Government Girls Primary School Daria Nangal (P),32.30528,74.77972,Combined,Punjab,1,1,509,387
152,Government Girls Primery School Chak Machana.,32.30977,74.81497,Combined,Punjab,1,1,677,491
155,Government Boys Primary School Dhoul. (P),32.31039,74.75826,Combined,Punjab,1,1,869,641
154,Government Girls High School Chahur.  (P),32.31942,74.83024,Combined,Punjab,2,2,951,810
150,Government Girls Elementary School Seowal (Male) (P),32.3198,74.78346,Male,Punjab,2,0,1306,0
151,Government Girls Elementary School Seowal (Female) (P),32.3198,74.78349,Female,Punjab,0,2,0,1047
149,Government Boys Elementary School Seowal.,32.32069,74.78255,Combined,Punjab,1,1,729,582
6,Government Girls Primary School Rajian. (P),32.32276,74.74136,Combined,Punjab,1,1,510,394
7,Government Girls Primary School Hameed Pur (P),32.33361,74.73972,Combined,Punjab,2,2,991,782
161,Government Girls Primary School Said Pur Hanjli. (PEF),32.33543,74.85128,Combined,Punjab,1,1,417,331
159,Government Boys Primary School Eis Pur. (P),32.3364,74.82056,Combined,Punjab,1,1,555,447
144,Government Boys Primary School Dheroke/Bambe.,32.34049,74.79192,Combined,Punjab,1,1,798,606
145,Government Girls Primary School Khan Hari. (P),32.34084,74.76569,Combined,Punjab,1,1,377,264
162,Government Boys  Primary School Jhatokay. (P),32.34228,74.82271,Combined,Punjab,2,2,997,805
46,Government Girls Primary School No.2 Chwinda. (P),32.34306,74.70294,Combined,Punjab,1,1,598,431
8,Basic Health Unit Kotli Saiydan (P),32.34306,74.74305,Combined,Punjab,1,1,530,457
50,Office Assistant Education Officer (Women) Chwinda. (Female) (P),32.34333,74.70444,Female,Punjab,0,2,0,908
47,Government Boys Primary School No.1 Chwinda.(Male)  (P),32.3441,74.70341,Male,Punjab,2,0,1182,0
48,Government Boys Primary School No.1 Chwinda.(Female)  (P),32.3441,74.70344,Female,Punjab,0,2,0,1012
141,Government Boys High School Thro. (P),32.34452,74.80611,Combined,Punjab,2,1,951,678
49,Government Boys DC High School Chawinda Upper Building . (Male) (P),32.34599,74.70546,Male,Punjab,2,0,981,0
52,Government Boys DC High School Chawinda Upper Building . (Male) (P),32.34599,74.70549,Male,Punjab,2,0,1182,0
53,Government Boys DC High School Chawinda Upper Building . (Female) (P),32.34599,74.70552,Female,Punjab,0,2,0,1032
51,Office Committee Ghar Chawinda. (P),32.34611,74.70444,Combined,Punjab,1,1,462,432
5,Government Boys Primary School Dogranwali. (P),32.34657,74.7474,Combined,Punjab,2,2,1008,848
43,Government Girls Higher Secondery School Chawinda.(Female)  (P),32.34676,74.71034,Female,Punjab,0,2,0,1261
146,Government Model Primary School Mata Hari. (P),32.34681,74.76083,Combined,Punjab,1,1,812,554
42,Government Girls Higher Secondery School Chawinda.(Male)  (P),32.34686,74.70895,Male,Punjab,2,0,1458,0
41,Government Girls Primary School No.1 Chawinda. (P),32.34694,74.70889,Combined,Punjab,1,1,672,583
147,Government Boys Primary School Dogri Harian(Male) (P),32.34747,74.77294,Male,Punjab,2,0,1499,0
40,Government Boys Islamia High School Chawinda. (P),32.3475,74.70083,Combined,Punjab,1,1,785,588
148,Government Girls High School Dogri Harian.(Female),32.348,74.77144,Female,Punjab,0,2,0,1200
38,Government Boys Primary School No.2 Bording House Chwinda. (Male) (P),32.34818,74.70185,Male,Punjab,2,0,1211,0
39,Government Boys Primary School No.2 Bording House Chwinda. (Female) (P),32.34818,74.70188,Female,Punjab,0,2,0,1051
36,Government Boys Degree College Chawinda.(Male) (P),32.3493,74.69719,Male,Punjab,2,0,1041,0
37,Government Boys Degree College Chawinda.(Female) (P),32.34952,74.69721,Female,Punjab,0,2,0,798
160,Government Girls Primary School Mehtab Pur Hanjli. (P),32.35002,74.84339,Combined,Punjab,1,1,613,415
