StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
130,Government Girls Primary School Kotli Gopi Rai (P),32.16593,74.72729,Combined,Punjab,1,1,815,568
100,Government Boys Primary School Panjgrain (P),32.17078,74.74944,Combined,Punjab,2,1,955,713
131,Government Girls Elementary School Wahga (P),32.17921,74.71698,Combined,Punjab,1,1,551,450
124,Government Boys Primary School Khewa Bajwa (P),32.18466,74.65285,Combined,Punjab,1,1,744,634
123,Government Girls Primery School Chak Ishaq.,32.19164,74.6813,Combined,Punjab,1,1,406,327
101,Government Boys Elementary School Takhat Pur (P),32.19313,74.72993,Combined,Punjab,1,1,857,673
122,Civil Dispensary Uncha Paharang (P),32.19316,74.69687,Combined,Punjab,2,1,939,680
121,Government Girls Primary School Pohla. (P),32.1939,74.72141,Combined,Punjab,1,1,451,364
132,Government Boys Islamia High School Kalass Wala. (P),32.20181,74.64957,Combined,Punjab,1,1,624,421
133,Government Boys Islamia High School Kalass Wala. (Male) (P),32.20181,74.6496,Male,Punjab,3,0,1629,0
134,Government Boys Islamia High School Kalass Wala. (Female) (P),32.20181,74.64963,Female,Punjab,0,2,0,1357
135,Government Girls  High School Kalass Wala. (P),32.20292,74.64727,Combined,Punjab,1,1,767,571
136,Government Girls  High School Kalass Wala. (Male) (P),32.20292,74.6473,Male,Punjab,3,0,1848,0
137,Government Girls  High School Kalass Wala. (Female) (P),32.20292,74.64733,Female,Punjab,0,2,0,1587
102,Government Girls Primary School Chak Qurashian (P),32.20454,74.73575,Combined,Punjab,1,1,507,347
105,Government Girls High School Chicherwali. (P),32.21087,74.57901,Combined,Punjab,1,1,593,443
107,Government Girls High School Chicherwali. (Female) (P),32.21087,74.57904,Female,Punjab,0,2,0,995
120,Government Girls Primary School Kalowali Khurd (P),32.21291,74.72688,Combined,Punjab,1,1,638,468
114,Government Girls Elementary SchoolQazi Paharang  (P),32.21438,74.69231,Combined,Punjab,2,1,908,558
99,Government Girls Primary School Sojowali (P),32.21438,74.74474,Combined,Punjab,1,1,591,475
106,Government Boys High SchoolChicherwali.(Male) (P),32.21509,74.58524,Male,Punjab,2,0,1279,0
129,Government Girls Elementry  School Bhulair Bajwa.,32.21519,74.61301,Combined,Punjab,1,1,540,354
127,Government Boys Elementary School Bholair Bajwa. (Male) (P),32.21545,74.61271,Male,Punjab,3,0,1669,0
128,Government Boys Elementary School Bholair Bajwa. (Female) (P),32.21545,74.61274,Female,Punjab,0,2,0,1289
116,Government Girls Elementary School Haibat Pur. (P),32.21867,74.67145,Combined,Punjab,1,1,626,481
109,Government Girls Elementary School Kalowali Saydan  (P),32.22457,74.72759,Combined,Punjab,2,2,1050,732
