StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
45,Government Boys Primary School Manga Qadeem.(Male) (P),32.06738,74.56555,Male,Punjab,2,0,1314,0
46,Government Girls Primrey  School New Manga.(Female),32.07573,74.54473,Female,Punjab,0,2,0,909
50,Government Boys High School Ghatailian (Male)  (P),32.08213,74.63246,Male,Punjab,2,0,1517,0
48,Government Model Elementary School Malokey. (Male) (P),32.0825,74.571,Male,Punjab,2,0,1246,0
49,Government Model Elementary School Malokey. (Female) (P),32.0825,74.57103,Female,Punjab,0,2,0,929
51,Government Comunity Model School Ghatailian (Female)  (P),32.08336,74.62528,Female,Punjab,0,2,0,1301
44,Government Girls Primary School Data Zaid Ka. (P),32.08595,74.60022,Combined,Punjab,1,1,479,407
38,Government Shahzeb Shaheed High  School Qila Kalar Wala. (Female) (P),32.08728,74.57349,Female,Punjab,0,2,0,1200
39,Government Shahzeb Shaheed High School Qila Kalar Wala. (P),32.08728,74.57352,Combined,Punjab,2,2,963,787
40,Government Shahzeb Shaheed High School Qila Kalar Wala. (Male) (P),32.08728,74.57355,Male,Punjab,2,0,1219,0
41,Government Shahzeb Shaheed High School Qila Kalar Wala. (Female) (P),32.08728,74.57358,Female,Punjab,0,2,0,1022
42,Government Boys Primary School Data Zaid Ka. (Male) (P),32.0882,74.59836,Male,Punjab,2,0,1544,0
43,Government Boys Primary School Data Zaid Ka. (Female) (P),32.0882,74.59839,Female,Punjab,0,2,0,1144
178,Government.Model Elementry School Guro Chak/ Uggo Chak. (P),32.09147,74.52393,Combined,Punjab,2,1,924,606
47,Government Boys Primary School Saudagar Pur. (P),32.09169,74.55688,Combined,Punjab,1,1,622,527
37,Government Girls High School Qila Kalar Wala. (Male) (P),32.09235,74.57488,Male,Punjab,2,0,1550,0
36,Government Girls Primrey  School Bhelo Mattu.,32.09954,74.59689,Combined,Punjab,1,1,590,453
35,Government Model Primary School Kotli Tarar. (P),32.10463,74.60427,Combined,Punjab,1,1,550,444
177,Government Girls Model Elementary SchoolLoharanwali. (P),32.1108,74.54326,Combined,Punjab,1,1,626,507
12,Government Boys Elementary School Bharoke. (P),32.11178,74.64729,Combined,Punjab,1,1,736,587
33,Government Girls Primary School Kalo Ghazi. (P),32.11754,74.58172,Combined,Punjab,1,1,602,451
11,Government Girls Elementary  School Fateh Wali.,32.11818,74.64566,Combined,Punjab,1,1,426,317
29,Government Girls Elementary School Khan  Jaja. (P),32.11966,74.59009,Combined,Punjab,1,1,813,688
34,Government Girls Elementary School Shamir Pur. (P),32.1199,74.6015,Combined,Punjab,1,1,624,452
162,Government Girls High School Bhaghat Pur. (Male) (P),32.12517,74.53101,Male,Punjab,2,0,1322,0
163,Government Girls High School Bhaghat Pur. (Female) (P),32.12517,74.53104,Female,Punjab,0,2,0,984
32,Government Girls Primary School Jamke Dhandhisa. (P),32.12593,74.61131,Combined,Punjab,1,1,470,341
10,Government Boys Primary School Lala Sayda. (P),32.12621,74.65693,Combined,Punjab,2,1,983,695
30,Government Boys Primery School Hanjra. (P),32.13536,74.57891,Combined,Punjab,2,1,929,730
9,Government Boys Primary School Meero Bhadiar (P),32.13573,74.63885,Combined,Punjab,2,2,1034,797
31,Government Boys  Primary School Husa jaja. (P),32.13762,74.5639,Combined,Punjab,2,2,1014,791
165,Government Girls Primary School Rao Ke. (P),32.13942,74.51841,Combined,Punjab,1,1,644,379
78,Government Boys Primary School Mand. (P),32.13953,74.45084,Combined,Punjab,1,1,714,531
164,Government Boys Primary School Kotli Baba Hira. (P),32.14264,74.49847,Combined,Punjab,1,1,559,418
166,Government Girls Elementary School Chhangi.  (Male) (P),32.14692,74.52621,Male,Punjab,2,0,1203,0
167,Government Boys Elementry  School Changi. (Female),32.14692,74.52624,Female,Punjab,0,2,0,828
1,Government Boys High School Saukin  Wind (Male) (P),32.14906,74.61781,Male,Punjab,2,0,1208,0
2,Government Boys High School Saukin  Wind (Female) (P),32.14906,74.61784,Female,Punjab,0,2,0,954
8,Government Boys Primary School Bharoke  (P),32.1499,74.66245,Combined,Punjab,2,1,999,637
56,GBoys Primary School Basu Panu. (P),32.15223,74.56139,Combined,Punjab,2,2,1038,752
17,Government Girls Community Model Thatha Bawa. (P),32.1525,74.62139,Combined,Punjab,1,1,793,566
5,Government Girls Primary School Rajadewali. (P),32.1525,74.62155,Combined,Punjab,1,1,703,543
170,Government Boys Primary School Nand Pur. (P),32.15362,74.53712,Combined,Punjab,1,1,514,326
3,Government Girls High School Saukinwind (Male),32.15383,74.6203,Male,Punjab,2,0,1587,0
4,Government Girls High School Saukinwind. (Female),32.15383,74.62033,Female,Punjab,0,2,0,1250
6,Government Boys Elementary School Chuhar Munda. (Male)(P),32.15451,74.64525,Male,Punjab,2,0,1271,0
57,Government Boys High School Ratta Jathol(Male) (P),32.15556,74.57833,Male,Punjab,2,0,1245,0
58,Government Boys High School Ratta Jathol(Female)(P),32.15556,74.57836,Female,Punjab,0,2,0,955
7,Government Girls Elementary School Chuhar Munda.(Female),32.15755,74.64352,Female,Punjab,0,2,0,924
25,Government Boys High School Dhodha. (Male)  (P),32.16059,74.6883,Male,Punjab,2,0,1502,0
26,Government Boys High School Dhodha. (Female)  (P),32.16059,74.68833,Female,Punjab,0,2,0,1074
28,Government Girls High School Dhodha.,32.16233,74.69751,Combined,Punjab,1,1,844,645
16,Government Model Primary School Shah Hussain. (P),32.16352,74.66909,Combined,Punjab,1,1,803,500
123,Government Girls Primary School  Thatha Umra. (P),32.16911,74.4819,Combined,Punjab,1,1,486,360
115,Government Boys Elementary School Ismail Ky. (P),32.1718,74.4258,Combined,Punjab,1,1,791,575
59,Government Girls Elementary School Khairay. (P),32.17327,74.59412,Combined,Punjab,1,1,654,482
168,Government Girls Primary School Kot Mokhal. ( Male) (P),32.17563,74.52668,Male,Punjab,2,0,1129,0
