StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
73,Government Boys Elementary School Waan.(Male) (P),32.4015,74.29673,Male,Punjab,2,0,1143,0
74,Government Girls High School Waan. (Female),32.40615,74.29315,Female,Punjab,0,2,0,908
70,Government Girls Primary School Fateh Garh. (P),32.41288,74.27531,Combined,Punjab,1,1,424,308
68,Government Boys Primary School Chak Bhada (P),32.41906,74.23298,Combined,Punjab,1,1,682,597
69,Government Girls Primary School Farhad pur. (P),32.41906,74.23301,Combined,Punjab,1,1,342,223
77,Government Girls Primary School Noor Pur Saydan (P),32.41951,74.31973,Combined,Punjab,1,1,905,690
78,Government Boys High School Malkhanwala (Male)  (P),32.42088,74.30453,Male,Punjab,3,0,1663,0
71,Government Boys High School Ghartal (Male) (P),32.42629,74.24683,Male,Punjab,3,0,1510,0
75,Government Boys Primary School Kang (P),32.42703,74.29387,Combined,Punjab,2,1,924,752
103,Government Girls High School Mandair Khurd (Male)(P),32.42949,74.37524,Male,Punjab,2,0,1327,0
76,Government Model Primary School Baryar. (P),32.43053,74.3002,Combined,Punjab,1,1,410,324
40,Government Girls Elementary School Kothiala (Female) (P),32.43568,74.26753,Female,Punjab,0,2,0,1072
41,Government Model Primary School Kot Malian (Malian Wala) (P),32.43568,74.26756,Combined,Punjab,1,1,741,476
42,Government Boys Primary School panu Atari (P),32.43583,74.27203,Combined,Punjab,1,1,715,482
43,Government Model Primary School Kot Malian (Malian Wala) (P),32.43583,74.27206,Combined,Punjab,1,1,903,629
44,Government Girls Primary School Kotli Khokhran Kalan.(Male) (P),32.43583,74.27209,Male,Punjab,3,0,1568,0
72,Government Boys Primery School Ghartal. (Female),32.43885,74.24304,Female,Punjab,0,2,0,1161
36,Government Boys High School Majra kalan (Male) (P),32.43989,74.33353,Male,Punjab,2,0,1532,0
80,Government Boys High School Malkhanwala.(P),32.44185,74.31493,Combined,Punjab,1,1,848,707
1,Government Model Elementry School Kotli Noonan (P),32.44213,74.35536,Combined,Punjab,1,1,784,709
104,Government Girls High School Mandair Khurd (Female)(P),32.44213,74.35539,Female,Punjab,0,2,0,1097
39,Government Boys High School Kothiala (Male) (P),32.44373,74.31493,Male,Punjab,2,0,1304,0
81,Government Model Primary School  Kotli Joian. (P),32.44591,74.31542,Combined,Punjab,1,1,418,316
59,Government Model Primary School Chaoke Kalan (P),32.44639,74.21083,Combined,Punjab,1,1,694,449
102,Government Girls Primary School Mandair Kalan. (P),32.44663,74.4138,Combined,Punjab,1,1,383,298
82,Government Girls High School Dhanawali (Male)  (P),32.4523,74.29338,Male,Punjab,2,0,1446,0
79,Government Girls High School Malkhanwala (Female) (P),32.45462,74.3035,Female,Punjab,0,2,0,1331
38,Government Boys High School Kothiala.(P),32.45516,74.34846,Combined,Punjab,1,1,570,468
129,Government Girls College Sambrial (Female) (P),32.45522,74.41711,Female,Punjab,0,2,0,1292
13,Government Girls Primary School Man Pur. (P),32.45522,74.41714,Combined,Punjab,1,1,439,423
130,Government Girls College Sambrial. (P),32.45522,74.41717,Combined,Punjab,1,1,750,625
131,Government Girls High School Sambrial. (Male) (P),32.45647,74.40733,Male,Punjab,3,0,1618,0
132,Government Girls High School Sambrial. (Female) (P),32.45647,74.40736,Female,Punjab,0,2,0,1401
133,Government Boys Primary School Mohalla Sher Abad Kot Sambrial. (Male) (P),32.45647,74.40739,Male,Punjab,2,0,1167,0
58,Government ModelPrimary School Pir Kot (P),32.45806,74.19972,Combined,Punjab,1,1,654,451
10,Government Boys Primary School Ballo Chak (Male)  (P),32.46193,74.41135,Male,Punjab,2,0,1201,0
100,Government Boys Primary School Mehat Pur. (P),32.46213,74.40898,Combined,Punjab,1,1,729,614
60,Government Boys Elementry School Duburji Chanda Singh (P),32.46526,74.2438,Combined,Punjab,2,1,920,625
101,Government Girls Primary School Kaurowal  (P),32.46721,74.41547,Combined,Punjab,1,1,793,611
55,Government Model Primary School Kot Mirath (P),32.46806,74.25777,Combined,Punjab,1,1,856,655
56,Government Boys Primary School Kotli Mughlan.,32.46861,74.25916,Combined,Punjab,1,1,362,256
17,Government Boys Elementry School Saranky (P),32.46912,74.34499,Combined,Punjab,2,2,984,767
160,Government  Model Primary School Changa. (Male) (P),32.46912,74.34502,Male,Punjab,2,0,1111,0
161,Government  Model Primary School Changa. (Female) (P),32.46912,74.34505,Female,Punjab,0,1,0,756
164,Government Boys Primary School Kotli Baba Hira. (P),32.47097,74.35258,Combined,Punjab,1,1,559,418
165,Government Girls Primary School Rao Ke. (P),32.47097,74.35261,Combined,Punjab,1,1,644,379
166,Government Girls Elementary School Chhangi.  (Male) (P),32.47097,74.35264,Male,Punjab,2,0,1203,0
105,Government Boys Elementary School Suraj (P),32.47303,74.38748,Combined,Punjab,1,1,789,599
37,Government Girls High School Majra Kalan (Female) (P),32.47358,74.36355,Female,Punjab,0,2,0,1305
107,Government Girls Primary School Baseer. (P),32.47464,74.29004,Combined,Punjab,2,1,931,705
108,Government Girls Primery School Jajay.,32.47464,74.29007,Combined,Punjab,1,1,633,451
11,Government Grils Primary School Ballo Chak. (Female),32.47533,74.30457,Female,Punjab,0,2,0,959
110,Government Boys Primary School Morr Sambrial.(Male) (P),32.47533,74.3046,Male,Punjab,2,0,1534,0
167,Government Boys Elementry  School Changi. (Female),32.47627,74.3561,Female,Punjab,0,2,0,828
168,Government Girls Primary School Kot Mokhal. ( Male) (P),32.47627,74.35613,Male,Punjab,2,0,1129,0
169,Government Boys Primery School Mokhal. (Female),32.47627,74.35616,Female,Punjab,0,2,0,800
162,Government Girls High School Bhaghat Pur. (Male) (P),32.4763,74.35608,Male,Punjab,2,0,1322,0
163,Government Girls High School Bhaghat Pur. (Female) (P),32.4763,74.35611,Female,Punjab,0,2,0,984
51,Government Girls Primery School Kopra Kalan (P),32.47678,74.24997,Combined,Punjab,1,1,787,649
27,Union Council Office Jethike (P),32.47681,74.35952,Combined,Punjab,1,1,746,591
170,Government Boys Primary School Nand Pur. (P),32.47681,74.35955,Combined,Punjab,1,1,514,326
171,Government Girls Elementary School Bhikhi. (P),32.47681,74.35958,Combined,Punjab,1,1,510,389
172,Government Boys Primery School Bhikhi.,32.47681,74.35961,Combined,Punjab,1,1,571,492
174,Government Girsl High  School Sian. (P),32.47683,74.35927,Combined,Punjab,1,1,588,462
175,Government Boys Primary School Tarsika. (P),32.47683,74.3593,Combined,Punjab,1,1,514,336
173,Government Model Primery  School Dhirke. (P),32.47687,74.36259,Combined,Punjab,1,1,538,424
15,Government Community Model School Ghazi Pur (Nashtra Abad) (P),32.47807,74.35669,Combined,Punjab,1,1,613,455
150,Government Girls Primary School Alay wali.,32.47807,74.35672,Combined,Punjab,1,1,473,372
157,Government Boys High School Begowala  (Male) (P),32.47814,74.37647,Male,Punjab,2,0,1232,0
158,Government Boys High School Begowala  (Female) (P),32.47814,74.3765,Female,Punjab,0,2,0,938
159,Government Girls Primary School  Golian. (P),32.47826,74.37109,Combined,Punjab,1,1,394,318
49,Government Girls Primary School Dadowali.,32.47867,74.26218,Combined,Punjab,1,1,544,414
143,Government Boys Primery School Alaywali (Gharbi),32.47876,74.33958,Combined,Punjab,1,1,842,629
144,Government Muslim Awami High School Sambrial. (Male) (P),32.47876,74.33961,Male,Punjab,2,0,1535,0
149,Government Model Primary School Fardaus pura  (P),32.47911,74.36302,Combined,Punjab,1,1,632,507
116,Government Girls Primary School No.1 Mandi Sambrial.(Female),32.47917,74.34583,Female,Punjab,0,2,0,1243
53,Government Model Primary School Kishan Garh. (P),32.48005,74.28902,Combined,Punjab,1,1,538,411
151,Government Boys Primary School Nai Abadi Sambrial.,32.48009,74.3639,Combined,Punjab,1,1,831,739
152,Government Girls Elementary School kot Doran (P),32.48009,74.36393,Combined,Punjab,1,1,684,657
153,Government Boys Elementry School Kotli Noonan (P),32.48009,74.36396,Combined,Punjab,1,1,808,650
54,Government Model Primary School Pcci Garhi (P),32.48111,74.24222,Combined,Punjab,2,1,964,638
137,Government Boys Islamia High School Sambrial. (Female) (P),32.48241,74.40478,Female,Punjab,0,2,0,1182
138,Government Boys Islamia High School Sambrial. (P),32.48241,74.40481,Combined,Punjab,1,1,774,680
148,Government Girls Primary School Ali Pur Gujran  (P),32.48278,74.35749,Combined,Punjab,1,1,809,636
147,Government Girls Primary School Amreek Pura. (Female),32.48487,74.34868,Female,Punjab,0,2,0,1217
145,Government Muslim Awami High School Sambrial. (Female) (P),32.48487,74.34876,Female,Punjab,0,2,0,1273
146,Government Boys Primary School Amreek Pura(Male)(P),32.48487,74.34879,Male,Punjab,2,0,1536,0
106,Government Boys Primary School Gaggar. (P),32.48514,74.29344,Combined,Punjab,2,1,917,633
154,Government Girls Higher Secndery  School Begowala(Male)(P),32.48563,74.37096,Male,Punjab,3,0,1592,0
57,Government Boys Hugh School Roheela (P),32.48667,74.25667,Combined,Punjab,1,1,729,616
111,Government Boys Primary School Morr Sambrial.(Female) (P),32.4883,74.33184,Female,Punjab,0,2,0,1245
114,Government Boys Primary School Rasulpura.,32.4883,74.33187,Combined,Punjab,1,1,609,506
119,Government Boys Primary School No.2 Mandi Sambrial. (P),32.48977,74.37619,Combined,Punjab,1,1,515,454
