StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
105,Government Girls Primary School Chak Qazi. (P),32.42638,74.46008,Combined,Punjab,1,1,723,610
106,Government Girls Primary School Dogranwala New Building (P) (Now Elementery),32.42638,74.46011,Combined,Punjab,1,1,858,607
89,Government Girls High School Kairali.,32.45798,74.47178,Combined,Punjab,1,1,370,329
90,Government Girls Primary School Kot Manan  (P),32.46331,74.47317,Combined,Punjab,1,1,522,426
107,Government Boys Primary School Wiram. (P),32.464,74.44658,Combined,Punjab,2,1,966,775
91,Government Girls Elementry School Lodharay. (P),32.4654,74.46941,Combined,Punjab,1,1,596,542
104,Government Girls Primary School Ganjian Wali Kalan. (P),32.46684,74.42923,Combined,Punjab,1,1,747,554
31,Government Model Elementary School Butter. (Female) (P),32.46722,74.50372,Female,Punjab,0,2,0,947
30,Government Model Elementary School Butter. (Male) (P),32.46723,74.50372,Male,Punjab,2,0,1194,0
32,Government Model Elementary School Butter. (Male) (P),32.46723,74.50375,Male,Punjab,2,0,1343,0
33,Government Model Elementary School Butter. (Female) (P),32.46723,74.50378,Female,Punjab,0,2,0,1093
63,Government Model Primary School Rai Pur.(Male)(P),32.4683,74.44929,Male,Punjab,2,0,1474,0
92,Government Boys Primary School Moman Kalan. (Male) (P),32.4683,74.4493,Male,Punjab,2,0,1474,0
79,Basic Health Unit Model Town Ugoki  (P),32.47588,74.44242,Combined,Punjab,1,1,704,574
94,Government Girls Primary School Jailanwala.(Male)  (P),32.47635,74.45607,Male,Punjab,2,0,1478,0
95,Government Girls Primary School Jailanwala.(Female)  (P),32.47635,74.4561,Female,Punjab,0,2,0,1174
93,Government Girls Primary School Moman Kalan. (Female),32.47638,74.45609,Female,Punjab,0,2,0,1166
103,Government Girls Primary School NO.1 Dulchike. (Female),32.47696,74.43699,Female,Punjab,0,2,0,1142
18,Government Girls Primary School Ganjianwali. (P),32.47726,74.49755,Combined,Punjab,1,1,690,553
102,Government Boys Primary School Dulchike. (Male)(P),32.47795,74.43662,Male,Punjab,2,0,1394,0
64,Government Model Primary School Rai Pur.(Female)(P),32.47839,74.42527,Female,Punjab,0,2,0,1116
50,Government Girls Primary School Dhattal. (P),32.47883,74.46516,Combined,Punjab,1,1,850,601
38,Government Boys Primary School Babaranwala.(Male) (P) (Now Elementery),32.47942,74.46427,Male,Punjab,2,0,1200,0
65,Government Girls Primary School Rahimpur.(Male)  (P),32.4795,74.43827,Male,Punjab,2,0,1526,0
66,Government Girls Primary School Rahimpur.(Female)  (P),32.4795,74.4383,Female,Punjab,0,2,0,1205
37,Government Girls Primary School (Mohallah Rohail Pura) Shatab Garh.(Female)  (P) (Now Model),32.47972,74.50139,Female,Punjab,0,2,0,894
48,Government Girls Elementary School Kotli Bhutta. (Male) (P),32.48017,74.44582,Male,Punjab,2,0,1009,0
