StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
138,Boys Primary School Mehlu. (Combined)(P),32.17486,75.07262,Combined,Punjab,2,1,1003,730
38,Government Girls Middle School Chakrra. (Combined) (P),32.1815,75.12772,Combined,Punjab,1,1,631,436
139,Government Boys Primary School Paswal. (Combined)(P),32.18376,75.24005,Combined,Punjab,2,2,1044,740
77,Government  Boys Primary School Kasraj (Combined),32.229,75.12791,Combined,Punjab,1,1,485,419
158,Government  Boys High School Jalala (Combined)(P),32.23376,75.34309,Combined,Punjab,1,1,656,479
152,Government Boys Primary School Sahan pur (Combined)(P),32.23581,75.30956,Combined,Punjab,1,1,690,395
71,Government Girls Primary School Sikaryali. (Combined)(P),32.23788,75.33932,Combined,Punjab,2,2,875,710
72,Government Girls Primary School Sultan Pur. (Combined)(P),32.23923,75.12636,Combined,Punjab,2,1,502,368
157,Government Girls Primary School Meer pur (Combined)(P),32.24181,75.34055,Combined,Punjab,1,1,680,401
73,Government Girls Primary School Antowali. (Combined)(P),32.24217,75.14765,Combined,Punjab,2,2,963,721
74,Rescue Office 1122 Nur Koot Road  Antowali. (Male)(P),32.24217,75.14768,Male,Punjab,3,0,1308,0
75,Rescue Office 1122 Nur Koot Road  Antowali. (Female)(P),32.24217,75.14771,Female,Punjab,0,2,0,932
68,Government  Girls Primary School Manka (Combined),32.24394,75.0921,Combined,Punjab,1,1,579,458
58,Government Boys Elementry School Khanowal. (Female)(P),32.24675,75.11003,Female,Punjab,0,2,0,886
70,Government Girls Elementary School Majra. (Combined)(P),32.24784,75.14413,Combined,Punjab,2,1,782,613
17,Government Boys Primary School Afzal Pura (Female),32.248178398723354,75.1510098535176,Female,Punjab,0,3,0,1469
18,Government Primary School Afzal Pura  (Combined)(P),32.24818,75.15116,Combined,Punjab,1,1,568,500
97,Government Girls Primary School Fatto Chak (Combined)(P),32.24855,75.22009,Combined,Punjab,1,1,493,329
154,Government Girls Primary School Lodhi Lawari. (Combined)(P),32.2508,75.33858,Combined,Punjab,1,1,491,315
156,Government Girls Primary School Ghasitpur (Combined)(P),32.25207,75.34558,Combined,Punjab,2,1,771,438
16,Government  Girls Primary School Muslim Town (Male)(P),32.25352699457015,75.15347805807174,Male,Punjab,4,0,1751,0
150,Government Girls Primary School Behlolpur (Combined)(P),32.25443,75.30209,Combined,Punjab,2,1,713,538
34,Government  Girls Primary School Faisal Town (Female)(P),32.25685,75.14296,Female,Punjab,0,2,0,713
4,Government Girls Elementary School Din Pur Kalan (Male)(P),32.25817,75.17604,Male,Punjab,3,0,1501,0
