StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
131,Government Secondary School Hallowal,32.05433,74.69151,Male,Punjab,4,0,1925,0
132,Government Girls High School Hallowal,32.05492,74.69675,Female,Punjab,0,2,0,1326
122,Government Girls Primary School Gullah Mohara.,32.05919,74.67491,Combined,Punjab,2,1,931,712
121,Government Boys High School Khokhar wali,32.06222,74.65776,Combined,Punjab,1,1,555,469
101,Government Girls Elementry School Dharag Miana,32.06638,74.7382,Combined,Punjab,2,1,746,582
103,Government Girls Elementary School Kalkhana,32.06713,74.7595,Combined,Punjab,2,1,651,544
134,Government High School Dhrag Miana,32.06889,74.72629,Combined,Punjab,2,2,1156,913
99,Government Girls Primary School Raoke,32.07045,74.71727,Combined,Punjab,2,2,1035,812
100,Government Girls Elementary School Rattian,32.07068,74.70746,Combined,Punjab,2,1,712,580
123,Government EM Islamia High School Chanderkey Mangoley,32.07376,74.64465,Combined,Punjab,2,1,765,630
116,Government Girls Elementary School Mianwali.,32.076,74.66013,Combined,Punjab,2,1,954,668
113,Government Boys Primary School Walley Key,32.08448,74.74852,Combined,Punjab,2,1,966,680
119,Government Girls Elementary School Bhodhi Mallian,32.08639,74.59222,Combined,Punjab,1,1,700,501
102,Government Girls Primary School Dhey,32.08842,74.86182,Combined,Punjab,2,1,593,484
130,Government Girls Primary School Adokey Kalan,32.08845,74.67878,Combined,Punjab,2,1,825,563
135,Government Girls High School Budhah Dhola,32.09264,74.73901,Male,Punjab,3,0,1032,0
136,Government Girls High School Budhah Dhola,32.09264,74.73904,Female,Punjab,0,2,0,724
126,Government Girls High School Talwandi Bhindran,32.09448,74.69206,Male,Punjab,4,0,1471,0
127,Government Girls High School Talwandi Bhindran,32.09448,74.69209,Female,Punjab,0,3,0,1155
115,Government Girls Elementry School Ainno Bajwa,32.09532,74.76064,Combined,Punjab,2,2,1004,735
108,Government Girls High School Gangor,32.09598,74.86802,Combined,Punjab,2,1,852,648
53,Government Girls Elementary School Chahar Bhatti,32.09598,74.86805,Combined,Punjab,2,1,991,678
54,Government Boys High School Khan Khasa,32.09598,74.86808,Male,Punjab,3,0,1406,0
55,Government Boys High School Khan Khasa,32.09598,74.86811,Female,Punjab,0,2,0,1014
120,Government Girls Primary School Aidhipur,32.09666,74.63611,Combined,Punjab,1,1,632,463
129,Government Girls Model Primary School Baley Ke Kalan,32.09972,74.71667,Combined,Punjab,2,1,789,520
124,Government Boys CD Islamia High School Talwandi Bhindran,32.10082,74.69611,Male,Punjab,3,0,1362,0
125,Government Boys CD Islamia High School Talwandi Bhindran,32.10082,74.69614,Female,Punjab,0,2,0,1048
128,Government Boys CD Islamia High School Talwandi Bhindran,32.10082,74.69617,Combined,Punjab,2,1,775,617
117,Government High School Dhilli,32.10347,74.66346,Male,Punjab,3,0,1507,0
118,Government Girls Elementary School Dhilli,32.10352,74.66378,Female,Punjab,0,2,0,1099
44,Government Community Model Primary School Kot Lakha Sing,32.10509,74.78426,Combined,Punjab,2,2,964,729
47,Government Girls Primary School Kot Arrian (Dero Mangra),32.10653,74.7964,Combined,Punjab,2,1,889,640
114,Government Girls Primary School Rangepur,32.10984,74.76101,Combined,Punjab,2,1,949,634
49,Government Boys Elementary School Saidokey,32.11057,74.8119,Combined,Punjab,1,1,675,490
111,Government Girls High School Datewal,32.11431,74.67241,Combined,Punjab,1,1,630,441
112,Government Girls High School Datewal,32.11431,74.67244,Combined,Punjab,1,1,689,489
104,Government High School Niddokey,32.115,74.73528,Combined,Punjab,3,2,1458,1044
45,Government High School Pakhokey,32.11717,74.7651,Combined,Punjab,1,1,432,299
46,Government High School Pakhokey,32.11717,74.76513,Combined,Punjab,2,1,703,566
43,Government Girls Primary School Mall Bajwa,32.12404,74.79218,Combined,Punjab,2,2,1095,883
109,Government Model Girls Primary School Bhatti Wali,32.12598,74.69043,Combined,Punjab,2,1,1061,663
106,Government Girls Primary School Megha Khara,32.12825,74.71677,Combined,Punjab,2,1,696,537
42,Government Girls Primary School Balekey Khurd,32.12857,74.81112,Combined,Punjab,2,2,1045,778
107,Government Boys Primary School Khakh,32.13084,74.75352,Combined,Punjab,2,1,714,550
105,Government Boys Primary School Thaitharwali,32.13229,74.71076,Combined,Punjab,2,1,750,472
40,Government Boys Primary School Maojokey Dharap,32.13551,74.8181,Combined,Punjab,1,1,633,467
41,Government Girls Primary School Maojokey Dharap,32.13551,74.81813,Combined,Punjab,1,1,610,436
51,Government Girls High School Doungian,32.14494,74.8369,Male,Punjab,3,0,1453,0
52,Government Girls High School Doungian,32.14494,74.83693,Female,Punjab,0,2,0,1079
57,Government Girls Primary School Saddowala Newan (OLD),32.1452,74.87416,Combined,Punjab,1,1,464,355
84,Government Girls Primary School Lodhi Khangora.,32.14997,74.81265,Combined,Punjab,2,2,857,700
48,Government Grils Primary School Saidokey,32.15162,74.83652,Combined,Punjab,2,1,704,555
50,Government Girls Primary School Sadokey,32.15162,74.83655,Combined,Punjab,2,2,1020,869
89,Government Boys High School Domala.,32.15574,74.81794,Combined,Punjab,2,1,685,512
90,Government Boys High School Domala.,32.15574,74.81797,Combined,Punjab,1,1,615,531
88,Government Girls High School Chak Shahab-De-Kay.,32.15662,74.81734,Combined,Punjab,2,2,1122,925
58,Government Boys High School Saddowala Unchah,32.1581,74.87354,Male,Punjab,4,0,2190,0
59,Government Boys High School Saddowala Unchah,32.1581,74.87357,Female,Punjab,0,4,0,1736
56,Government Girls Primary School Targa  P,32.15821,74.77571,Combined,Punjab,2,1,851,610
87,Government Primary School Kasso Wali,32.16195,74.80518,Combined,Punjab,1,1,431,359
79,Government Boys Elementry School Kotali-Muhammad-Saddique.,32.16319,74.78672,Combined,Punjab,2,2,1169,850
82,Government Boys Primary School Ahlolal.,32.16328,74.78741,Combined,Punjab,1,1,644,502
