StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
166,BASIC HEALTH UNIT KANI (COMBINED) -I(T),33.04307,71.76073,Combined,Punjab,2,2,655,620
167,BASIC HEALTH UNIT KANI (COMBINED) -I(T),33.04307,71.76076,Combined,Punjab,2,2,616,559
163,BOYS HIGH SCHOOL KANI (COMBINED) -I (P),33.04326,71.76337,Combined,Punjab,2,2,678,613
164,BOYS HIGH SCHOOL KANI (COMBINED) -I (P),33.04326,71.7634,Combined,Punjab,2,2,740,670
165,BOYS HIGH SCHOOL KANI (COMBINED) -I (P),33.04326,71.76343,Combined,Punjab,2,2,841,669
194,GIRLS ELEMENTARY SCHOOL- TARAP (FEMALE) (P),33.0553,71.9053,Female,Punjab,0,4,0,1316
193,BOYS HIGH SCHOOL TARAP (MALE)(P),33.05701,71.90665,Male,Punjab,4,0,1536,0
159,BOYS PRIMARY SCHOOL BHATA (MUKHAD) (COMBINED)(P),33.07518,71.78518,Combined,Punjab,2,1,572,536
197,BOYS PRIMARY SCHOOL DOBA DAKHLI TURAP (MALE)(P),33.0825,71.89193,Male,Punjab,4,0,1378,0
198,BOYS PRIMARY SCHOOL DOBA DAKHLI TURAP (FEMALE)(P),33.0825,71.89196,Female,Punjab,0,4,0,1226
169,BOYS MIDDLE SCHOOL RAKHWAN (COMBINED) (P),33.08355,71.71878,Combined,Punjab,2,2,627,522
195,GOVT. MODEL PRIMARY SCHOOL AMANPUR DAKHLI TURAP (MALE)(P),33.08873,71.91444,Male,Punjab,4,0,1272,0
196,GOVT. MODEL PRIMARY SCHOOL AMANPUR DAKHLI TURAP (FEMALE)(P),33.08873,71.91447,Female,Punjab,0,3,0,996
206,GIRLS PRIMARY SCHOOL DHOKE REHMAT (COMBINED) (P),33.12083593592746,72.05274918705229,Combined,Punjab,1,1,285,212
162,BOYS PRIMARY SCHOOL INJRA  R S (COMBINED) (P),33.12871,71.85451,Combined,Punjab,1,1,282,336
156,BOYS PRIMARY SCHOOL MUKHAD (FEMALE)(P),33.13122,71.73873,Female,Punjab,0,4,0,1336
216,BOYS PRIMARY SCHOOL- PIRANI (COMBINED) (P),33.13279,72.15025,Combined,Punjab,1,1,370,306
161,BOYS HIGH SCHOOL INJRA (MUKHAD) (COMBINED)(P),33.13306,71.84618,Female,Punjab,0,3,0,1064
199,BOYS HIGH SCHOOL BARWALA (COMBINED) (P),33.13486,71.95658,Combined,Punjab,2,2,709,640
200,BOYS HIGH SCHOOL BARWALA (COMBINED) (P),33.13486,71.95661,Combined,Punjab,2,2,711,642
168,BOYS PRIMARY SCHOOL MANJA GHUNDI RAKHWAN) (COMBINED) (P),33.14083,71.87759,Combined,Punjab,2,1,513,475
157,GIRLS PRIMARY SCHOOL CHHOI (MUKHAD) (COMBINED)(P),33.14354,71.79543,Combined,Punjab,2,1,550,445
158,GIRLS PRIMARY SCHOOL NAKKA KHURD (MUKHAD) NILHAD (COMBINED)(P),33.14713,71.81767,Combined,Punjab,1,1,344,298
203,GIRLS HIGH SCHOOL HADDOWALI (FEMALE)(P),33.15466,71.89502,Female,Punjab,0,4,0,1363
