StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
34,Government Boys Primary School Kot Shah Muhammad  (Combined),32.15858,73.99579,Combined,Punjab,1,1,569,475
77,Government Boys Elementary School Nat Kalan.  (Combined),32.30797,74.17315,Combined,Punjab,2,1,999,716
78,Government Boys Primary School Ibanwali.  (Combined),32.30989,74.19407,Combined,Punjab,2,1,1207,774
75,Government Girls High School Nat Kalan.  (Male),32.31167,74.16994,Male,Punjab,3,0,2128,0
76,Government Girls High School Nat Kalan.  (Female),32.31167,74.16997,Female,Punjab,0,3,0,1665
79,Government Girls Elementary School Kotli Sahian.  (Combined),32.32018,74.13599,Combined,Punjab,2,2,1022,865
65,Government Boys Primary School Fateh Garh.  (Combined),32.32126,74.15637,Combined,Punjab,1,1,740,535
69,Government Model Primary School  Chak Saan.  (Male),32.32595,74.21291,Male,Punjab,3,0,1747,0
71,Government Community Model Girls Primary School Chak Dadan.  (Combined),32.32879,74.18015,Combined,Punjab,1,1,793,613
49,Government Boys Primary School Chak Aroop Chand.  (Combined),32.3338,74.11467,Combined,Punjab,1,1,562,480
64,Government Boys Primary School Ojla Khurd.  (Combined),32.33543,74.158,Combined,Punjab,1,1,832,629
60,Government Model Primary School Ojla Kalan.  (Combined),32.33727,74.13794,Combined,Punjab,2,2,1296,1008
70,Government Model Elementary School Chourra.  (Female),32.33873,74.2194,Female,Punjab,0,2,0,1300
72,Government Girls Primary School Baghrian Nau.  (Combined),32.33949,74.18688,Combined,Punjab,1,1,632,495
68,Government Girls Primary School Saudan Wali  (Combined),32.3408,74.20799,Combined,Punjab,1,1,920,630
45,Government Model Primary School Kolar.  (Combined),32.34227,74.09535,Combined,Punjab,1,1,861,648
46,Government Girls Primary School Chak Mahi.  (Combined),32.34399,74.10782,Combined,Punjab,1,1,810,613
63,Government Girls High School Kot Inayat Khan.  (Combined),32.34502,74.1618,Combined,Punjab,1,1,927,748
48,Government Boys Primary School Sangowali.  (Combined),32.34816,74.11475,Combined,Punjab,1,1,829,632
61,Government Boys High School Kot Inayat Khan.  (Male),32.34896,74.16791,Male,Punjab,2,0,1218,0
62,Government Boys High School Kot Inayat Khan.  (Female),32.34896,74.16794,Female,Punjab,0,2,0,925
73,Government Center Boys Primary School Baghrian Kohna.  (Combined),32.35052,74.19918,Combined,Punjab,1,1,908,643
50,Government Boys Primary School Bhatti Mansoor.  (Combined),32.35064,74.14612,Combined,Punjab,1,1,741,593
47,Government Boys Elementary School Langianwala.  (Combined),32.35234,74.12104,Combined,Punjab,1,1,641,516
74,Government Girls Primary School Dodanwali Kalan.  (Combined),32.35652,74.18053,Combined,Punjab,2,2,1289,944
44,Government Model Primary School Rakh Bharoke.  (Combined),32.35685,74.07883,Combined,Punjab,1,1,866,701
66,Government Girls High School Jourra.  (Male),32.3571,74.21111,Male,Punjab,2,0,1592,0
67,Government Girls High School Jourra.  (Female),32.3571,74.21114,Female,Punjab,0,2,0,1148
59,Government Girls Primary School Kot Yousaf.  (Combined),32.36289,74.19994,Combined,Punjab,1,1,801,601
51,Government Girls High School Jandiala Dhaab Wala.  (Male),32.36334,74.13326,Male,Punjab,2,0,1646,0
52,Government Girls High School Jandiala Dhaab Wala.  (Female),32.36334,74.13329,Female,Punjab,0,2,0,1331
58,Government Model Primary School Chak Gillan.  (Combined),32.36736,74.22194,Combined,Punjab,1,1,804,639
56,Government Boys Primary School Dhapi Ameer Singh.  (Combined),32.37201,74.21706,Combined,Punjab,1,1,625,490
42,Government Boys High School Bharoke Cheema.  (Male),32.3751,74.0726,Male,Punjab,2,0,1458,0
43,Government Boys High School Bharoke Cheema.  (Female),32.3751,74.07263,Female,Punjab,0,2,0,1166
38,Government Model Primary School Budha Rajadha.  (Combined),32.37608,74.1202,Combined,Punjab,1,1,715,637
53,Government High School Chak Baig.  (Combined),32.37621,74.16013,Combined,Punjab,1,1,1089,880
41,Government Girls High School Bharoke Cheema.  (Combined),32.37634,74.07484,Combined,Punjab,2,2,1256,891
37,Government Boys Elementary School Kot Khizri.  (Female),32.37927,74.12384,Female,Punjab,0,2,0,1145
55,Government Girls Primary School Heranwala Khurd.  (Combined),32.38039,74.19408,Combined,Punjab,2,2,1158,859
39,Government Girls High School Manzoorabad.  (Combined),32.38151,74.09846,Combined,Punjab,1,1,915,681
40,Government Boys High School Manzoorabad.  (Combined),32.38211,74.09846,Combined,Punjab,2,2,1184,935
36,Government Boys Elementary School Kot Khizri.  (Male),32.38219,74.12785,Male,Punjab,2,0,1443,0
57,Government Boys Primary School Khosar.  (Combined),32.3826,74.18578,Combined,Punjab,1,1,696,475
54,Government Girls High School Dadwali.  (Combined),32.38331,74.13531,Combined,Punjab,2,2,1326,1020
85,Government Girls Elementary School Kot Jafar.  (Combined),32.38631,74.03662,Combined,Punjab,2,2,1058,815
84,Government Boys Primary School Kot Jafar.  (Combined),32.38671,74.03651,Combined,Punjab,2,2,1171,878
30,Government Girls Primary School Maroofabad.  (Combined),32.38711,74.16327,Combined,Punjab,1,1,791,572
158,Government Boys High School Dhonkal. (Male),32.39865,74.12514,Male,Punjab,3,0,1523,0
159,Government Boys High School Dhonkal. (Female),32.39865,74.12517,Female,Punjab,0,3,0,1252
25,Government Model Primary School Veroki.  (Male),32.403,74.1135,Male,Punjab,2,0,1279,0
26,Government Model Primary School Veroki.  (Female),32.403,74.11353,Female,Punjab,0,2,0,1026
154,Government Girls High School Dhonkal Part Middle. (Male),32.40425,74.1397,Male,Punjab,3,0,1384,0
155,Government Girls High School Dhonkal Part Middle. (Female),32.40425,74.13973,Female,Punjab,0,3,0,1226
156,Government Girls High School Dhonkal. (Male),32.40425,74.13976,Male,Punjab,2,0,1180,0
157,Government Girls High School Dhonkal. (Female),32.40425,74.13979,Female,Punjab,0,2,0,989
33,Government Boys Elementary School Aziz Chak. (Combined),32.40565,74.20514,Combined,Punjab,2,2,1306,1000
153,Govt.Model Primary School Dhonkal. (Combined),32.40617,74.13638,Combined,Punjab,2,2,1006,826
83,Government Boys Elementary School Phaloki  (Combined),32.40801,74.06448,Combined,Punjab,1,1,907,710
28,Government Boys Primary School Raddala.  (Combined),32.41052,74.17637,Combined,Punjab,2,2,1210,912
80,Government Primary School  Wadala Cheema (Combined),32.41055,74.06912,Combined,Punjab,2,2,1148,890
81,Government Girls High School Wadala Cheema  (Male),32.41078,74.07044,Male,Punjab,2,0,1345,0
82,Government Girls High School Wadala Cheema  (Female),32.41078,74.07047,Female,Punjab,0,2,0,1089
32,Government Girls Primary School Allushedave.  (Combined),32.41095,74.19016,Combined,Punjab,1,1,469,348
31,Government Boys Primary School Abul Fatehwali.  (Combined),32.41174,74.18488,Combined,Punjab,1,1,614,505
35,Government Boys Primary School Nehalo Chak. (Combined),32.41756,74.20177,Combined,Punjab,1,1,628,519
91,Virtual University- Wazirabad (Male),32.41943,74.11887,Male,Punjab,2,0,1639,0
27,Government Model Primary School Khasray  (Combined),32.41961,74.1017,Combined,Punjab,1,1,630,500
23,Government Model Primary School Dhonikey.  (Combined),32.42142,74.08941,Combined,Punjab,2,2,1197,949
