StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
1,Government Girls Elementary School Wayanwali.  (Combined),31.99972,74.35508,Combined,Punjab,2,2,1235,987
125,Government Boys High School Gondlawala (Male ),32.19509178124752,74.12130954882076,Male,Punjab,3,0,1520,0
126,Government Boys High School Gondlawala (Female ),32.19509178124752,74.1213395488208,Female,Punjab,0,2,0,1036
127,Government Boys High School Gondlawala (Male ),32.19509178124752,74.1213695488208,Male,Punjab,3,0,1578,0
128,Government Boys High School Gondlawala (Female ),32.19509178124752,74.1213995488208,Female,Punjab,0,2,0,1079
118,Government Boys  Primary School Kotli Peer Ahmad Shah (Male),32.19603833172503,74.16055695450294,Male,Punjab,3,0,1420,0
120,Government Boys  Primary School Kotli Peer Ahmad Shah (Male),32.19603833172503,74.1605869545029,Male,Punjab,3,0,1508,0
129,Govt.Girls Middle School Gondlawala (Male),32.19673687213176,74.12603623642534,Male,Punjab,3,0,1393,0
130,Govt.Girls Middle School Gondlawala (Female),32.19673687213176,74.1260662364253,Female,Punjab,0,3,0,1001
116,Union Council Office Talwandi Rahwali (Male),32.19991611745904,74.12568181376946,Male,Punjab,3,0,1358,0
117,Union Council Office Talwandi rahwali (Female),32.19991611745904,74.1257118137695,Female,Punjab,0,3,0,917
124,Office of Union Council Gondlawala (Combined),32.19991611745904,74.1257418137695,Combined,Punjab,2,2,1048,712
99,Government Girls High School Buttranwali (Male),32.22625,74.24732,Male,Punjab,4,0,1914,0
98,Govt. Boys Primary School Butteranwali (Combine),32.22707,74.24478,Combined,Punjab,2,1,850,654
96,Government Girls Elementary School Lamban Wali (Male),32.23785,74.19666,Male,Punjab,4,0,1935,0
97,Government Boys Primary School Lamban Wali (Female),32.23785,74.19669,Female,Punjab,0,3,0,1422
62,Government Girls Primary School Dhingranwali (Combined),32.241433201813415,74.15270185450142,Combined,Punjab,2,2,911,808
65,Government Girls High School Kashmir Colony Gujranwala  Cantonment . (Male),32.24197169996658,74.14529215682509,Male,Punjab,3,0,1695,0
66,Government Girls High School Kashmir Colony Gujranwala  Cantonment . (Female),32.24197169996658,74.1453221568251,Female,Punjab,0,3,0,1529
67,Government Girls High School Kashmir Colony Gujranwala  Cantonment . (Male),32.24197169996658,74.1453521568251,Male,Punjab,3,0,1640,0
68,Government Girls High School Kashmir Colony Gujranwala  Cantonment . (Female),32.24197169996658,74.1453821568251,Female,Punjab,0,2,0,1345
48,Government Model Primary School Sharif Farm (Male),32.242451391838976,74.16883462313233,Male,Punjab,4,0,2030,0
49,Government Model Primary School Sharif Farm (Female),32.242451391838976,74.1688646231323,Female,Punjab,0,2,0,1711
50,Government Model School Female Sharif Form Rahwali (Male),32.242451391838976,74.1688946231323,Male,Punjab,2,0,1138,0
51,Government Model School Female Sharif Form Rahwali (Female),32.242451391838976,74.1689246231323,Female,Punjab,0,2,0,927
63,Government Boys  High School Kashmir Colony Cantonment (Male),32.24355,74.14618,Male,Punjab,3,0,1553,0
64,Government Boys  High School Kashmir Colony Cantonment (Female),32.24355,74.14621,Female,Punjab,0,3,0,1223
73,Government Boys  High School Kashmir Colony Cantonment (Male),32.24355,74.14624,Male,Punjab,3,0,1085,0
74,Government Boys  High School Kashmir Colony Cantonment (Female),32.24355,74.14627,Female,Punjab,0,3,0,938
112,Govt.Girls Primary School Saleem Pura  Talwandi Rahwali Sharki  (Male),32.24479327541647,74.17061482166709,Male,Punjab,4,0,1878,0
113,Govt.Girls Primary School Saleem Pura  Talwandi Rahwali Sharki  (Female),32.24479327541647,74.1706448216671,Female,Punjab,0,3,0,1426
110,Government Boys Primary School Mohallah Salim Pura  Rahwali (Male),32.24481,74.1707,Male,Punjab,2,0,1167,0
111,Government Boys Primary School Mohallah Salim Pura  Rahwali (Female),32.24481,74.17073,Female,Punjab,0,2,0,813
41,Office of the Catonment Board Fire Brigade Block (Combined),32.24722,74.12201,Combined,Punjab,2,2,700,586
94,Government Girls High School Trigary (Male),32.24725,74.221,Male,Punjab,3,0,1539,0
95,Government Girls High School Trigary (Female),32.24725,74.22103,Female,Punjab,0,3,0,1136
101,Government Boys  Elementary School Nazam Pur Gagaywali (Male),32.24746062826633,74.25834034889584,Male,Punjab,3,0,1501,0
103,Government Boys  Elementary  School Nazam Pur Gagaywalii (Male),32.24746062826633,74.2583703488958,Male,Punjab,3,0,1494,0
105,Government Boys Elementary  School Gagywali Nizampur (Combine),32.24746062826633,74.2584003488958,Combined,Punjab,1,1,704,583
54,Dispensary Cantonment  Board Gujranwala   (Male),32.249530541925424,74.16233225832116,Male,Punjab,3,0,1369,0
55,Dispensary Cantonment  Board Gujranwala   (Female),32.249530541925424,74.1623622583212,Female,Punjab,0,3,0,1093
56,Dispensary Cantonment  Board Gujranwala   (Male),32.249530541925424,74.1623922583212,Male,Punjab,2,0,1216,0
57,Dispensary Cantonment  Board Gujranwala  (Female),32.249530541925424,74.1624222583212,Female,Punjab,0,2,0,1019
107,Almadad Walfare Hospital- Rahwali (Female),32.24962637727131,74.16759145200882,Female,Punjab,0,3,0,1300
106,Almadad Walfare Hospital- Rahwali (Male),32.24962637727131,74.1676214520088,Male,Punjab,3,0,1813,0
52,Government Boys Elementry School GT Road Gujranwala Cantonment (Male),32.24997847539118,74.1622296136489,Male,Punjab,3,0,1605,0
53,Government Boys Elementry School GT Road Gujranwala Cantonment (Female),32.24997847539118,74.1622596136489,Female,Punjab,0,3,0,1417
69,Government Boys High School Rahwali Bangla (Male),32.250064351783415,74.1527095125386,Male,Punjab,3,0,1699,0
70,Government Boys High School Rahwali Bangla (Female),32.250064351783415,74.1527395125386,Female,Punjab,0,3,0,1373
71,Government Boys High School Rahwali Bangla (Male),32.250064351783415,74.1527695125386,Male,Punjab,3,0,1355,0
