StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
21,Comrade School & College Safdar Colony Alam Chowk By Pass Gujranwala (Combined),32.15014,74.14281,Combined,Punjab,2,2,1217,846
19,City Standard High School Gala Rana Aftab Wala- Gujranwala (Male),32.15316,74.15388,Male,Punjab,3,0,1389,0
20,City Standard High School Gala Rana Aftab Wala- Gujranwala  (Female),32.15316,74.15391,Female,Punjab,0,2,0,1044
17,Moon Star School- Shah Rukh Colony- Gujranwala (Male),32.15372,74.15726,Male,Punjab,3,0,1284,0
14,Government Masjid Maktab Middle School- Gujranwala  (Female) / Government Primary  School Mubarik Colony Gujranwala,32.15436,74.15716,Female,Punjab,0,3,0,1287
16,Government Masjid Maktab Middle School- Gujranwala  (Female) / Government Primary  School Mubarik Colony Gujranwala,32.15436,74.15719,Female,Punjab,0,3,0,2317
13,Sirat-Ul-Jannat School- Gala Sui Gas- Hafizabad Road - Gujranwala (Male),32.15487,74.15351,Male,Punjab,3,0,1704,0
15,Sirat-Ul-Jannat School- Gala Sui Gas- Hafizabad Road- Gujranwala (Male),32.15487,74.15354,Male,Punjab,4,0,2906,0
11,Saint Joseph High School Hafizabad  Road (Male),32.15489,74.16408,Male,Punjab,3,0,1573,0
7,Saint Joseph High School Hafizabad  Road (Male),32.15489,74.16411,Male,Punjab,3,0,1656,0
18,London School- Shah Rukha Colony- Gujranwala  (Female),32.15505,74.15104,Female,Punjab,0,2,0,1002
51,GC Grammar High School- Gujranwala (Male),32.15565,74.15874,Male,Punjab,2,0,1098,0
52,GC Grammar High School- Gujranwala  (Female),32.15565,74.15877,Female,Punjab,0,2,0,742
10,M.C Girls Primary School No.29 Mohallah Sultan Pura (Female),32.157,74.16375,Female,Punjab,0,3,0,1632
6,M.C Girls Primary School No.29 Mohallah Sultan Pura (Female),32.157,74.16378,Female,Punjab,0,3,0,1439
27,Government Girls Primary School Rasheed Colony- Gujranwala  (Female),32.15799,74.15743,Female,Punjab,0,3,0,1661
28,Government Girls Elementary School Kotli Rustam- Gujranwala (Male),32.15799,74.15746,Male,Punjab,4,0,1955,0
29,Government Boys Hamid Ali High School- Kotli Rustam  (Female),32.15799,74.15744,Female,Punjab,0,3,0,1418
31,Government Boys Hamid Ali High School- Kotli Rustam  (Female),32.15799,74.15747,Female,Punjab,0,3,0,1780
34,Government Boys Hamid Ali High School- Kotli Rustam  (Female),32.15799,74.1575,Female,Punjab,0,3,0,1607
12,Government Elementary School No. 5- Rasool Pura- Gujranwala  (Female),32.15802,74.17035,Female,Punjab,0,2,0,1211
5,Jamia Idreesia High School Gala Barf Khana- Chah Sarafan (Male),32.15802,74.17038,Male,Punjab,4,0,1980,0
8,Government Elementary School No. 5- Rasool Pura- Gujranwala  (Female),32.15802,74.17041,Female,Punjab,0,3,0,1251
9,Jamia Idreesia High School Gala Barf Khana- Chah Sarafan (Male),32.15802,74.17044,Male,Punjab,4,0,1953,0
26,Al-Qudoos High School School- Kareem Pura- Gujranwala (Male),32.15846,74.16255,Male,Punjab,4,0,2148,0
4,Mubeen Model High School 10-Mahboob Haq Sadiq Road Gujranwala (Female),32.15992,74.16694,Female,Punjab,0,3,0,1446
23,Al-Raheem Model High School Gujranwala  (Female),32.16035,74.16225,Female,Punjab,0,3,0,1646
24,Munirat-Ul-Islam Model High School Garjakh- Gujranwala ( Male),32.16035,74.16228,Male,Punjab,3,0,1895,0
25,Al-Raheem Model High School Gujranwala  (Female),32.16035,74.16231,Female,Punjab,0,3,0,1476
