StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
109,Government Girls Primary School - Faqeer Pura- Gujranwala  (Female),32.14634,74.21615,Female,Punjab,0,4,0,2007
111,Government Boys Primary School - Faqeer Pura- Gujranwala  (Female),32.1488,74.21513,Female,Punjab,0,3,0,1704
100,Quaid Science Base High School  Kot Habibullah- Faqeer Pura- (Combined),32.15032,74.21591,Combined,Punjab,2,2,1297,1002
106,Subhan Ideal Boys Primary School - Ali Park- Gujranwala (Female),32.1524,74.21241,Female,Punjab,0,4,0,1939
104,Government MC Boys Primary School - Ali Park- Gujranwala (Female),32.15456,74.21198,Female,Punjab,0,3,0,1462
103,Modern Science High School  Private Oppisite SukhChain Wala Kashmir Road Gujrawnmala (Male),32.1561,74.21123,Male,Punjab,4,0,1972,0
101,K T Model Higher Secondary School Usman Park Farid Town- Gujranwala (Male),32.1583,74.21105,Male,Punjab,3,0,1535,0
102,K T Model Higher Secondary School Usman Park Farid Town- Gujranwala (Female),32.1583,74.21108,Female,Punjab,0,2,0,1149
107,K T Model Higher Secondary School Usman Park Farid Town- Gujranwala (Male),32.1583,74.21111,Male,Punjab,2,0,1387,0
108,K T Model Higher Secondary School Usman Park Farid Town- Gujranwala (Male),32.1583,74.21114,Male,Punjab,2,0,1247,0
110,K T Model Higher Secondary School Usman Park Farid Town- Gujranwala (Male),32.1583,74.21117,Male,Punjab,4,0,2247,0
98,Hafiz Academy High School Kashmir Road Gujranwala (Male),32.15865,74.21136,Male,Punjab,3,0,2020,0
99,Hafiz Academy High School Kashmir Road Gujranwala (Female),32.15865,74.21139,Female,Punjab,0,3,0,1694
91,Government Elementary School  for Boys- Farid Town- Gujranwala (Combined),32.15875,74.2206,Combined,Punjab,2,2,1313,990
119,Government  Girls High School  Gulzar-e- Islam (Combined ),32.16022,74.19717,Combined,Punjab,2,2,1326,1288
105,The Best Educator School System- Usman Park- Gujranwala  (Male),32.16028,74.21388,Male,Punjab,4,0,2603,0
83,Allied School Canal Campus (Male),32.1605,74.21748,Male,Punjab,3,0,1632,0
85,Allied School Canal Campus- Gujranwala (Male),32.1605,74.21751,Male,Punjab,3,0,1541,0
88,Government  Girls Elementary School  Farid Town Pasroor Road- Gujranwala (Female),32.16056,74.21483,Female,Punjab,0,3,0,1405
