StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
91,Government Boys Primary School Pul Shah Doula (Combined),31.90449,74.33858,Combined,Punjab,1,1,942,743
4,Government Boys Primary School Manhais (Combined),31.92361,74.22723,Combined,Punjab,2,1,1204,900
2,Govt Boys Primary School Mandiala Ponaich (Combined),31.93061,74.24269,Combined,Punjab,2,1,950,657
1,Government Model Primary School Nagry Bhatti (Combined),31.9449,74.25558,Combined,Punjab,2,1,1048,670
96,Government Boys High School Chandala (Combined),31.95753,74.28243,Combined,Punjab,1,1,721,566
86,Government Boys Primary School Dhoop Sari (Combined),31.9582,74.33433,Combined,Punjab,1,1,787,558
95,Government Boys High School Chajjoke (Combined),31.96392,74.24306,Combined,Punjab,2,2,1266,945
93,Government Girls High School Chandali (Combined),31.96965,74.26906,Combined,Punjab,1,1,978,721
3,Govt Girls Elementry School Bharoke Virkan (Combined),31.97139,74.22056,Combined,Punjab,2,2,1223,789
123,Government Boys Elementary School Nand pur (Combined),31.98864,74.27056,Combined,Punjab,2,2,1226,886
124,Government Boys Primary School Ajaan Chak / Chanian (Combined),32.00476,74.27124,Combined,Punjab,2,1,1120,710
105,Government Primary School Datay Wali (Combined),32.01096,74.21553,Combined,Punjab,2,1,928,715
128,Government Boys Elementary School Tatlay Mali(Male),32.01365,74.30871,Male,Punjab,3,0,1451,0
129,Government Boys Elementary School Tatlay Mali(Female),32.01365,74.30874,Female,Punjab,0,2,0,1052
89,Government Boys Primary School Sambla (Combined),32.02179,74.32818,Combined,Punjab,1,1,702,510
122,Government Girls Primary School Kiranwali (Combined),32.02333,74.24389,Combined,Punjab,2,2,987,783
118,Government Boys Primary School Chandanian (Combined),32.02461,74.27203,Combined,Punjab,1,1,578,395
126,Government Boys Primary School Nagrai Dadan (Combined),32.03553,74.29934,Combined,Punjab,2,1,854,693
45,Government Boys High School Dandian (Male),32.04028,74.48611,Male,Punjab,3,0,1524,0
46,Government Boys High School Dandian (Female),32.04028,74.48614,Female,Punjab,0,2,0,1275
138,Government Girls Higher Secondary School  Eimanabad (Female),32.0411,74.25816,Female,Punjab,0,2,0,1218
127,Government Boys Primary School Kotli Mano Sidhu (Combined),32.04184,74.30885,Combined,Punjab,1,1,617,450
48,Government Boys Primary School Dharang (Combined),32.0421,74.47551,Combined,Punjab,2,2,960,713
116,Government Model Primary School Thatha Chalwa (Combined),32.05667,74.22222,Combined,Punjab,1,1,402,280
113,Government Girls Elementary School Melowala (Female),32.05694,74.22305,Female,Punjab,0,2,0,1139
112,Government Boys Primary School Mehlowala (Male),32.05806,74.2225,Male,Punjab,2,0,1451,0
114,Government Boys Primary School Mehlowala (Male),32.05806,74.22253,Male,Punjab,2,0,1727,0
117,Government Girls Primary School Kot Karam Chand (Combined),32.06335,74.27251,Combined,Punjab,1,1,683,514
115,Government Girls Elementary School Moh. Maqbool Shaheed abad Melowala (Female),32.06445,74.20944,Female,Punjab,0,2,0,1435
100,Government Al-Karam High School  Attawa (Female),32.06972,74.20472,Female,Punjab,0,3,0,1207
99,Government Al-Karam High School  Attawa (Male),32.06972,74.20475,Male,Punjab,3,0,1575,0
33,Government Model Primary School Baqa Pur (Combined),32.06972,74.41528,Combined,Punjab,1,1,452,283
40,Government Boys Primary School Sundarana (Combined),32.06972,74.41531,Combined,Punjab,1,1,852,617
101,Government Girls High School  Attawa (Male),32.07611,74.20944,Male,Punjab,3,0,1193,0
102,Government Girls High School  Attawa (Female),32.07611,74.20947,Female,Punjab,0,2,0,900
31,Government Boys Primary School Bhoopar (Combined),32.07722,74.42833,Combined,Punjab,1,1,629,470
103,Government  Primary School Attawa (Male),32.08444,74.20361,Male,Punjab,2,0,1240,0
104,Government  Primary School Attawa (Female),32.08444,74.20364,Female,Punjab,0,2,0,976
106,Government Model Primary School Dianat Rai (Combined),32.08512,74.29747,Combined,Punjab,1,1,660,517
30,Government Boys Elementry School Haidrabad (Thatha Gulab Singh) (Combined),32.08528,74.4475,Combined,Punjab,1,1,579,367
98,Government Boys Primary School Luriki (Combined),32.09361,74.22667,Combined,Punjab,1,1,672,530
107,Government Boys High School  Botala Sharam Singh (Combined),32.10028,74.24972,Combined,Punjab,2,2,1169,844
15,Govt Boys Primary School Kotli Nagra (Combined),32.10806,74.36917,Combined,Punjab,2,1,907,639
109,Government Boys Elementry School Qila Khazana (Combined),32.10835,74.2692,Combined,Punjab,2,2,957,750
29,Government Girls Primary School Mohan Pur (Combined),32.10944,74.42222,Combined,Punjab,1,1,1038,722
16,Government Boys Primary School Sheni Wala (Combined),32.11389,74.38722,Combined,Punjab,2,2,983,680
12,Government Girls High School Jabboke (Female),32.12389,74.36028,Female,Punjab,0,3,0,1293
11,Government Boys Elementry School Jabboke (Male),32.12861,74.35777,Male,Punjab,4,0,1722,0
17,Government Girls Primary School Saraye (Combined),32.16806,74.44334,Combined,Punjab,1,1,410,319
