StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
131,Govt. Primary School Qila Usman Ghani,31.87781,73.61714,Combined,Punjab,1,1,639,496
135,Govt. Boys Primary School Sawan Pura,31.88939,73.60216,Combined,Punjab,2,1,860,644
130,Govt. Elementary School Bhaka Bhattian,31.89242,73.68053,Combined,Punjab,1,1,472,321
133,Govt. Girls High School Mian Raheema,31.90653,73.61169,Combined,Punjab,2,1,782,575
134,Govt. Boys Primary School Jalalana,31.90749,73.58984,Combined,Punjab,2,1,697,555
128,Govt. Boys Primary School Khanjar,31.92235,73.69223,Combined,Punjab,2,1,876,626
137,Govt. Girls Elementary School Nahrianwala,31.93341,73.60393,Female,Punjab,0,2,0,795
129,Govt. Model Primary School Ghanoke,31.93452,73.67731,Combined,Punjab,1,1,532,400
136,Govt. Primary School Nahrianwala,31.93487,73.60463,Male,Punjab,2,0,1085,0
142,Govt.  Primary School  Dinga  Wadahra,31.93555,73.65646,Combined,Punjab,1,1,598,452
143,Govt. Secondary School- Burj Dara (East Side),31.94491,73.63486,Male,Punjab,2,0,866,0
144,Govt. Secondary School- Burj Dara (West Side),31.94491,73.63489,Female,Punjab,0,2,0,663
159,Govt. Elementary School Uddoki,31.94547,73.54001,Combined,Punjab,2,1,690,482
160,Govt. Model Elementary School (Part Girls) Uddoki,31.94552,73.5396,Combined,Punjab,1,1,510,355
140,Govt.  Elementary School Shameer Dinga  (Male),31.94993,73.67515,Male,Punjab,2,0,1023,0
141,Govt.  Elementary School Shameer Dinga  (Female),31.94993,73.67518,Female,Punjab,0,2,0,773
164,Govt. Model Primary School Thatha Asian,31.96307,73.53918,Combined,Punjab,2,1,874,608
163,Govt. Girls Elementary School Tootra,31.96359,73.55665,Combined,Punjab,2,1,789,562
162,Govt. Girls Primary School Thatha Manak,31.96449,73.56058,Combined,Punjab,2,1,789,546
148,Govt. Primary School- Kaleki Mandi (Sharqi) (Male),31.97669,73.60342,Male,Punjab,2,0,898,0
149,Govt. Primary School- Kaleki Mandi (Sharqi) (Female),31.97669,73.60345,Female,Punjab,0,2,0,770
150,Govt.  Higher Secondary School Kaleki- Middle Block (Male),31.97707,73.60357,Male,Punjab,2,0,1083,0
151,Govt.  Higher Secondary School Kaleki- Middle Block (Female),31.97707,73.6036,Female,Punjab,0,2,0,805
152,Govt. Girls Higher Secondary School  Primary Block Kaleki  Mandi (East Side),31.97707,73.60363,Male,Punjab,2,0,1106,0
153,Govt. Girls Higher Secondary School  Primary Block Kaleki  Mandi (West Side),31.97707,73.60366,Female,Punjab,0,2,0,828
156,Govt. Higher Secondary School   Kaleki Mandi- East Side,31.97707,73.60369,Male,Punjab,3,0,1465,0
157,Govt. Higher Secondary School   Kaleki Mandi- (West Side),31.97707,73.60372,Female,Punjab,0,2,0,1070
158,Govt. Girls Higher Secondary School- Kaleki Mandi,31.97707,73.60375,Combined,Punjab,1,1,520,415
165,Govt.  Primary School  Bangar Nao,31.98212,73.52045,Combined,Punjab,2,1,775,629
127,Govt. Model Primary School Samra,31.99505,73.60631,Combined,Punjab,2,1,856,620
126,Govt. Boys Primary   School- Geegay,31.9971,73.55721,Female,Punjab,0,2,0,982
124,Govt. Primary School- Kot Mian,32.00087,73.59349,Combined,Punjab,1,1,479,403
125,Govt. Girls Elecmentary School- Dera Manak (Geegay),32.00426,73.56329,Male,Punjab,3,0,1200,0
121,Govt. Primary School Shah Jamal (East Side),32.02535,73.56094,Male,Punjab,2,0,1104,0
122,Govt. Pirmary School Shah Jamal (West Side),32.02535,73.56097,Female,Punjab,0,2,0,915
175,Govt. Boys Primary School Dharian,32.02799,73.40965,Combined,Punjab,2,2,1047,737
176,Govt.  Primary School  Kot Alam Kalan,32.03808,73.27725,Combined,Punjab,1,1,488,309
120,Govt. Boys Primary School- Saroop Wala,32.04019,73.57478,Combined,Punjab,2,1,823,671
179,Govt. Boys Primary School Jag Bhatti,32.04592,73.34502,Combined,Punjab,1,1,646,355
177,Govt. Elementary School  Kot Ghazi,32.05355,73.28407,Combined,Punjab,2,1,873,468
123,Govt. Model Primary School Phulo Chiragh Shah,32.05416,73.54985,Combined,Punjab,1,1,308,256
168,Govt. Rural Health Center Rasoolpur Tarar,32.05768,73.46725,Combined,Punjab,1,1,638,408
180,Govt. Girls Primary School Kot Mohabat,32.05815,73.31713,Combined,Punjab,1,1,645,454
166,Govt. Boys  Primary School- Nauroz Pur,32.059,73.47198,Male,Punjab,3,0,1363,0
170,Govt. Girls High School Rasool Pur Tarar,32.059,73.47201,Combined,Punjab,2,1,909,641
173,Govt. Girls Elementary School Solangi Kharal,32.06038,73.43001,Male,Punjab,3,0,1406,0
110,Govt. Degree College  for Women Jalalpur Bhattian (East Side),32.06044,73.40144,Female,Punjab,0,2,0,702
112,Govt. Degree College  for Women Jalalpur Bhattian (West Side),32.06044,73.40147,Female,Punjab,0,2,0,589
174,Govt. Boys Primary School Solangi Kharal,32.0606,73.42522,Female,Punjab,0,2,0,1110
109,Govt. Girls Elementary School Mohallah Alam Pura Jalalpur Bhattian,32.06067,73.40149,Male,Punjab,2,0,1073,0
100,Govt.Boys Primary School Peelo,32.06094,73.55907,Combined,Punjab,1,1,561,395
108,Govt. Boys Primary School Alam Pura- Jalalpur Bhattian,32.06128,73.40118,Combined,Punjab,2,1,793,579
169,Govt. High School Rasool Pur Tarar (East Side),32.06232,73.46115,Combined,Punjab,2,1,646,500
171,Govt.  High School Rasool Pur Tarar (West Side),32.06232,73.46118,Combined,Punjab,2,2,975,725
