StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
184,Govt. Primary School Rakh Pindi Jalol,31.92909,73.74023,Combined,Punjab,1,1,380,294
183,Govt. Boys Primary School-  Dera  Jammu,31.95227,73.75294,Combined,Punjab,1,1,812,628
194,Govt. Girls Secondary   School- Kot Hassan Khan East Side,31.96191,73.70843,Combined,Punjab,1,1,218,164
189,Govt. English Medium Primary School Kot Hanjranwan Wala,31.96351,73.6857,Combined,Punjab,2,1,1052,745
190,Govt. Model Primary School Panjatha,31.96679,73.68011,Combined,Punjab,1,1,319,231
191,Govt. Secondary  School Kot Hassan Khan-East Side,31.96786,73.74371,Male,Punjab,2,0,1333,0
192,Govt. Secondary  School Kot Hassan Khan  south Side,31.96786,73.74374,Female,Punjab,0,2,0,1090
193,Govt. Secondary  School Kot Hassan Khan-West Side,31.96786,73.74377,Combined,Punjab,1,1,754,594
195,Govt. Boys Primary School- Chak Gujran Kalan,31.96786,73.7438,Combined,Punjab,2,1,692,486
181,Govt. Girls High School Kassoke (East side),31.98018,73.73306,Male,Punjab,2,0,1021,0
182,Govt. Girls High School Kassoke (west side),31.98018,73.73309,Female,Punjab,0,2,0,716
177,Govt. Higher Secondary School Kassoke- ( East Side),31.98115,73.7306,Combined,Punjab,2,1,862,637
178,Govt.Higher Secondary School Kassoke- ( West Side),31.98115,73.73063,Combined,Punjab,2,1,758,528
179,Govt. Girls Community Model School- Kassoki (East side),31.98123,73.73177,Male,Punjab,2,0,1148,0
180,Govt. Girls Community Model School- Kassoki (West side),31.98123,73.7318,Female,Punjab,0,2,0,796
153,Govt.Girls Secondary School Kot Nanak,31.98195,73.79282,Combined,Punjab,2,1,748,517
148,Govt. Primary School Borianwala,31.98824,73.73905,Male,Punjab,2,0,1174,0
149,Govt. Girls Primary School Borianwala,31.99313,73.75645,Female,Punjab,0,2,0,838
186,Govt. Girls Elementary School Wachoke Khurd East Side,31.99673,73.67085,Male,Punjab,2,0,1130,0
187,Govt.Girls Elementary School Wachoke Khurd West Side,31.99673,73.67088,Female,Punjab,0,2,0,793
152,Govt.Girls Model Primary School Buayke,32.00169,73.7683,Combined,Punjab,1,1,684,516
174,Govt.Girls Secondary School Jurian (East Side),32.00215,73.69857,Male,Punjab,3,0,1464,0
175,Govt.Girls Secondary School Jurian (West Side),32.00215,73.6986,Female,Punjab,0,2,0,1093
172,Govt.Secondary School Jurian(East Side),32.00827,73.7,Male,Punjab,2,0,987,0
173,Govt.Secondary School Jurian  (West Side),32.00827,73.70003,Female,Punjab,0,2,0,790
185,Govt.Secondary School Wachoki Kalan,32.00889,73.68873,Combined,Punjab,2,1,791,575
176,Govt. Girls Elementary School Qila Balwant Singh,32.00907,73.73046,Combined,Punjab,1,1,686,570
143,Govt. Boys Model Primary School Ghanian Khurd,32.00976,73.75026,Combined,Punjab,1,1,535,391
158,Govt.Model Primary School Lakhia,32.01484,73.60523,Combined,Punjab,2,1,769,522
150,Govt. Primary School Laveray Kalan,32.01723,73.7889,Male,Punjab,3,0,1368,0
188,Govt. Primary Girls  School Channi Hoshnak Rai,32.02139,73.65901,Combined,Punjab,1,1,605,397
171,Govt.Girls Elementary School Kariala (West Side),32.02193,73.69198,Female,Punjab,0,2,0,946
168,Govt. Elementary School Kariala (West Side),32.02284,73.69077,Male,Punjab,2,0,1145,0
151,Govt.Girls Secondary School Laveray Kalan,32.02354,73.79175,Female,Punjab,0,2,0,1056
160,Govt. Boys Elementary School Kot Nawan,32.02793,73.69688,Combined,Punjab,1,1,702,504
66,Govt. Elementary School Ram Garh (Thatha Khokhran) (North Side),32.02793,73.69691,Male,Punjab,3,0,1502,0
68,Govt. Elementary School Ram Garh (Thatha Khokhran) (South Side),32.02793,73.69694,Female,Punjab,0,2,0,1196
146,Govt.High School Vinni   East Side,32.03067,73.79365,Male,Punjab,3,0,1456,0
135,Govt.Boys Primary School Sioke,32.03103,73.7942,Combined,Punjab,1,1,595,424
