StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
161,Govt. Girls Primary School Chak No 474,31.76638,73.27514,Combined,Punjab,1,1,505,421
203,Govt. Boys Primary School Bairanwala,31.76642,73.27493,Combined,Punjab,2,1,609,429
155,Govt. Primary School  Dhari Wala- Badar Ali,31.7681,73.24246,Combined,Punjab,1,1,387,264
156,Govt. Primary School Badar Ali (Kot Badar Din),31.7725,73.22836,Combined,Punjab,1,1,768,663
158,Govt. Primary School Chokairian,31.78062,73.21404,Combined,Punjab,2,1,585,473
145,Govt. Secondary  School- Zakheera Beranwala (Chak No.2),31.79931,73.25139,Male,Punjab,2,0,965,0
133,Govt. Girls Elementary School Kishan Garh,31.80339,73.33002,Combined,Punjab,1,1,672,497
157,Govt.  Primary School Attaranwala,31.80506,73.20525,Combined,Punjab,2,1,648,543
159,Govt. Girls Highs School Ghubrika (East Side),31.81724,73.20291,Male,Punjab,2,0,930,0
160,Govt. Girls Highs School Ghubrika (West Side),31.81749,73.20284,Female,Punjab,0,2,0,743
144,Govt. Primary School Chak No. 1,31.81961,73.25594,Combined,Punjab,2,1,754,708
151,Govt. Basic Health Center Mustafa Abad(East side),31.82133,73.27958,Male,Punjab,2,0,1046,0
152,Govt. Basic Health Center Mustafa Abad(West side),31.82133,73.27961,Female,Punjab,0,2,0,953
132,Govt. Primary  School Sharbaga,31.82283,73.33215,Combined,Punjab,1,1,626,457
139,Govt. Girls Primary  School Sharbaga,31.82388,73.33398,Combined,Punjab,1,1,637,455
140,Govt. Elementary School Chah Anah,31.82682,73.36761,Male,Punjab,3,0,1213,0
141,Govt. Girls Elementary School Chah Anah,31.82682,73.36764,Female,Punjab,0,2,0,954
149,Govt. Boys Elementary School Mustafa Abad(East side),31.82952,73.28007,Male,Punjab,2,0,985,0
150,Govt. Boys Elementary School Mustafa Abad(West side),31.82952,73.2801,Female,Punjab,0,2,0,916
147,Govt. Girls High School Mustafa Abad,31.83018,73.27865,Male,Punjab,2,0,986,0
148,Govt. Girls High School Mustafa Abad,31.83018,73.27868,Female,Punjab,0,2,0,822
75,Govt. Primary School         (for boys) Mochi Wala,31.83437,73.50547,Combined,Punjab,2,1,888,616
142,Govt. Primary School Thatha Malian,31.83463,73.25099,Male,Punjab,2,0,947,0
143,Govt. Girls School Thatha Malian,31.83925,73.25015,Female,Punjab,0,2,0,753
74,Govt. Model Primary School Jandraka,31.83963,73.51871,Combined,Punjab,2,1,821,615
153,Govt.  Primary School Tibba Shah Behlol,31.84137,73.21255,Male,Punjab,2,0,1079,0
80,Govt.  Primary School Par Lakhan,31.84158,73.41059,Combined,Punjab,2,1,853,560
165,Govt. Model Primary School Haveli Harbaj Rai,31.84389,73.26378,Combined,Punjab,2,1,856,675
168,Govt. Girls Elementary School  Tiba Shah Behlol,31.84627,73.2086,Combined,Punjab,2,1,636,455
6,Govt. Girls Elementary School Mian Khair Muhammad Noon Pindi Bhattian,31.84627,73.20863,Female,Punjab,0,2,0,802
3,Office of Assistant Director Agricultural Extension Hafizabad Road Pindi Bhattian,31.84637,73.20867,Male,Punjab,2,0,882,0
135,Govt.  Primary School Chattar Wala Pindi Bhattian,31.85154,73.34396,Combined,Punjab,1,1,459,300
167,Govt. Girls Primary School Machonikka,31.85204,73.22701,Female,Punjab,0,2,0,1084
166,Govt.  High School Machonikka,31.85589,73.22379,Male,Punjab,3,0,1281,0
134,Basic Health Unit- Kot Nakka,31.85617,73.3385,Combined,Punjab,1,1,418,365
110,Govt. Girls Elementary School Ambaltas,31.85625,73.43971,Combined,Punjab,1,1,358,308
49,Govt. Girls Primary School Haji Pura Sukheki East Side,31.85657,73.49987,Male,Punjab,3,0,1109,0
50,Govt. Girls Primary School Haji Pura Sukheki West Side,31.85657,73.4999,Female,Punjab,0,2,0,939
122,Govt.  Primary School Fatehki(East),31.85809,73.29773,Male,Punjab,2,0,1243,0
51,Govt. Girls Primary School Tubewell Colony- Sukheki East Side,31.85906,73.51546,Male,Punjab,2,0,992,0
52,Govt. Girls Primary School Tubewell Colony- Sukheki West Side,31.85906,73.51549,Female,Punjab,0,2,0,844
77,Govt.  Boys Primary School Nawan Maneka Kalan,31.86055,73.46032,Male,Punjab,2,0,945,0
130,Govt.  High School- Kot Nakka (East Side),31.86118,73.33246,Male,Punjab,3,0,1197,0
131,Govt.  High School- Kot Nakka (West Side),31.86118,73.33249,Female,Punjab,0,2,0,999
136,Govt. Girls High School Kot Nakka(East side),31.86162,73.32954,Male,Punjab,2,0,1200,0
137,Govt. Girls High School Kot Nakka(West side),31.86162,73.32957,Female,Punjab,0,2,0,1159
138,Govt. Girls High School Kot Nakka (Combined),31.86162,73.3296,Combined,Punjab,1,1,568,432
30,Govt. Boys Primary School Tubewell Colony- Sukheki (East Side),31.86173,73.51734,Male,Punjab,2,0,1063,0
31,Govt. Boys Primary School Tubewell Colony- Sukheki (West Side),31.86173,73.51737,Female,Punjab,0,2,0,896
54,Govt. Girls Degree College Sukheki Mandi (West Side),31.86215,73.51774,Combined,Punjab,1,1,613,465
121,Govt. Primary School Thatha Raika,31.86273,73.36871,Combined,Punjab,1,1,447,399
43,Govt. Primary School Walgan Baran,31.8638,73.48353,Combined,Punjab,1,1,590,456
78,Govt.  Boys Primary School Nawan Maneka Kalan east,31.86573,73.4548,Female,Punjab,0,2,0,785
2,Govt. Model High School  Pindi Bhattian- Jonubi Block,31.86577,73.25861,Female,Punjab,0,2,0,701
164,Govt. Boys Primary School Thatha Karimdad,31.86602,73.25868,Combined,Punjab,1,1,537,439
34,Office of Municipal  Committee Sukheki Mandi,31.86603,73.50275,Male,Punjab,2,0,977,0
35,Office of Municipal Committee Sukheki Mandi,31.86603,73.50278,Female,Punjab,0,2,0,786
32,Govt. Girls Higher Secondary School Sukheki Mandi,31.86639,73.50761,Male,Punjab,2,0,952,0
33,Govt. Girls Higher Secondary School Sukheki (Part Primary),31.86639,73.50764,Female,Punjab,0,2,0,876
111,Govt. Primary School Par Ahmed,31.86684,73.3833,Combined,Punjab,1,1,536,390
107,Govt.  Elementary School  Bhobhra,31.86842,73.40975,Female,Punjab,0,2,0,751
37,Govt. Girls Primary School Nai Mandi Sukheki,31.86958,73.49171,Female,Punjab,0,2,0,821
38,Govt.  Rashid Minhas High School Sukheki Mandi East,31.87273,73.48674,Male,Punjab,2,0,1065,0
39,Govt.  Rashid Minhas High School Sukheki Mandi west,31.87273,73.48677,Female,Punjab,0,2,0,850
36,Govt. Primary School Nai Mandi Sukheki Mandi,31.873271928025538,73.4966296703814,Male,Punjab,2,0,1054,0
123,Govt.  Primary School Fatehki(West),31.8747,73.3179,Female,Punjab,0,2,0,918
40,Govt. Girls Primary School Sukheki Gown,31.87646,73.46743,Combined,Punjab,2,1,738,715
41,Govt. Elementary School Sukheki Gaon (East Side),31.87646,73.46746,Male,Punjab,3,0,1482,0
42,Govt.  Elementary School Sukheki Gaon- West Side,31.87646,73.46749,Female,Punjab,0,2,0,1170
16,Govt. Girls Primary School Nawab Pura- Pindi Bhattian (East side),31.87715,73.30067,Female,Punjab,0,2,0,792
18,Govt. Girls Primary School Nawab Pura- Pindi Bhattian (West side),31.87715,73.3007,Female,Punjab,0,2,0,1363
108,Govt. Girls  Elementary School Rah Bhobhra,31.87768,73.41003,Combined,Punjab,2,1,762,636
106,Govt.  Elementary School  Bhobhra,31.87769,73.40997,Male,Punjab,2,0,1036,0
109,Govt. Girls Primary School Mona Maneka,31.87938,73.44167,Combined,Punjab,1,1,598,478
72,Govt.  Elementary School  Tawalay Wali,31.88158,73.50185,Male,Punjab,3,0,1127,0
