StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
110,Government Girls  Primary School Liaquat Colony (Female)  (T),32.03267949205349,72.6917217425659,Female,Punjab,0,2,0,837
109,Tentage- Govt. Boys Primary School Sultanabad  (Male)   (T)- Sargodha.,32.03494,72.68997,Male,Punjab,2,0,929,0
89,Government Primary School BISE- Sargodha  (Female) (T),32.041238101912455,72.68232827532908,Female,Punjab,0,3,0,1457
86,National Girls Higher Secondary School inside PAF Base (T) (Male),32.04714261053871,72.68496287062979,Male,Punjab,1,0,424,0
87,National Girls Higher Secondary School inside PAF Base (T) (Female),32.04716910556408,72.68495733930436,Female,Punjab,0,1,0,327
34,Government Boys Primary School  Dera Sanjhan Singh near Pacca Dera ( Male) (T),32.060386785761274,72.6436487009164,Male,Punjab,3,0,1487,0
35,Government Girls Primary School Pacca Dera (Female) (T),32.06213410113479,72.64388797228995,Female,Punjab,0,2,0,1209
58,Tantage at Canal Park  (COMBINED)  (T),32.06377362486021,72.69970508412034,Combined,Punjab,2,2,720,693
5,Government Girls High School Istaqalabad (East)  (Male)  (P),32.067361280525866,72.64469546291323,Male,Punjab,3,0,1639,0
6,Government Girls High School Istaqalabad (West ) (Female) ( P ),32.06738361221535,72.64470026003185,Female,Punjab,0,3,0,1292
8,Government Girls High  School Istaqlabad (South) (Female) P,32.06738625205949,72.64465393182664,Female,Punjab,0,2,0,1089
7,Government Girls High School Istaqlabad (North)  (Male)  ( P ),32.067386927965416,72.64469927884986,Male,Punjab,3,0,1296,0
1,Governemnt Model Primary School Istaqalabad   (Male)  (T),32.069759583535394,72.64287461952628,Male,Punjab,3,0,1539,0
2,Governemnt Model Primary School Istaqalabad   (Male)  (T),32.069759583535394,72.6429046195263,Male,Punjab,3,0,1222,0
3,Government model Primary School Istaqalalbad (Female) (T),32.069759583535394,72.6429346195263,Female,Punjab,0,2,0,1055
4,Government model Primary School Istaqalalbad (Female) (T),32.06997804797792,72.64312929662016,Female,Punjab,0,3,0,1284
17,Government Technical Training College Sillanwali Road Sargodha (Female) West (P),32.07312027159446,72.64684064137397,Female,Punjab,0,2,0,1144
16,Government Technical Training College Sillanwali Road Sargodha (East) Male (P),32.07312322942125,72.64687390188402,Male,Punjab,3,0,1331,0
80,Govt. College of Technology- PAF Road- Sargodha  (Male)  (P),32.0737283,72.6845509,Male,Punjab,3,0,1312,0
81,Govt. College of Technology- PAF Road- Sargodha  (Female)  (P),32.0737283,72.6845809,Female,Punjab,0,3,0,1258
88,Board of Intermediate & Secondary Education Sargodha  East   (Male)   (T),32.0737283,72.6846109,Male,Punjab,3,0,1680,0
90,Government Girls Elementary School Noor Colony  (Male)  (P),32.0737283,72.6846409,Male,Punjab,4,0,1908,0
91,Government Girls Elementary School Noor Colony (Female) (P),32.0737283,72.6846709,Female,Punjab,0,4,0,1797
104,Government Boys Elementary School Chak No.49 N.B.  (Male)  (T),32.0737283,72.6847009,Male,Punjab,2,0,1066,0
105,Government Boys Elementary School Chak No.49 N.B.  (Male)  (T),32.0737283,72.6847309,Male,Punjab,2,0,976,0
106,Government Boys Elementary School Chak No.49 N.B. (Female) (T),32.0737283,72.6847609,Female,Punjab,0,4,0,1836
107,Government  Boys High School Sultanabad  (Male)  (P),32.0737283,72.6847909,Male,Punjab,3,0,1536,0
108,Government  Boys High School Sultanabad (Female) (P),32.0737283,72.6848209,Female,Punjab,0,3,0,1380
111,Government Girls High School Chak No.49 N.B.  East  (Male)   (P),32.0737283,72.6848509,Male,Punjab,2,0,1106,0
112,Government Girls High School Chak No.49 N.B.  East  (Male)   (P),32.0737283,72.6848809,Male,Punjab,3,0,1233,0
113,Government Girls High School Chak No.49 N.B.  West (Female (P),32.0737283,72.6849109,Female,Punjab,0,4,0,1937
115,GovernmentGirls High  School Chak No.48 N.B.  (Female)  (P),32.0737283,72.6849409,Female,Punjab,0,4,0,1829
47,Office of Civil Defence Building  (Female) (T)),32.074564,72.6538971,Female,Punjab,0,2,0,699
52,Government Comp High School- Sargodha   (Male)  (P),32.074564,72.6539271,Male,Punjab,2,0,938,0
53,Municipal Corporation  Boys High School Block A S/Town (West ) (Female) (P),32.074564,72.6539571,Female,Punjab,0,2,0,855
54,Government Girls  High School Shamsher Town (East)  (Male)   (P),32.074564,72.6539871,Male,Punjab,2,0,1212,0
55,Government Girls High  School Shamsher Town (West) Female (P),32.074564,72.6540171,Female,Punjab,0,3,0,1244
63,Government Girls Elementary School Jinnah Colony (Female)  (T),32.074564,72.6540471,Female,Punjab,0,3,0,1455
64,Government Girls Elementary School Jinnah Colony (Female)  (T),32.074564,72.6540771,Female,Punjab,0,2,0,935
65,Muncipal Corporation Girls Primary School Jinnah Colony (Female) (T),32.074564,72.6541071,Female,Punjab,0,4,0,1709
66,Government Girls Comp High School Sargodha  (Male)   (P),32.074564,72.6541371,Male,Punjab,2,0,1031,0
67,Government Girls Comp High School Sargodha (Female)  (P),32.074564,72.6541671,Female,Punjab,0,2,0,999
68,Government Girls Degree College Farooq Colony (East )  (Male)  (P),32.074564,72.6541971,Male,Punjab,2,0,1186,0
69,Government Girls Degree College Farooq Colony ( (West ) (Female) (P),32.074564,72.6542271,Female,Punjab,0,2,0,1154
70,Office of District Education Officer  (Elementary)  (Male)   (P),32.074564,72.6542571,Male,Punjab,2,0,704,0
71,Office of District Education Officer (SE) (Female)  (P),32.074564,72.6542871,Female,Punjab,0,2,0,741
72,Pasco Godown Building Near Muradabad Colony  (Male)   (T),32.074564,72.6543171,Male,Punjab,4,0,1875,0
73,Pasco Godown Building Near Muradabad Colony (Female )  (T),32.074564,72.6543471,Female,Punjab,0,4,0,1842
78,Government Girls Model Primary School SohniPura (Male) (East)  (T),32.074564,72.6543771,Male,Punjab,4,0,1714,0
79,Government Girls Model Primary School SohniPura (Female)  (West) (T),32.074564,72.6544071,Female,Punjab,0,4,0,1688
82,Government Boys High School Chak NO.47 N.B.  (Male)  (P),32.074564,72.6544371,Male,Punjab,4,0,1694,0
98,Government Boys High School- Chak No.47 N.B   East- (Male),32.074564,72.6544671,Male,Punjab,2,0,739,0
99,Government Boys High School Chak NO.47 N.B.  East (Female)  (P),32.074564,72.6544971,Female,Punjab,0,2,0,660
83,Government Girls Elementry School Chak No.47 N.B. . (Female) (P),32.074564,72.6545271,Female,Punjab,0,3,0,1568
84,Government Girls Elementary School Peer Muhammad Colony (East)  (Male)   (P),32.074564,72.6545571,Male,Punjab,4,0,1191,0
85,Government Girls Elementary School Peer Muhammad Colony (West) (Female) (P),32.074564,72.6545871,Female,Punjab,0,4,0,1152
92,Government Federal Public School Tariqabad  (Male)  (P),32.074564,72.6546171,Male,Punjab,4,0,1699,0
93,Federal Government Public School Tariqabad (Female) (P),32.074564,72.6546471,Female,Punjab,0,3,0,1413
94,Government Girls High School Tariqabad  (Male)   (P),32.074564,72.6546771,Male,Punjab,3,0,1354,0
95,Government Cantt Boys Primary School Tariqabad (Female)  (T),32.074564,72.6547071,Female,Punjab,0,3,0,1237
96,FG Public Elementary School- Chak No. 78 NB (Male) Sargodha.,32.074564,72.6547371,Male,Punjab,3,0,1364,0
97,FG Public Elementary School- Chak No. 78NB (Female) Sargodha.,32.074564,72.6547671,Female,Punjab,0,2,0,1200
100,Government Boys Primary  School Chak No.86 N.B.  (Male)   (T),32.074564,72.6547971,Male,Punjab,2,0,1099,0
101,Government Girls Elementary School Chak No.86 N.B. (Female)  (T),32.074564,72.6548271,Female,Punjab,0,2,0,988
102,FG Public Girls Secondary School Chak NO.87 N.B.  (Male)  (P),32.074564,72.6548571,Male,Punjab,2,0,1159,0
103,FG Public Girls Secondary School Chak NO.87 N.B.  (Female)  (P),32.074564,72.6548871,Female,Punjab,0,2,0,996
36,Federal Government  Public School Maila Mandi Road  (Male)  (P),32.07632062814441,72.66015159811019,Male,Punjab,4,0,1889,0
37,Federal Government  Public School Maila Mandi Road( Female) (P),32.07632062814441,72.6601815981102,Female,Punjab,0,3,0,1612
38,Federal Governemnt  Public School Maila Mandi Road( Male) (P),32.07632062814441,72.6602115981102,Male,Punjab,3,0,1402,0
39,Municipal Corporation  Primary School NO.13 Old Civil Line (Female) (T),32.07632062814441,72.6602415981102,Female,Punjab,0,2,0,1219
40,Deputy Registrar Cooprative Socity- Sargodha (Male),32.07632062814441,72.6602715981102,Male,Punjab,1,0,647,0
41,Office of Excise & Taxation Sargodha (Female) (T),32.07632062814441,72.6603015981102,Female,Punjab,0,1,0,620
42,Office of High Way  (Male)  (T),32.07632062814441,72.6603315981102,Male,Punjab,3,0,1494,0
43,Municipal Corporation  Girls Primary School Canal Colony (Female) (T),32.07632062814441,72.6603615981102,Female,Punjab,0,3,0,1347
44,Railway Rest House  (Male)  (T),32.07632062814441,72.6603915981102,Male,Punjab,2,0,771,0
45,Railway Hospital (Female) (T),32.07632062814441,72.6604215981102,Female,Punjab,0,2,0,701
46,Office of Naib Zila Nazim Zila Council  (Male)  (T),32.07632062814441,72.6604515981102,Male,Punjab,2,0,791,0
48,Government Girls Elementary School Railway Colony (East)  (Male)  (P),32.07632062814441,72.6604815981102,Male,Punjab,3,0,1381,0
49,Government Girls Elementary School Railway Colony  ( West)(Female) (P),32.07632062814441,72.6605115981102,Female,Punjab,0,3,0,1260
56,Government Deaf & Dumb School Fazal Town  (Male)   (T),32.07632062814441,72.6605415981102,Male,Punjab,3,0,1454,0
57,Government Girls Primary School Fazal Town (Female) (T),32.07632062814441,72.6605715981102,Female,Punjab,0,3,0,1280
59,Government Jamia Qasim-ul-Aloom High School  (Male)  (East) (P),32.07632062814441,72.6606015981102,Male,Punjab,4,0,1768,0
60,Government Jamia Qasim-ul-Aloom High School  (Male)  (West) (P),32.07632062814441,72.6606315981102,Male,Punjab,2,0,1057,0
61,Government Jamia Qasim-ul-Aloom High School  (Male)  (West) (P),32.07632062814441,72.6606615981102,Male,Punjab,2,0,954,0
62,Government Jamia Qasim-ul-aloom High School  South Canal Side ( Male) (P),32.07632062814441,72.6606915981102,Male,Punjab,2,0,1171,0
114,Government Boys Elementary School Chak No.48 N.B.  (Male)  (East)  (P),32.07639750833598,72.65989301293784,Male,Punjab,4,0,2048,0
74,University of Sargodha  (East)  (Male)    (P),32.076594919655825,72.65878769524572,Male,Punjab,2,0,962,0
75,University of Sargodha  (West) (Female)    (P),32.076594919655825,72.6588176952457,Female,Punjab,0,2,0,947
76,Government Saint Pal E/S Sargodha  (Male)   (T),32.076594919655825,72.6588476952457,Male,Punjab,3,0,1599,0
77,Government Saint Pal E/S Sargodha (Female)  (T),32.076594919655825,72.6588776952457,Female,Punjab,0,3,0,1497
127,Government Girls High School Chak No.8 Reomunt Depot  (P)(Combined),32.076594919655825,72.6589076952457,Combined,Punjab,1,1,665,507
129,Government Girls Primary School Chak NO.9 Remount Depot  (T)(Combined),32.076594919655825,72.6589376952457,Combined,Punjab,2,1,719,587
140,Government Girls High School Chak NO.79 N.B. (Male)   (T),32.076594919655825,72.6589676952457,Male,Punjab,3,0,1406,0
141,Government Girls High School Chak No.79 N.B. (Female)  (T),32.076594919655825,72.6589976952457,Female,Punjab,0,2,0,1123
153,Govt. Girls High School Chak No.79 NB (Male),32.076594919655825,72.6590276952457,Male,Punjab,3,0,2064,0
154,Govt. Girls High School Chak No. 79 NB (Female),32.076594919655825,72.6590576952457,Female,Punjab,0,3,0,1634
32,Govt. Girls High School Chak No. 79 NB Sargodha (Male),32.076594919655825,72.6590876952457,Male,Punjab,2,0,999,0
33,Govt. Girls High School Chak No. 79 NB Sargodha (Female),32.076594919655825,72.6591176952457,Female,Punjab,0,2,0,879
142,Government Boys High School Chak No.79 N.B.  (Male)  (P),32.076594919655825,72.6591476952457,Male,Punjab,2,0,696,0
143,Government Boys High School Chak No.79 N.B.  (Male)  (P),32.076594919655825,72.6591776952457,Male,Punjab,4,0,1513,0
144,Government Boys High School Chak No.79 N.B. (Female) (P),32.076594919655825,72.6592076952457,Female,Punjab,0,4,0,1753
