StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
127,Government Girls High School- Joyia,32.12077,72.1729,Combined,Punjab,1,1,591,554
126,Government Boys Primary School- Joyia,32.1208,72.17293,Combined,Punjab,1,1,597,517
137,Government Boys Elementry School- Chak No: 39/MB,32.12666,72.22766,Combined,Punjab,1,1,757,581
123,Government Boys Elementary School- Hassan Pur Tiwana (Middle Portion),32.16936,72.29263,Combined,Punjab,1,1,561,491
125,Government Boys Elementary School- Hassan Pur Tiwana (Primary Portion),32.16936,72.29266,Combined,Punjab,1,1,764,719
148,Government Boys Primary School Chak No: 45/MB,32.20366,72.22042,Combined,Punjab,2,2,978,852
128,Government Boys Primary School- Thathi Gengera,32.20528,72.29362,Combined,Punjab,2,2,752,709
147,Government Boys Elementary School- Chak No. 46/MB,32.21401,72.22959,Combined,Punjab,1,1,807,583
133,Government Boys High School- Jalalpur Syedan,32.21557,72.29932,Combined,Punjab,2,2,988,906
145,Government Boys Primary School-Chak No 50/MB,32.21841,72.24265,Combined,Punjab,1,1,487,451
146,Government Girls Modal School  Chak No.50 MB,32.21852,72.2425,Combined,Punjab,1,1,813,689
143,Government Girls High School- Chak No. 47/MB (High Part),32.22528,72.21028,Combined,Punjab,1,1,664,604
144,Government Girls High School- Chak No: 47/MB ( Middle Part),32.22528,72.21031,Combined,Punjab,2,2,1052,857
132,Government Boys Primary School-Muhammad Shah,32.23341,72.31073,Combined,Punjab,2,2,723,623
149,Government Girls High School- Chak No. 51/MB (East),32.23514,72.26414,Combined,Punjab,1,1,587,519
150,Government Girls High School- Chak No.51/MB- (West),32.23514,72.26417,Combined,Punjab,1,1,714,658
141,Government Boys Primary School- Chak No: 49/MB (East),32.23613,72.22637,Male,Punjab,2,0,944,0
142,Govt. Boys Primary School- Chak No. 49/MB (West),32.23613,72.2264,Female,Punjab,0,2,0,797
140,Government Boys Primary School- Chak No: 48/MB,32.24406,72.20567,Combined,Punjab,1,1,786,673
151,Government Boys Primary School- Chak No. 52/MB,32.24526,72.2648,Male,Punjab,2,0,1200,0
130,Government Boys Elementary School- Kurpalka,32.24822,72.31893,Combined,Punjab,1,1,1061,1003
131,Government Girls Elementary School- Kurpalka,32.24822,72.31896,Combined,Punjab,1,1,554,544
154,Government Boys Primary School- Chak No. 53/MB,32.24828,72.27081,Male,Punjab,2,0,1241,0
153,Government Girls  Primary School- Chak No. 53/MB,32.24843,72.27099,Female,Punjab,0,2,0,1129
152,Government Girls  Primary School- Chak No. 52/MB,32.24863,72.24094,Female,Punjab,0,2,0,1114
169,Government Boys Primary School- Muhammad Bin Qasim Colony,32.24863,72.24097,Male,Punjab,3,0,1553,0
171,Government Boys Primary School- Zaman Colony (East),32.25418,72.2477,Male,Punjab,3,0,1404,0
172,Government Boys Primary School- Zaman Colony (West),32.25418,72.24773,Female,Punjab,0,2,0,1192
129,Government Model Primary School- Mangoor,32.25983,72.32528,Combined,Punjab,2,2,856,819
213,District Population Office- Aheer Colony Jauharabad,32.27852,72.27753,Combined,Punjab,1,1,510,469
206,Univerisity Of Education Jauharabad Campus- Jauharabad,32.28172,72.29197,Female,Punjab,0,4,0,1826
96,Government Boys Primary School-  Al Kausar Rasoolabad Khushab.,32.283327579487846,72.35219932230355,Female,Punjab,0,2,0,739
100,Government Girls Primary School-  Islamabad Mohallah Hussianabad-B.,32.28359828432575,72.34271194443146,Female,Punjab,0,4,0,1882
98,Government Girls Primary School-  Islamabad Mohallah Hussianabad-A.,32.28360112235108,72.3427227137559,Female,Punjab,0,3,0,1932
195,Government Boys High School- No.4 Block No.1- Jauharabad,32.284208466729275,72.27609080795084,Male,Punjab,2,0,1068,0
202,Government Boys Technical High School- (High Portion),32.28423,72.29198,Male,Punjab,3,0,1567,0
205,Government Boys Technical High School- Jauharabad (Middle Portion),32.28423,72.29201,Male,Punjab,4,0,1912,0
97,Government Boys Primary School-  Shahananwala. (East),32.28497328401003,72.34432129730091,Male,Punjab,4,0,2147,0
99,Government Boys Primary School-  Shahanwala (West),32.28497328401003,72.3443512973009,Male,Punjab,4,0,2193,0
