StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
129,Government Girls Primary School Jatoi Wala,31.58242,71.95795,Combined,Punjab,1,1,333,293
124,Government Boys Elementary School- Dado Wala,31.62254,71.92291,Combined,Punjab,1,1,706,683
123,Government Girls Primary School- Dadowala,31.62655,71.91136,Combined,Punjab,1,1,261,284
125,Government Boys High School- Shah Hussain,31.66356,71.99615,Combined,Punjab,1,1,619,620
128,Gorvernment Girls Primary School Borana,31.66411,71.99599,Female,Punjab,0,2,0,856
126,Government Boys High School- Burana Wala (Middle Portion),31.67123,71.98931,Combined,Punjab,2,2,856,800
127,Government Boys High School- Burana Wala (Primary Portion),31.67123,71.98934,Male,Punjab,2,0,998,0
135,Government Boys High School- Katimar (Middle Portion),31.69474,71.86683,Combined,Punjab,1,1,657,622
136,Government Boys High School- Katimar (High Portion),31.69474,71.86686,Combined,Punjab,1,1,400,370
134,Government Boys Elementary School- Nawan Saggu,31.73055,71.8526,Combined,Punjab,2,2,781,755
132,Government Girls Elementry School- Jharkil,31.73297,71.77077,Combined,Punjab,1,1,451,461
133,Government Boys Elementary School- Jarra,31.73298,71.77026,Combined,Punjab,2,2,776,653
122,Government Girls Elementary School- Bambool,31.74208,71.95948,Combined,Punjab,1,1,733,642
120,Government Boys High School- Bambool (High Portion),31.74554,71.9593,Combined,Punjab,1,1,755,650
121,Government Boys High School- Bambool (Middle Portion),31.74554,71.95933,Combined,Punjab,1,1,720,614
115,Government Boys High School- Tahla Khatwan (High Portion),31.74968,72.06908,Combined,Punjab,1,1,615,503
119,Government Boys High School- Khatwan (Middle Poriton),31.74968,72.06911,Combined,Punjab,1,1,468,412
144,Government Boys High School- Obhal,31.75074,72.16253,Combined,Punjab,2,2,855,715
116,Basic Health Centre Tehla Khatwan,31.75967,72.07145,Combined,Punjab,1,1,491,403
117,Office of Union Council Tahla Khatwan,31.75967,72.07148,Female,Punjab,0,2,0,927
118,Government Girls Elemantary School Khatwan,31.75976,72.07285,Male,Punjab,2,0,1060,0
145,Government Girls Community Model School- Obhal,31.77728,72.18367,Combined,Punjab,2,2,1006,941
113,Government Boys Elementry School- Tahla  (East),31.7856,72.03489,Combined,Punjab,1,1,391,344
114,Government Boys Elementry School-Tahla,31.7856,72.0349,Combined,Punjab,1,1,564,467
130,Government Boys High School- Jharkil (Primary Portion),31.78765,71.82117,Combined,Punjab,1,1,678,660
131,Government Boys High School- Jharkil (High Portion),31.78765,71.8212,Combined,Punjab,1,1,446,429
139,Government Boys Elementary School- Mekan,31.79285,71.74631,Combined,Punjab,2,2,884,805
142,Government Girls High School- Sath Shahani,31.81861,72.20833,Combined,Punjab,1,1,494,421
143,Government Girls Primary School- Kot Ahmed Khan,31.82027,72.19816,Combined,Punjab,1,1,339,240
158,Government Boys High School Jamali,31.84274,72.0627,Combined,Punjab,1,1,707,536
161,Government Boys Primary School- Jamali (Pacca Road),31.84274,72.06273,Combined,Punjab,1,1,716,580
160,Government Girls Primary School Jamali (Main Road),31.84578,72.05307,Female,Punjab,0,2,0,925
