StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
71,Govt Boys High School Karlu wala (Primary Portion),30.967751,71.2007535,Combined,Punjab,1,1,576,454
72,Govt Boys High School Karlu wala (High Portion),30.967751,71.2007835,Combined,Punjab,2,1,728,590
52,Govt Boys Elementary School Sangeran Wala(Elementory Portion),31.205616309980666,71.39073445009079,Combined,Punjab,2,1,667,532
53,Govt Boys Elementary School Sangeran Wala(Primary Portion),31.205616309980666,71.3907644500908,Combined,Punjab,1,1,540,377
115,Govt Girls Primary School Chak No 2 Rakh Mauj Garh,31.223627639483087,71.33451477140218,Combined,Punjab,2,1,826,573
54,Govt Boys Elementary School Shady wala,31.255662496428556,71.34326138509826,Combined,Punjab,1,1,626,400
90,Govt Model Primary School Ghup Ghulwanwala,31.26517970986872,71.78061149670015,Combined,Punjab,1,1,506,349
125,Govt Boys Elementary School 71ML (Elementory Portion),31.27381,71.28384,Female,Punjab,0,2,0,868
110,Govt Girls Primary School Magasi wala,31.29364693735699,71.90594805013373,Combined,Punjab,2,1,1054,741
112,Govt Boys Primary School Magasi wala,31.29364693735699,71.9059780501337,Combined,Punjab,2,1,735,553
127,Govt Boys High School 72ML (High Portion),31.31233,71.22742,Combined,Punjab,1,1,501,364
120,Govt Boys Primary School 70ML,31.31710573205484,71.22540830689951,Combined,Punjab,2,1,704,527
128,Govt Boys High School 70-A ML (P),31.31710573205484,71.2254383068995,Combined,Punjab,1,1,680,518
89,Govt Boys Elementary School Basti Islamabad,31.331088963551764,71.75911629101643,Combined,Punjab,2,1,824,533
121,Govt Boys Primary School 74ML,31.338948685520062,71.2081639737558,Combined,Punjab,1,1,496,368
108,Govt Boys High School Dhingana No 1 (Primary Portion),31.3440126861032,71.9217406482121,Combined,Punjab,2,1,1108,744
109,Govt Boys High School Dhingana (Middle Portion),31.3440126861032,71.9217706482121,Combined,Punjab,1,1,641,433
132,Govt Model Primary School 216 TDA,31.344550989812767,71.2464775345381,Combined,Punjab,1,1,604,426
91,Govt Boys Primary School Shah Said Ali wala,31.345325005166604,71.76350006154051,Combined,Punjab,2,1,857,625
92,Govt Girls Primary School Shah Said Ali wala,31.345325005166604,71.7635300615405,Combined,Punjab,1,1,595,463
88,Govt Girls Primary School Cheena Haider Abad,31.34571298713025,71.70272873615546,Combined,Punjab,1,1,620,470
83,Govt Boys Higher Secondary School Haider Abad,31.346475215634424,71.69456379899984,Combined,Punjab,2,1,829,738
84,Govt Girls Primary School Mohallah Gharbi Haider Abad,31.3479950409008,71.69217017263567,Male,Punjab,2,0,1182,0
85,Govt Girls Primary School Mohallah Janubi Haider Abad,31.3479950409008,71.6922001726357,Female,Punjab,0,2,0,1045
86,Govt Girls CM Elementary School Haider Abad (Male),31.34889827631811,71.69643050719131,Male,Punjab,2,0,960,0
87,Govt Girls CM Elementary School Haider Abad(Female),31.34889827631811,71.6964605071913,Female,Punjab,0,2,0,846
55,Govt Boys Primary School Jhangi Ram,31.349105,71.6823051,Combined,Punjab,1,1,355,225
56,Govt Boys Primary School Dadoo,31.349105,71.6823351,Combined,Punjab,2,1,858,700
93,Govt Boys Primary School Muhani Shah wala,31.349105,71.6823651,Combined,Punjab,2,1,851,759
79,Govt Boys School Muhammad Yar Wala,31.3611242,71.6077008,Combined,Punjab,2,1,962,685
129,Govt Boys Elementary School 75ML (P),31.366308799031206,71.20194046825259,Combined,Punjab,1,1,553,400
18,Govt Boys Primary School Chak No 55TDA,31.3778,71.29939,Combined,Punjab,2,1,787,615
44,Govt Boys Elementary School Noor Shah Kaisian wala (P),31.380785003701064,71.50415627744749,Combined,Punjab,2,1,743,606
34,Govt Girls Primary School Mankera No.2 (P),31.381631611030947,71.44256029681546,Female,Punjab,0,2,0,999
45,Boys Primary School  Basti Shah wali (PEF),31.386008764548677,71.55940780201334,Combined,Punjab,2,1,836,667
40,Junior Public Elementary School Mankera,31.386119513136617,71.44393950054739,Combined,Punjab,1,1,463,353
35,Govt Girls Primary School Andron Qila Mankera,31.38706,71.44231,Female,Punjab,0,2,0,1094
38,Govt Girls High School Mankera  (Middle Portion),31.3873200941417,71.44313750397691,Female,Punjab,0,2,0,928
166,Govt Boys Primary School Chak No 72 TDA,31.387611472140048,71.0616276533223,Combined,Punjab,1,1,544,431
36,Govt Girls Primary School Mankera No1  (P),31.387633032478558,71.4415715936164,Male,Punjab,2,0,1090,0
32,Govt Boys High School Mankera  (Middle Portion),31.387767533755383,71.43843795045596,Male,Punjab,2,0,1064,0
33,Govt Boys High School Mankera  (High Portion),31.387767533755383,71.438467950456,Male,Punjab,2,0,1172,0
119,Govt Girls Primary School Chak No-66 ML,31.38829,71.20709,Combined,Punjab,2,1,816,644
37,Govt College of Commerce Mankera,31.39227,71.44157,Male,Punjab,2,0,1225,0
167,Govt Girls Primary School Chak No-81 ML,31.39287913504242,71.03217338356139,Combined,Punjab,1,1,494,362
10,Govt Girls Primary School Khan Pur Janubi,31.39318237952087,71.13768671450785,Combined,Punjab,2,1,894,687
117,Govt Girls High SchoolS Chak No-67 ML (Primary Portion),31.39336,71.22572,Male,Punjab,2,0,1398,0
118,Govt Girls High SchoolS Chak No-67 ML (High Portion),31.39336,71.22575,Female,Punjab,0,2,0,1021
131,Govt Girls Elementory School Chak No 214 TDA,31.39352,71.24251,Combined,Punjab,1,1,626,521
130,Govt Boys Primary School Nusrat wala,31.400890619345972,71.26782231018501,Combined,Punjab,2,1,700,575
