StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
120,Government Model Primary School Chak No.197,31.43253,72.79713,Combined,Punjab,2,1,671,488
119,Government Model Primary School Chak No.197 West,31.43365,72.79424,Combined,Punjab,1,1,561,474
117,Government Model Primary School Chak No.198,31.43588,72.77319,Combined,Punjab,2,2,701,594
118,Government Model Primary School Chak No.198 West,31.43602,72.77274,Combined,Punjab,1,1,528,433
115,Government Model Primary School Chak No.204,31.45922,72.78889,Combined,Punjab,1,1,435,443
116,Government Model Primary School Chak No.204,31.45922,72.78892,Combined,Punjab,2,2,667,566
101,Government Boys Primary School Chak  206/JB (Est),31.46263,72.80625,Combined,Punjab,2,2,929,686
100,Government Boys High School Chak 185/JB,31.46557,72.84214,Female,Punjab,0,2,0,914
99,Government Boys High School Chak 185/JB,31.46557,72.84217,Male,Punjab,2,0,1116,0
98,Government Boys Primary School Chak  184/JB Sial,31.47475,72.83338,Combined,Punjab,1,1,195,143
97,Union Cuncil Office 184/JB Sial,31.47994,72.83112,Combined,Punjab,2,2,972,937
96,Government Boys Primary School Chak 184/JB Janglu,31.48554,72.83911,Combined,Punjab,1,1,608,497
107,Government Boys Primary School Chak 235/JB,31.48641,72.80306,Female,Punjab,0,3,0,925
108,Government Modal Elementry School Chak  236/JB,31.48641,72.80309,Combined,Punjab,2,2,907,768
95,Government Girls High School Chak 184/JB,31.48811,72.83707,Combined,Punjab,1,1,455,382
106,Government Girls Primary School Chak 235/JB,31.50153,72.82268,Male,Punjab,2,0,1139,0
110,Government Model Primary School Chak  237/JB Janobi Est,31.50168,72.79364,Combined,Punjab,1,1,549,464
46,Government Model Primary School Chak 150/JB,31.50879,72.87134,Female,Punjab,0,3,0,1096
45,Government Model Primary School Chak 150/JB,31.51097,72.87238,Male,Punjab,2,0,1218,0
109,Government Boys High School Chak  237/JB Shumali,31.51136,72.77944,Combined,Punjab,2,2,783,675
48,Government Girls C/M Chak 151/JB,31.51292,72.8519,Combined,Punjab,2,1,744,629
47,Government Boys  Elementary School Chak 151/JB,31.51443,72.85629,Combined,Punjab,2,1,749,623
105,Government Girls Elementary School Chak 234/JB,31.51538,72.81669,Combined,Punjab,2,2,760,663
102,Government Middle School Chak 155/JB,31.528,72.81857,Combined,Punjab,1,1,470,416
104,Government Model Primary School Chak 157/JB,31.52864,72.78327,Combined,Punjab,2,2,803,657
68,Government Model Primary School Chak 149/JB,31.53178,72.8857,Female,Punjab,0,2,0,873
67,Government Model Primary School Chak 149/JB,31.53207,72.88594,Male,Punjab,2,0,1017,0
49,Government Boys High School Chak 152/JB,31.53285,72.86556,Male,Punjab,2,0,1107,0
50,Government Girls High School Chak 152/JB,31.5334,72.86477,Female,Punjab,0,2,0,899
