StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
21,Government. Girls  Primary School Chak No.162/RB Sikandarpur (Female) Permanent,31.3274354,73.2513452,Female,Punjab,0,2,0,943
26,Government. Boys Primary School Chak No.185/RB (Combined) Permanent,31.3274354,73.2513752,Combined,Punjab,1,1,617,492
109,Government. Boys Primary School Chak No 191/RB Moloani East (Male) Permanent,31.4301044,73.0694074,Male,Punjab,4,0,1982,0
110,Government. Girls  Elementery School Chak No 191/RB Moloani East-  (Female) Permanent,31.4301044,73.0694374,Female,Punjab,0,4,0,1730
112,Government. Girls  Primary School Chak No 191/RB West-  (Female) Permanent,31.4301044,73.0694674,Female,Punjab,0,2,0,1108
114,Government. Girls  Primary School Chak No 191/RB West-  (Female) Permanent,31.4301044,73.0694974,Female,Punjab,0,2,0,613
105,Government. Boys Primary School Chak No 190/RB Karari Khurd East (Male.),31.4301044,73.0695274,Male,Punjab,3,0,1385,0
80,Government. Girls  Primary School Rasool Pura Chak Jhumra  (Male) Permanent,31.4376996,73.139716,Male,Punjab,3,0,1503,0
81,Government. Girls  Primary School Rasool Pura Chak Jhumra  (Combined) Permanent,31.4376996,73.139746,Combined,Punjab,1,1,543,418
125,Government. Boys Middle School Chak No.197/RB( Male ) Permanent,31.4817235,73.1768244,Male,Punjab,3,0,1223,0
127,Government. Boys Middle School  Chak No 197/RB  (Male) Permanent,31.4817235,73.1768544,Male,Punjab,2,0,642,0
128,Government. Boys Middle School Chak No 197/RB  (Female) Permanent,31.4817235,73.1768844,Female,Punjab,0,2,0,531
166,MC Girls Elementary School- Lyallpur Colony- Chak No. 196/RB (Female) (T),31.48409,73.09586,Female,Punjab,0,2,0,795
122,Government Iqra Girls Primary  School Chak No 197/RB (Combined) Nie Abadi Permanent,31.4841311,73.174393,Combined,Punjab,1,1,590,437
126,Union Council Office- 197/RB ( Female) Permanent,31.4841311,73.174423,Female,Punjab,0,2,0,1059
123,Government Girls Community Primary School  Chak No 197/RB  (Male) Permanent,31.485368,73.1756951,Male,Punjab,4,0,1730,0
124,Government Girls Community Primary School  Chak No 197/RB  (Female) Permanent,31.485368,73.1757251,Female,Punjab,0,3,0,1416
113,Government. Boys Primary School Chak No 191/RB Moloani West-  (Male) Permanent,31.4866415,73.1580181,Male,Punjab,2,0,765,0
131,Government. Girls  Primary School -II  Chak No 201/RB West (Male) Permanent,31.4866415,73.1580481,Male,Punjab,3,0,1261,0
132,Government. Girls  Primary School -II  Chak No 201/RB West (Male) Permanent,31.4866415,73.1580781,Male,Punjab,4,0,1658,0
133,Government. Boys Primary School Chak No 201/RB West (Female) Permanent,31.4866415,73.1581081,Female,Punjab,0,2,0,1006
134,Government. Boys Primary School Chak No 201/RB West (Female) Permanent,31.4866415,73.1581381,Female,Punjab,0,3,0,1387
161,Government Boys Elementry School- Chak No. 196/RB Gharbi (Male),31.48924,73.11777,Male,Punjab,4,0,1436,0
163,Government Boys Elementry School- Chak No. 196/RB Gharbi (Male),31.48924,73.1178,Male,Punjab,3,0,1215,0
164,Government Boys Elementry School- Chak No. 196/RB Gharbi (Female),31.48924,73.11783,Female,Punjab,0,2,0,1044
129,Government. Girls  Primary School Chak No 201/RB East (Male) Permanent,31.4944929,73.1681964,Male,Punjab,3,0,1816,0
