StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
59,Government. Girls  Primary School  Chak No.140/RB (Combined) Permanent,31.4115275,73.1800911,Combined,Punjab,2,2,792,669
67,Government.Boys Primary School Chak No. 53/RB Jhugiyan  (Combined) Permanent,31.4256102,73.112925,Combined,Punjab,2,1,728,519
71,Government. Boys Primary School No.II Chak No. 57/RB Rajaywala khurd  (Combined) Permanent,31.4256102,73.112955,Combined,Punjab,1,1,370,264
74,Government. Boys Primary School Chak No. 59/RB Gandiwind (Combined) Permanent,31.4256102,73.112985,Combined,Punjab,1,1,575,410
75,Government. Boys  Primary School No.II Chak No.59/RB Warrian  (Combined) Permanent,31.4256102,73.113015,Combined,Punjab,2,1,767,514
76,Basic Health Unit Chak No. 58/RB (Male) Permanent,31.4256102,73.113045,Male,Punjab,3,0,1423,0
77,Government. Girls Middle School Chak No. 58/RB (Female) Permanent,31.4256102,73.113075,Female,Punjab,0,3,0,1087
86,Office  Union Council Chak No.61/RB (Combined) Permanent,31.4256102,73.113105,Combined,Punjab,1,1,342,224
89,Government. Girls High School Chak No.61/RB (Male) Permanent,31.4256102,73.113135,Male,Punjab,4,0,1870,0
90,Government. Girls High School Chak No.61/RB (Female) Permanent,31.4256102,73.113165,Female,Punjab,0,2,0,1507
91,Government. Girls High School Chak No.61/RB (Combined) Permanent,31.4256102,73.113195,Combined,Punjab,1,1,260,175
92,Government. Boys Primary School Chak No.62/RB (Male) Permanent,31.4256102,73.113225,Male,Punjab,3,0,1410,0
93,Government. Boys Primary School Chak No.62/RB (Female) Permanent,31.4256102,73.113255,Female,Punjab,0,2,0,977
96,Government.  Girls Primary School Chak No.71/RB (Combined) Permanent,31.4256102,73.113285,Combined,Punjab,2,1,689,495
98,Government. Girls Community Modle School Chak No. 68/RB- Jamiana (Combined) Permanent,31.4256102,73.113315,Combined,Punjab,1,1,312,203
99,Government. Boys Primary School Chak No. 68/RB Kalla (Male) Permanent,31.4256102,73.113345,Male,Punjab,4,0,1918,0
100,Government. Girls High  School Chak No. 68/RB (Female) Permanent,31.4256102,73.113375,Female,Punjab,0,3,0,1457
3,Government. Girls  High School Chak No.124/RB Paroopiyan (Male) Permanent,31.4376996,73.139716,Male,Punjab,2,0,1040,0
4,Government. Girls  High School Chak No.124/RB Paroopiyan (FeMale) Permanent,31.4376996,73.139746,Female,Punjab,0,2,0,862
21,Government Girls Primary School Chak No.126/RB Dar-ul-Ihsan (Male) Permanent,31.4376996,73.139776,Male,Punjab,3,0,1495,0
65,Government.Girls Community Middle School Chak No.55/RB (Combined) Permanent,31.4376996,73.139806,Combined,Punjab,2,2,1114,755
