StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
61,Govt. Girls Primary School University Road,24.93592,67.13531,Combined,Sindh,2,2,1012,944
62,Govt. Girls Primary School University Road,24.93592,67.13534,Combined,Sindh,2,2,809,766
63,Govt. Girls Primary School University Road,24.93592,67.13537,Combined,Sindh,2,2,1407,1262
64,Govt. Girls Primary School University Road,24.93592,67.1354,Combined,Sindh,2,2,762,635
65,Govt. College of Physical Education University Road,24.93639,67.13613,Combined,Sindh,2,2,1002,928
47,New Horizon Academy,24.93772,67.14184,Combined,Sindh,2,2,718,543
49,Asian School Rizwan Society,24.93821,67.15004,Combined,Sindh,2,2,1039,962
50,Asian School Rizwan Society,24.93821,67.15007,Combined,Sindh,2,2,1525,1278
54,White House Grammer School Rizwan Society,24.93876,67.15237,Combined,Sindh,2,2,897,818
10,Bright Star School Abbas Town,24.93919,67.09136,Combined,Sindh,2,2,1258,908
46,GBPS T.B. Sanatorium,24.9406,67.14267,Combined,Sindh,2,2,1032,887
51,Standard Grammar School Gulzar-e-Hijri,24.9416,67.14919,Combined,Sindh,2,2,816,827
52,Standard Grammar School Gulzar-e-Hijri,24.9416,67.14922,Combined,Sindh,2,2,735,703
55,GBPS Haji Ramzan Gabool Goth,24.94197,67.15498,Combined,Sindh,2,2,887,848
56,GBPS Haji Ramzan Gabool Goth,24.94197,67.15501,Combined,Sindh,2,2,704,478
57,GBPS Haji Ramzan Gabool Goth,24.94197,67.15504,Combined,Sindh,2,2,1638,1270
53,K.C.K Grammar School Zohra Nagar Gulzar-e-Hijri,24.94276,67.14824,Combined,Sindh,2,2,699,658
9,Al- Noor School Abbas Town,24.94321,67.09312,Combined,Sindh,2,2,765,652
13,G.B.P.S. Chalbani Soldier Bazar Bakhar Gabol Village UC-12 Gulshann-E-Iqbal,24.94322,67.09113,Combined,Sindh,2,2,760,408
7,St.Francis School Abul Hsassan Isphani Road,24.94339,67.09747,Combined,Sindh,2,2,1002,930
6,Ali Public Secondary School Abbas Town,24.94359,67.09406,Combined,Sindh,2,2,766,725
14,Crown City School Paradise Homes,24.9437,67.09772,Combined,Sindh,2,2,1360,1265
15,Crown City School Paradise Homes,24.9437,67.09775,Combined,Sindh,2,2,748,701
8,Iqra Grammar School,24.94378,67.09422,Combined,Sindh,2,2,755,644
17,St. Spring Field School A-1 Villas,24.94524,67.09944,Combined,Sindh,2,2,965,959
18,St. Spring Field School A-1 Villas,24.94524,67.09947,Combined,Sindh,2,2,711,693
38,GBPS Seeta Nagar- SUPARCO Road,24.9459,67.1348,Combined,Sindh,2,2,1379,931
11,Community Hall Chapal Garden Abu-ul-Hassan Asphani Road,24.94648,67.0917,Combined,Sindh,2,2,1087,814
19,Fatima Zehra Childern Grammar School/ College,24.94655,67.10119,Combined,Sindh,2,2,919,589
20,Fatima Zehra Childern Grammar School/ College,24.94655,67.10122,Combined,Sindh,2,2,1432,752
12,Govt. Boys Primary School Abdullha Palari Bakhar Goth,24.9468,67.09039,Combined,Sindh,2,2,1236,695
30,Kids Word Secondary School Khatam-E-Naboowat Chowk,24.94728,67.10902,Combined,Sindh,2,2,697,650
31,Kids Word Secondary School Khatam-E-Naboowat Chowk,24.94728,67.10905,Combined,Sindh,2,2,834,798
32,The Educator School,24.94756,67.10848,Combined,Sindh,2,2,971,851
33,The Educator School,24.94756,67.10851,Combined,Sindh,2,2,1109,975
24,Ghazi Foundation School Sarah Avenue Gulzar-e-Hijri,24.94853,67.10357,Combined,Sindh,2,2,786,502
43,KHATOON-E-PAKISTAN GIRLS SCHOOL.,24.94901,67.13015,Male,Sindh,4,0,2976,0
4,Ruler Health Center Janat Gul Town Sohrab Goth,24.94963,67.08767,Combined,Sindh,2,2,1377,513
5,Ruler Health Center Janat Gul Town Sohrab Goth,24.94963,67.0877,Combined,Sindh,2,2,1461,713
21,The Creative Academy,24.94973,67.10512,Combined,Sindh,2,2,959,817
44,GBPS Sindh Marora Goth,24.95009,67.12043,Female,Sindh,0,4,0,1764
22,Tasmia Kindergarten & Grammer School,24.95019,67.10423,Combined,Sindh,2,2,961,861
23,Tasmia Kindergarten & Grammer School,24.95019,67.10426,Combined,Sindh,2,2,700,468
41,New Grammar Govt. Primary School Sachal Goth,24.95025,67.12939,Combined,Sindh,2,2,1249,832
42,D.B. Adwani GBPS Sachal Goth,24.95048,67.12975,Combined,Sindh,2,2,798,606
45,D.B. Adwani GBPS Sachal Goth,24.95048,67.12978,Combined,Sindh,2,2,1099,786
39,GGSS Sachal Goth,24.95105,67.12986,Combined,Sindh,2,2,1457,1015
66,GBPS Kheema Basti at Ayub Goth,24.9511,67.12728,Combined,Sindh,2,2,1361,912
25,Malik Community Center Sector 15/A,24.9516,67.10739,Combined,Sindh,2,2,991,846
26,Malik Community Center Sector 15/A,24.9516,67.10742,Combined,Sindh,2,2,707,556
27,Malik Community Center Sector 15/A,24.9516,67.10745,Combined,Sindh,2,2,881,684
40,Roshan Tara School Sachal Goth,24.95233,67.12975,Combined,Sindh,2,2,646,493
34,Muhammadi Public School Play Group to Matric Boys & Girls Kaneez Fatima Block-I,24.95366,67.11013,Combined,Sindh,2,2,1184,1082
28,Young Learner School,24.95487,67.11208,Combined,Sindh,2,2,1206,1021
3,Iqra Islah-ul-Itfal Academy Indus Complex,24.9563,67.0891,Combined,Sindh,2,2,1047,640
59,Askari Parents Lab School,24.9573,67.14848,Combined,Sindh,2,2,2188,1485
58,Fayaz Foundation Girls School,24.95791,67.14922,Combined,Sindh,2,2,1530,1430
29,Asian School Campus-II- Teachers Society Sector-16/A,24.95883,67.11625,Combined,Sindh,2,2,1730,1344
60,Zafar Academy School GBPS Abdullah Shah Ghazi,24.96046,67.14961,Combined,Sindh,2,2,1155,909
1,Rabia Mukati Girls Public High School,24.96114,67.09564,Combined,Sindh,2,2,1196,696
2,Nasra School Super main Highway Campus,24.96375,67.10672,Combined,Sindh,2,2,1324,614
36,The Set Gawalya School Sachal Goth,24.96481,67.12388,Combined,Sindh,2,2,966,722
37,The Set Gawalya School Sachal Goth,24.96481,67.12391,Combined,Sindh,2,2,805,422
35,Era Educare School Salma Garden near Super Highway,24.96646,67.11307,Combined,Sindh,2,2,1297,996
16,The Education Valley  School Behind A-1 Complex,24.97063,67.11858,Combined,Sindh,2,2,1303,831
