StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
43,GBPS Pehlwan Goth Block-9 Gulistan-e-Johar Gulshan-e-Iqbal Town (combined),24.90573,67.13898,Combined,Sindh,2,2,781,507
46,GBPS Pehlwan Goth Block-9 Gulistan-e-Johar Gulshan-e-Iqbal Town (combined),24.90573,67.13901,Combined,Sindh,2,2,716,503
44,Tuba Public School Pehlwan Goth (Combined),24.90928,67.14051,Combined,Sindh,2,2,1188,833
42,GBPS Ahad Primary School Pehlwan Goth (Combined),24.91247,67.14159,Combined,Sindh,2,2,1318,879
45,GBPS Ahad Primary School Pehlwan Goth (Combined),24.91247,67.14162,Combined,Sindh,2,2,864,646
73,Boston Grammer School- Block 11- Gulshan-e-Iqbal (Combined),24.91357,67.10434,Combined,Sindh,2,2,899,894
75,Boston Grammer School- Block 11- Gulshan-e-Iqbal (Combined),24.91357,67.10437,Combined,Sindh,2,2,1038,1044
74,Gulshan-e-James School- Block 11- Gulshan-e-Iqbal (Combined),24.91553,67.10482,Combined,Sindh,2,2,649,662
76,Gulshan-e-James School Block-11  Gulshan (Combined),24.91553,67.10485,Combined,Sindh,2,2,1171,978
53,Aaqa Institute of Sceince Technology- Zikri Goth Block-11- Gulistan-e-Johar(combined),24.91708,67.13947,Combined,Sindh,2,2,866,769
54,Aaqa Institute of Sceince Technology- Zikri Goth Block-11- Gulistan-e-Johar(combined),24.91708,67.1395,Combined,Sindh,2,2,1368,996
77,Al-Nafees Scholars Academy Block 11- Gulshan-e-Iqbal (Combined),24.9171,67.10179,Combined,Sindh,2,2,1059,935
81,Govt. Boys Primary Modern Public School- Hussain Hazara Goth- Block-11- Gulshan-e-Iqbal (combined),24.91855,67.10749,Combined,Sindh,2,2,660,597
82,Govt. Boys Primary Modern Public School- Hussain Hazara Goth- Block-11- Gulshan-e-Iqbal (combined),24.91855,67.10752,Combined,Sindh,2,2,1020,686
70,Kids foundation School- Block 11- Gulshan-e-Iqbal (Combined),24.91857,67.10885,Combined,Sindh,2,2,1012,603
71,St. Frances School Block-11 Gulshan-e-Iqbal  (Combined),24.91978,67.10427,Combined,Sindh,2,2,1274,816
72,St. Frances School Block-11 Gulshan-e-Iqbal  (Combined),24.91978,67.1043,Combined,Sindh,2,2,1016,638
78,Green Tree School Block-11 Gulshan-e-Iqbal    (Combined),24.91979,67.10428,Combined,Sindh,2,2,928,888
79,Green Tree Block-11 Gulshan-e-Iqbal    (Combined),24.91979,67.10431,Combined,Sindh,2,2,938,815
80,Green Tree Block-11 Gulshan-e-Iqbal    (Combined),24.91979,67.10434,Combined,Sindh,2,2,1203,1137
67,Muhammadi Public School Block-16 Gulistan-e-Johar (Combined),24.92055,67.11726,Combined,Sindh,2,2,1490,1460
14,City School of Excelance Plot No. A-130 Block-3  Gulshan-e-Iqbal (Combined),24.92741,67.09145,Combined,Sindh,2,2,1339,631
3,Preston University Block-7 Gulshan-e-Iqbal (Combined),24.92802,67.09866,Combined,Sindh,2,2,854,833
1,Govt: Degree Science & Commerce College Blocks-7 Gulshan-e-Iqbal (Combined),24.92827,67.10696,Combined,Sindh,2,2,979,969
2,Govt: Degree Science & Commerce College Blocks-7 Gulshan-e-Iqbal (Combined),24.92827,67.10699,Combined,Sindh,2,2,1554,1511
10,Falcon Grammer School Block-4  Gulshan-e-Iqbal (Combined),24.93062,67.09788,Combined,Sindh,2,2,913,910
9,Falcon Grammer School Block-4  Gulshan-e-Iqbal (Combined),24.93062,67.09791,Combined,Sindh,2,2,601,602
47,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),24.93072,67.13506,Combined,Sindh,2,2,1174,1043
48,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),24.93072,67.13509,Combined,Sindh,2,2,905,842
49,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),24.93072,67.13512,Combined,Sindh,2,2,1284,1200
50,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),24.93072,67.13515,Combined,Sindh,2,2,685,469
51,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),24.93072,67.13518,Combined,Sindh,2,2,944,956
52,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),24.93072,67.13521,Combined,Sindh,2,2,781,881
62,Geological Survey of Pakistan Block-2 Gulistan-e-Johar (Combined),24.93163,67.13227,Combined,Sindh,2,2,691,651
63,Geological Survey of Pakistan Block-2 Gulistan-e-Johar (Combined),24.93163,67.1323,Combined,Sindh,2,2,676,673
64,Geological Survey of Pakistan Block-2 Gulistan-e-Johar (Combined),24.93163,67.13233,Combined,Sindh,2,2,1028,839
15,Adamjee Grammer School- Block-4/A Gulshan-e-Iqbal,24.93334,67.09405,Combined,Sindh,2,2,828,675
16,Adamjee Convention High School- Block-4/A Gulshan-e-Iqbal,24.93334,67.09408,Combined,Sindh,2,2,699,541
19,White House Grammer School Block 4 Gulshan-e-Iqbal (Combined),24.93431,67.09854,Combined,Sindh,2,2,984,665
20,White House Grammer School Block 4 Gulshan-e-Iqbal (Combined),24.93431,67.09857,Combined,Sindh,2,2,1206,800
8,White House Grammer Block-4 Gulshan-e-Iqbal (Combined),24.93431,67.0986,Combined,Sindh,2,2,1184,1165
7,Zubair Public School Block-7 Gulshan-e-Iqbal (Combined),24.93483,67.09744,Combined,Sindh,2,2,876,814
13,Nakhlah Educational House for Islamic Grooming Junior Campus Block-4  Gulshan-e-Iqbal,24.93577,67.10265,Combined,Sindh,2,2,411,394
12,Mama Pride School- Block-4  Gulshan-e-Iqbal (Combined),24.93599,67.10265,Combined,Sindh,2,2,796,753
37,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),24.93617,67.15154,Combined,Sindh,2,2,1061,713
38,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),24.93617,67.15157,Combined,Sindh,2,2,1144,910
39,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),24.93617,67.1516,Combined,Sindh,2,2,1302,1198
40,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),24.93617,67.15163,Combined,Sindh,2,2,1484,1408
27,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),24.9367,67.10398,Combined,Sindh,2,2,1213,849
28,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),24.9367,67.10401,Combined,Sindh,2,2,727,666
29,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),24.9367,67.10404,Combined,Sindh,2,2,1202,1060
32,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),24.9367,67.10407,Combined,Sindh,2,2,866,850
33,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),24.9367,67.1041,Combined,Sindh,2,2,1259,1165
17,GBSS Azeem Khan Gabool Goth Block 4/A Gulshan-e-Iqbal (Combined),24.93814,67.09322,Combined,Sindh,2,2,1296,1031
21,Merit N Merit School Abu Al-Hassan Isphani Road (Combined),24.93843,67.10277,Combined,Sindh,2,2,1047,987
