StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
96,H.M Iqra accedmay Campus-2 (old name Hilah Pblic School),24.85367,66.99754,Combined,Sindh,2,2,1227,1026
97,H.M Iqra accedmay Campus-2 (old name Hilah Pblic School),24.85367,66.99757,Combined,Sindh,2,2,1113,1008
98,H.M Iqra accedmay Campus-2 (old name Hilah Pblic School),24.85367,66.9976,Combined,Sindh,2,2,1143,969
100,V.S.V. GBPS Kaghzi Bazar- Mazar Jodia Bazar,24.85387,66.99904,Combined,Sindh,2,2,1252,1134
99,V.S.V. GBPS Kaghzi Bazar- Mazar Jodia Bazar,24.85387,66.99907,Combined,Sindh,2,2,1115,929
41,The Agha Khan School Agha khan Road.,24.85414,66.99654,Combined,Sindh,2,2,1162,964
63,GBSS Hussania Iranian Nawab Mahabat Khanji Road,24.85479,66.99773,Combined,Sindh,2,2,882,719
64,GBSS Hussania Iranian Nawab Mahabat Khanji Road,24.85479,66.99776,Combined,Sindh,2,2,796,743
95,H.M.Secondary Schoo lNear Abul Chowk Old Town.,24.85489,66.99735,Combined,Sindh,2,2,1227,1059
101,J.K Acadamy Kaghzi Bazar,24.8553,66.99924,Combined,Sindh,2,2,1123,947
46,Haji Abdullah Haroon Collage Khadda,24.85563,66.99155,Combined,Sindh,2,2,1132,974
47,Haji Abdullah Haroon Collage Khadda,24.85563,66.99158,Combined,Sindh,2,2,1216,964
40,The Educators Nest,24.8557,66.9957,Combined,Sindh,2,2,1286,1141
51,Kara Bai Karim ji (Campus) GBSS  Khadda,24.85577,66.99286,Combined,Sindh,2,2,1163,956
52,Kara Bai Karim ji (Campus) GBSS  Khadda,24.85577,66.99289,Combined,Sindh,2,2,802,680
53,GBLSS Hakim Fateh Muhammad. (Kara Bai Karim ji (Campus) GBSS  Khadda),24.85577,66.99292,Combined,Sindh,2,2,925,761
42,G.B.S.S. Haji Abdullah Haroon Shah Waliullah Road,24.85581,66.99277,Combined,Sindh,2,2,1299,1036
43,G.B.S.S. Haji Abdullah Haroon Shah Waliullah Road,24.85581,66.9928,Combined,Sindh,2,2,1239,976
