StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
69,Abdul Khaliq Jumma Hall Eid Gah Community Centre,24.86517,66.99992,Combined,Sindh,2,2,1412,1112
70,Abdul Khaliq Jumma Hall Eid Gah Community Centre,24.86517,66.99995,Combined,Sindh,2,2,1450,1073
42,GGPS Ghulam Rasool Denso Road Chakiwara,24.86568,66.99886,Combined,Sindh,2,2,1123,976
43,GBSS Lyari No. 2 Main Chakiwara,24.8658,66.99917,Combined,Sindh,2,2,1302,1077
47,GBSS Lyari No. 2 Main Chakiwara,24.8658,66.9992,Combined,Sindh,2,2,1129,991
38,GBSS S.M Lyari Chakiwara Rd No.2,24.86892,66.9972,Combined,Sindh,2,2,1464,1002
44,Hasan Ali Haji Hoti Government Girls Primary School,24.86895,66.99818,Combined,Sindh,2,2,1194,917
41,Ghazi Muhammad Bin Qasim Govt. Boys Higher Sec. School Chakiwara No.2,24.86907,66.99767,Combined,Sindh,2,2,1292,987
46,Ghulam Muhammad Nooruldin Govt. Girls Primary School,24.86917,66.9975,Combined,Sindh,2,2,1244,1042
45,Ghulam Rasool Baloch Lower Secondary School,24.86917,66.99777,Combined,Sindh,2,2,1259,946
73,Pak Bolouch Pry School  Molvi Umer Road,24.86934,67.0031,Combined,Sindh,2,2,1495,1018
74,Pak Bolouch Pry School  Molvi Umer Road,24.86934,67.00313,Combined,Sindh,2,2,1303,952
75,Pak Bolouch Pry School  Molvi Umer Road,24.86934,67.00316,Combined,Sindh,2,2,1193,1000
63,DMC Girls- Boys Elementry School No. 44-45,24.86947,66.99867,Combined,Sindh,2,2,1196,915
8,Sun Rise Sec School  F-16 Hanfia Masjid Road,24.86984,66.981,Combined,Sindh,2,2,1456,1056
10,Ghulamaman-e- Abbas Sec School Mari Pur Road,24.87044,66.97765,Combined,Sindh,2,2,670,438
68,GGSS Kalakot New Kumar wara Road,24.87056,67.00111,Combined,Sindh,2,2,1263,1030
6,KMC School No. 1/2  F-22 Taj Masjid Road.,24.87071,66.98037,Combined,Sindh,2,2,1323,983
7,KMC School No. 1/2  F-22 Taj Masjid Road.,24.87071,66.9804,Combined,Sindh,2,2,1395,1030
11,PN Model School (Behria Model) KNCRE Agra Taj Colony,24.87083,66.9786,Combined,Sindh,2,2,1120,908
67,Yousuf Alvi GGPS Islam Road,24.87108,67.00253,Combined,Sindh,2,2,1418,1013
5,Nobel Grammar School Agra Taj Campus- Gousia Masjid Road- Lyari.,24.87111,66.98499,Combined,Sindh,2,2,1357,1064
1,GBHSS Ghazi Muhammad Bin Qasim Shah Abdul Latif Bhittai Road,24.87133,66.98579,Combined,Sindh,2,2,1422,922
2,GBHSS Ghazi Muhammad Bin Qasim Shah Abdul Latif Bhittai Road,24.87133,66.98582,Combined,Sindh,2,2,1757,1343
