StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
96,GBSS Ranchore Line Pan Mandi Nanakwara,24.85799,67.00547,Combined,Sindh,2,2,1290,1024
97,GBSS Ranchore Line Pan Mandi Nanakwara,24.85799,67.0055,Combined,Sindh,2,2,1282,1210
101,GBSS Kotwal Building Baba-e-Urdu Road Thathai Compound,24.85799,67.00993,Combined,Sindh,2,2,1133,943
103,Ronaq - e - Islam Secondary School Chand Bibi Road.,24.858,67.00674,Combined,Sindh,2,2,1151,1065
104,Ronaq - e - Islam Secondary School Chand Bibi Road.,24.858,67.00677,Combined,Sindh,2,2,982,924
102,GBSS Unique Near Civil Hospltal.,24.85912,67.01181,Combined,Sindh,2,2,905,809
87,Hoor Bai Hajiani Girls School Yaqoob Khan Road.,24.85963,67.01334,Combined,Sindh,2,2,1341,1161
88,Hoor Bai Hajiani Girls School Yaqoob Khan Road.,24.85963,67.01337,Combined,Sindh,2,2,1228,1042
89,DMC Eid Gah Dispensiry Gondi Street.,24.86053,67.01517,Combined,Sindh,2,2,1348,1111
100,Karachi College For Women Chand Bibi Road.,24.86097,67.01136,Combined,Sindh,2,2,1069,965
98,Federal Govt. Urdu University Abdul Haq Campus,24.86112,67.01022,Combined,Sindh,2,2,1257,1103
99,Federal Govt. Urdu University Abdul Haq Campus,24.86112,67.01025,Combined,Sindh,2,2,1313,1112
15,CMS (Campus) Govt. Boys Sec  School,24.86152,67.00655,Combined,Sindh,2,2,1289,1123
16,CMS (Campus) Govt. Boys Sec  School,24.86152,67.00658,Combined,Sindh,2,2,1397,1073
17,CMS (Campus) Govt. Boys Sec  School,24.86152,67.00661,Combined,Sindh,2,2,1409,986
18,CMS (Campus) Govt. Boys Sec  School,24.86152,67.00664,Combined,Sindh,2,2,1356,1081
19,CMA Govt. Boys Sec  School CMS (Campus),24.86152,67.00667,Combined,Sindh,2,2,1209,1021
20,CMA Govt. Boys Sec  School CMS (Campus),24.86152,67.0067,Combined,Sindh,2,2,1058,839
92,GBPS NJV- M.A. jinnah Road.,24.86195,67.0192,Combined,Sindh,2,2,1299,1160
95,GBPS NJV- M.A. jinnah Road.,24.86195,67.01923,Combined,Sindh,2,2,1299,1195
90,G.G.S.S.  New Ranchore Line Behind N.J.V,24.862,67.0179,Combined,Sindh,2,2,1282,1055
91,G.G.S.S. New Ranchore Line Behind N.J.V,24.862,67.01793,Combined,Sindh,2,2,1284,1053
93,GBLSS Modern Behind NJV,24.86267,67.01744,Combined,Sindh,2,2,1357,1144
94,GBLSS Modern Behind NJV,24.86267,67.01747,Combined,Sindh,2,2,1302,1133
8,Rashid Minhas KMC Pry. School-Syed Mehmood Shah Road.,24.86279,67.0006,Combined,Sindh,2,2,1290,1093
67,Y.W.C.A. Girls Secondary School M.A.Jnnah Road,24.86282,67.02067,Combined,Sindh,2,2,1075,1002
68,Y.W.C.A. Girls Secondary School M.A.Jnnah Road,24.86282,67.0207,Combined,Sindh,2,2,1131,1120
69,Y.W.C.A. Girls Secondary School M.A.Jnnah Road,24.86282,67.02073,Combined,Sindh,2,2,1192,1064
6,S.M. Shah Ghazi Juna Kumbhar Wara,24.86389,67.00063,Combined,Sindh,2,2,1332,924
7,S.M. Shah Ghazi Juna Kumbhar Wara,24.86389,67.00066,Combined,Sindh,2,2,1319,1053
78,Assa Jalal Secondary School Ammbaji Wala Road.,24.86396,67.01579,Combined,Sindh,2,2,1241,1097
79,Assa Jalal Secondary School Ammbaji Wala Road.,24.86396,67.01582,Combined,Sindh,2,2,984,860
80,Assa Jalal Secondary School Ammbaji Wala Road.,24.86396,67.01585,Combined,Sindh,2,2,1216,1108
81,G.B.P.S Narainpura Urdu School,24.86398,67.01229,Combined,Sindh,2,2,1455,1056
83,G.B.P.S Narainpura Urdu School,24.86398,67.01232,Combined,Sindh,2,2,1281,1004
11,Bilal City  Secondary School Off. Nishter Road,24.86444,67.01164,Combined,Sindh,2,2,1332,1023
12,Bilal City  Secondary School Off. Nishter Road,24.86444,67.01167,Combined,Sindh,2,2,1379,1061
82,DMC Lower Sec School- Pankha Lane.,24.86448,67.01292,Combined,Sindh,2,2,1511,1003
85,M.H Grammer School Opp. Libral School AI Shifa Street,24.86568,67.01447,Combined,Sindh,2,2,1449,1147
74,GGPS G.A. Allana Near Hoti Market,24.86602,67.01711,Combined,Sindh,2,2,1304,1074
77,G.G.S.S G.A. Allana Campus Near Hoti Market,24.86602,67.01714,Combined,Sindh,2,2,1327,1169
13,St. Farancies Secondary School Off. Nishter Road,24.86608,67.00795,Combined,Sindh,2,2,1285,971
14,St. Farancies Secondary School Off. Nishter Road,24.86608,67.00798,Combined,Sindh,2,2,1181,963
65,our Lady Fatima School- Rendal Road near Reno Center.,24.86629,67.02258,Combined,Sindh,2,2,1253,1045
66,our Lady Fatima School- Rendal Road near Reno Center.,24.86629,67.02261,Combined,Sindh,2,2,857,773
75,G.B.L.S.S. Quid Near Hoti Market,24.8664,67.01635,Combined,Sindh,2,2,1282,1047
76,G.B.L.S.S. Quid Near Hoti Market,24.8664,67.01638,Combined,Sindh,2,2,1153,998
84,Bilal City Grammer School Phase -III near Sabri Masjid.,24.86643,67.01314,Combined,Sindh,2,2,1461,1053
86,Bilal City Grammer School Phase -III near Sabri Masjid.,24.86643,67.01317,Combined,Sindh,2,2,1420,1180
72,GGSS Muslim Association near Rajkot Hospital.,24.86703,67.01574,Combined,Sindh,2,2,1289,1095
73,GGSS Muslim Association near Rajkot Hospital.,24.86703,67.01577,Combined,Sindh,2,2,1218,1099
64,DMC 26 to 29  Pry School Police Head Qrts.,24.86713,67.02115,Combined,Sindh,2,2,1240,979
3,DMC Primary School No.03-04- near Lyari Digree College .,24.86722,67.00619,Combined,Sindh,2,2,1353,946
71,H.M Grammer Primary/Secondary School Near Taha Masjid Street,24.86807,67.01574,Combined,Sindh,2,2,1166,979
31,Florance Secondary School near Alhe- Hadees Masjid Islampura.,24.86812,67.01204,Combined,Sindh,2,2,1184,943
32,Florance Secondary School near Alhe- Hadees Masjid Islampura.,24.86812,67.01207,Combined,Sindh,2,2,1340,1018
33,Florance Secondary School near Alhe- Hadees Masjid Islampura.,24.86812,67.0121,Combined,Sindh,2,2,1029,898
34,Florance Secondary School near Alhe- Hadees Masjid Islampura.,24.86812,67.01213,Combined,Sindh,2,2,647,506
70,Al Fateh Sec. School Near Taha Musjid Street,24.86842,67.01579,Combined,Sindh,2,2,1249,1065
10,Shaheed Bazazir Bhutto University Faqir muhammad Durra Khan Road.,24.86846,67.00538,Combined,Sindh,2,2,1361,935
4,Shaheed Bazazir Bhutto University Faqir muhammad Durra Khan Road.,24.86846,67.00541,Combined,Sindh,2,2,1507,814
5,Shaheed Bazazir Bhutto University Faqir muhammad Durra Khan Road.,24.86846,67.00544,Combined,Sindh,2,2,1389,1051
9,Shaheed Bazazir Bhutto University Faqir muhammad Durra Khan Road.,24.86846,67.00547,Combined,Sindh,2,2,1589,956
30,DMC  Dispensary Dharramsiwara,24.86881,67.01316,Combined,Sindh,2,2,1238,924
2,DMC Primary School No.05- Gass Mandi.,24.86891,67.01107,Combined,Sindh,2,2,1428,952
62,DMC Aziz Karim School No.  24 / 25,24.86966,67.01614,Combined,Sindh,2,2,1130,848
63,DMC Aziz Karim School No.  24 / 25,24.86966,67.01617,Combined,Sindh,2,2,1305,955
28,DMC Azeem School 30-31-32-33 Azeem Dharamswami,24.86996,67.01203,Combined,Sindh,2,2,1317,1071
29,DMC Azeem School 30-31-32-33 Azeem Dharamswami,24.86996,67.01206,Combined,Sindh,2,2,1269,1080
59,Eiden GrammarSecondary School- Nishter Road.,24.87093,67.01645,Combined,Sindh,2,2,1046,912
60,Eiden Grammar Boys Secondary School Nishtar Road,24.87093,67.01648,Combined,Sindh,2,2,1251,1055
61,Eiden GrammarSecondary School- Nishter Road.,24.87093,67.01651,Combined,Sindh,2,2,1329,978
44,CDGK Pry School No. 56 -58  Grand Wala Usmanabad,24.87125,67.01142,Combined,Sindh,2,2,980,716
45,CDGK Pry School No. 56 -58  Grand Wala Usmanabad,24.87125,67.01145,Combined,Sindh,2,2,937,679
21,DMC. Girls  Sec. School Usmanabad Siddque Wahab Road,24.87171,67.01292,Combined,Sindh,2,2,1327,1001
22,DMC. Girls  Sec. School Usmanabad Siddque Wahab Road,24.87171,67.01295,Combined,Sindh,2,2,1302,1022
56,Nobel Garmmer School Orange Street Islampura,24.87173,67.01491,Combined,Sindh,2,2,1383,956
27,P.M Public School Mango Street,24.87179,67.01334,Combined,Sindh,2,2,1237,933
57,Oxford Academy Data Terce Shoe Market,24.87236,67.01862,Combined,Sindh,2,2,1286,1064
58,Oxford Academy Data Terce Shoe Market,24.87236,67.01865,Combined,Sindh,2,2,1293,1059
23,DMC.Hasrat Mohani Pry; School 12 Usmanabad Siddque Wahab Road,24.87271,67.01328,Combined,Sindh,2,2,1306,1028
25,Iqbal English Grammer School Oringe Street.,24.87282,67.01581,Combined,Sindh,2,2,1252,1028
26,Iqbal English Grammer School Oringe Street.,24.87282,67.01584,Combined,Sindh,2,2,1312,1009
54,E-Toon Girls Secondary- Noorani Garden - Oringe Street.,24.87302,67.01598,Combined,Sindh,2,2,1286,966
55,E-Toon Girls Secondary- Noorani Garden - Oringe Street.,24.87302,67.01601,Combined,Sindh,2,2,1330,915
53,Bagh-e-Halar School Nishter Road.,24.87304,67.01769,Combined,Sindh,2,2,1301,1062
39,DMC Boys/Girls School No.6-9- Coila Godawn Usmanabad,24.8745,67.01285,Combined,Sindh,2,2,1338,1008
41,DMC Boys/Girls School No.6-9- Coila Godawn Usmanabad,24.8745,67.01288,Combined,Sindh,2,2,1269,821
51,S.M.B. Fatima Jinnah Govt Girls College Nishter Road.,24.8748,67.01957,Combined,Sindh,2,2,1338,1101
52,G.G.L.S.S. Buhania inside Fatima Jinnah School Compound,24.8748,67.0196,Combined,Sindh,2,2,1417,1134
24,Quranic Education Pri & Sec School Ghazi Nagar Mejor Abdul Rehman Road,24.8752,67.0139,Combined,Sindh,2,2,1158,989
38,Vohra Roza Tul Itfal Sec School Near Rehmani Masjid,24.87532,67.01601,Combined,Sindh,2,2,1300,997
37,Florance Secondary School- Khatri Palece; Ghulam Hussain Qasim Road.,24.87575,67.01821,Combined,Sindh,2,2,1232,1021
40,DMC  Dispensary Badshahi Road.,24.87619,67.01389,Combined,Sindh,2,2,1366,1023
42,DMC Pry School No. 10-11 Usman- abad Dhobi Ghat.,24.87698,67.01456,Combined,Sindh,2,2,1430,905
43,DMC Pry School No. 10-11 Usman- abad Dhobi Ghat.,24.87698,67.01459,Combined,Sindh,2,2,1304,832
48,Eiden Academy School Garden West,24.87753,67.02098,Combined,Sindh,2,2,1330,1075
49,Eiden Academy School Garden West,24.87753,67.02101,Combined,Sindh,2,2,1321,1041
50,Eiden Academy School Garden West,24.87753,67.02104,Combined,Sindh,2,2,1315,1108
35,Eden Grammer School Halar Garden.,24.87824,67.01988,Combined,Sindh,2,2,1177,1036
36,Eden Grammer School Halar Garden.,24.87824,67.01991,Combined,Sindh,2,2,1222,976
