StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
19,GBPS Gul Bai Shershah,24.87589,66.97218,Male,Sindh,2,0,1223,0
20,GPBS Gul Bai Shersah(Combined),24.87589,66.97221,Female,Sindh,0,2,0,833
12,PMG School Shaheen Public School (old Name),24.87883,66.98653,Combined,Sindh,2,1,1026,601
8,Super Star School Urdu Bazar,24.88164,66.98451,Male,Sindh,2,0,1226,0
9,Super Star School Urdu Bazar,24.88164,66.98454,Male,Sindh,2,0,1240,0
26,Young Scholar School.  Modern Method School (Old Name),24.88165,66.99043,Combined,Sindh,1,2,369,1186
14,Mehran Public School,24.88186,66.98744,Male,Sindh,2,0,1438,0
15,Mehran Public school,24.88186,66.98747,Male,Sindh,2,0,902,0
13,KT-24-25 Urdu Bazar,24.88198,66.98492,Female,Sindh,0,3,0,1208
4,The Best Public School,24.88231,66.98372,Male,Sindh,3,0,1273,0
5,The Best Public School,24.88231,66.98375,Combined,Sindh,2,1,1154,74
17,Happy Kids Home Shershah,24.8824,66.98856,Combined,Sindh,2,1,1022,455
18,Happy Kids Home Shershah,24.8824,66.98859,Combined,Sindh,2,2,746,726
16,Rising Sun School,24.8836,66.98521,Female,Sindh,0,3,0,1442
6,DJ Public School,24.8836,66.98524,Female,Sindh,0,2,0,759
7,DJ Public School,24.8836,66.98527,Combined,Sindh,1,2,264,858
116,GBSS AK Sheer Shah,24.88472,66.99805,Male,Sindh,2,0,1232,0
117,GBSS AK Sheershah,24.88472,66.99808,Male,Sindh,2,0,1358,0
120,GBPS A K Shershah,24.88472,66.99811,Male,Sindh,3,0,1183,0
123,GBSS A.K Shershah,24.88472,66.99814,Male,Sindh,3,0,1278,0
107,GBPS Madina Lyari,24.88528,67.01723,Combined,Sindh,3,1,1441,126
22,Sabria Sec School,24.88659,66.98856,Combined,Sindh,2,1,1187,349
1,GBPS ST-Marks Shershah,24.88959,66.98112,Male,Sindh,2,0,1128,0
2,GBPS ST-Marks Shershah,24.88959,66.98115,Male,Sindh,2,0,863,0
92,GGSS KB Contractor,24.8925,67.02195,Combined,Sindh,1,2,486,1019
93,GGSS KB Contractor,24.8925,67.02198,Female,Sindh,0,3,0,1652
