StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
21,The Embelish Academy,24.94792,66.98891,Combined,Sindh,1,3,321,1178
15,The Little Paradise Academy School,24.94803,66.98575,Combined,Sindh,2,1,1048,394
20,KMC School Millat Colony,24.94846,66.98647,Male,Sindh,2,0,1419,0
19,PNG Grammar School,24.94847,66.99088,Female,Sindh,0,4,0,1698
27,GBPS Mujahidabad-2,24.94889,66.97806,Combined,Sindh,2,2,1147,839
16,Shaheen Children Academy,24.95004,66.98699,Combined,Sindh,1,2,663,812
11,Paramount Grammar School,24.95124,66.98418,Male,Sindh,3,0,1170,0
9,Paramount Grammar School,24.95124,66.98421,Combined,Sindh,2,2,944,740
17,The World Grammar School,24.95139,66.98861,Male,Sindh,2,0,1209,0
18,The World Grammar School,24.95139,66.98864,Male,Sindh,3,0,1322,0
25,KMC school Touheed,24.95167,66.97694,Male,Sindh,4,0,1700,0
26,KMC school Touheed,24.95167,66.97697,Female,Sindh,0,3,0,1204
13,Hafiz ur Rehman School Block-J- Main Pakistan Bazar- Orangi Town- Sector 11 1/2,24.95169,66.98707,Combined,Sindh,2,1,976,499
12,GBPS Dew Drops Imam Colony,24.95222,66.98583,Female,Sindh,0,2,0,906
14,GBPS De Drops Imam Colony,24.95222,66.98586,Combined,Sindh,1,2,685,764
10,Scholar Sec School,24.9528,66.98492,Combined,Sindh,2,2,1066,629
124,Jinnah High School- Plot No:- 735- 736- Junaid Nagar- Opposite Sindh Lab- Pakistan Bazar- UC-9- Orangi Town.(M),24.95397,66.98827,Combined,Sindh,1,2,746,852
125,Jinnah High School- Plot No:- 735- 736- Junaid Nagar- Opposite Sindh Lab- Pakistan Bazar- UC-9- Orangi Town.(M),24.95397,66.9883,Male,Sindh,3,0,1335,0
30,Jinnah Public School,24.95397,66.98833,Male,Sindh,3,0,1592,0
126,Rahman Children School- Gali No:- 1- Mukhdum Shah Colony- Sector 11 1/2- Pakistan Bazar- UC-9- Orangi Town.(M),24.95417,66.98638,Female,Sindh,0,2,0,815
127,Rahman Children School- Gali No:- 1- Mukhdum Shah Colony- Sector 11 1/2- Pakistan Bazar- UC-9- Orangi Town.(M),24.95417,66.98641,Male,Sindh,2,0,1193,0
122,Best Way Grammar School- Warsia Colony- Sector 11 1/2- UC-9- Orangi Town. (M),24.95443,66.99033,Male,Sindh,2,0,1308,0
7,Rehman Children School,24.95444,66.98194,Male,Sindh,4,0,1649,0
8,Rehman Children School,24.95444,66.98197,Female,Sindh,0,4,0,1453
1,GBPS.Qasim Ul Uloom,24.95506,66.97113,Combined,Sindh,2,1,909,579
2,GBPS.Qasim Ul Uloom,24.95506,66.97116,Combined,Sindh,2,1,1106,429
4,GBPS Qasim Ul Uloom,24.95506,66.97119,Combined,Sindh,2,1,1114,287
22,Programmar English School,24.95522,66.97565,Combined,Sindh,2,1,947,646
23,Programmar English School,24.95522,66.97568,Combined,Sindh,2,1,804,580
24,Programmar English School,24.95522,66.97571,Combined,Sindh,2,1,735,532
108,KMC School Disco Mor- 14-G - UC-8- Orangi Town. (M),24.95528,66.99555,Male,Sindh,4,0,1760,0
109,KMC School Disco Mor- 14-G- UC-8- Orangi Town. (F),24.95528,66.99558,Female,Sindh,0,4,0,1455
123,e-City Grammar School- Warsia Colony Near Old Police Station Pakistan Bazar- Sector 11 1/2- Opposite Abdullah Bin Masood Masjid- UC-9- Orangi Town.(F),24.95558,66.99203,Female,Sindh,0,4,0,1711
28,Shaheen grammer Academy,24.95722,66.97833,Male,Sindh,3,0,1661,0
29,Shaheen Grammar Academy,24.95722,66.97836,Female,Sindh,0,3,0,1164
5,Govt Degree College Baba Willayat Ali Shah,24.95757,66.97964,Combined,Sindh,2,1,678,431
6,Govt Degree College Baba Wilayat Ali Shah,24.95757,66.97967,Combined,Sindh,2,1,882,393
77,Little Heaven Secondary School- Lal Shahbaz Nagar- Sector 11 1/2- UC-7- Orangi Town. (F),24.95778,66.97639,Female,Sindh,0,2,0,1172
80,Little Heaven Secondary Schoo- Lal Shahbaz Nagar- Sector 11 1/2- UC-7- Orangi Town. (F),24.95778,66.97642,Female,Sindh,0,2,0,1131
71,Allied School- Abu Zar Ghaffari Colony- UC-7- Orangi Town. (M),24.95778,66.98306,Male,Sindh,3,0,1339,0
72,Allied School- Abu Zar Ghaffari Colony- UC-7- Orangi Town. (F),24.95778,66.98309,Combined,Sindh,1,2,225,1166
73,Allied School- Abu Zar Ghafari Colony- UC-7- Orangi Town. (M),24.95778,66.98312,Male,Sindh,3,0,1391,0
74,Allied School- Abu Zar Ghaffari Colony- UC-7- Orangi Town. (F),24.95778,66.98315,Female,Sindh,0,2,0,1144
111,Islamia High School- Sector 14-H- Allah Waris Colony- UC-6- Orangi Town. (M),24.95833,66.99528,Male,Sindh,4,0,1547,0
112,Islamia High School- Sector 14-H- Allah Waris Colony- UC-6- Orangi Town. (F),24.95833,66.99531,Female,Sindh,0,2,0,1107
113,Islamia High School- Sector 14-H- Allah Waris Colony- UC-6- Orangi Town. (M),24.95833,66.99534,Male,Sindh,3,0,1625,0
114,Islamia High School- Sector 14-H- Allah Waris Colony- UC-6- Orangi Town. (M),24.95833,66.99537,Female,Sindh,0,4,0,1703
3,Rabia Girls College Baba Willayat Ali Shah,24.95887,66.97528,Female,Sindh,0,2,0,776
31,Superior Sec School,24.95889,66.9775,Combined,Sindh,1,3,249,1255
120,The Benchmark School- Sector 11 1/2- Near Rehmat Chowk- UC-9- Orangi Town. (M),24.95917,66.98888,Male,Sindh,3,0,1541,0
121,The Benchmark School- Sector 11 1/2- Near Rehmat Chowk- UC-9- Orangi Town. (F),24.95917,66.98891,Combined,Sindh,1,3,284,1411
116,Shaheen Public School- K-338- Sector 11 1/2- Shamsi Colony- UC-9- Orangi Town. (M),24.96064,66.99162,Combined,Sindh,3,1,1386,229
117,Shaheen Public School- K-338- Sector 11 1/2- Shamsi Colony- UC-9- Orangi Town.(F),24.96064,66.99165,Female,Sindh,0,4,0,1667
104,GGSS Raja Tanveer Colony- J.M Govt. Primary School- Sector 11-1/2- UC-7- Orangi Town. (M),24.96083,66.96944,Male,Sindh,3,0,1444,0
105,GGSS Raja Tanveer Colony- J.M Govt. Primary School- Sector 11-1/2- UC-7- Orangi Town. (M),24.96083,66.96947,Male,Sindh,2,0,1199,0
106,GGSS Raja Tanveer Colony- J.M Govt. Primary School- Sector 11-1/2- UC-7- Orangi Town. (C),24.96083,66.9695,Combined,Sindh,2,2,654,778
75,Decent Paradise- Plot No. 474- Chishti Nagar- Sector 11 1/2- UC-7- Orangi Town. (M),24.96143,66.98225,Combined,Sindh,2,1,1044,470
76,Decent Paradise- Plot No. 474- Chishti Nagar- Sector 11 1/2- UC-7- Orangi Town. (M),24.96143,66.98228,Male,Sindh,3,0,1563,0
79,Decent Paradise- Plot No. 474- Chishti Nagar- Sector 11 1/2- UC-7- Orangi Town. (M),24.96143,66.98231,Male,Sindh,3,0,1586,0
118,GBPS Ali Nagar- Sector 11 1/2- Near Rehmat Chowk- UC-9- Orangi Town.(M),24.96167,66.98917,Combined,Sindh,2,1,1040,489
119,GBPS Ali Nagar- Sector 11 1/2- Near Rehmat Chowk- UC-9- Orangi Town.(M),24.96167,66.9892,Combined,Sindh,2,1,1254,355
91,Liaquat Memorial School- UC-7- Orangi Town- (F),24.96233,66.97442,Combined,Sindh,1,3,306,1162
78,Al Khyum Sec. School- Chishti Nagar- UC-7- Orangi Town. (C),24.96245,66.97906,Combined,Sindh,2,2,740,740
100,GBPS Arafat- Raees Amrohi- Sector 11 1/2- UC-7- Orangi Town. (M),24.96273,66.97201,Male,Sindh,2,0,1149,0
101,GBPS Arafat- Raees Amrohi- Sector 11 1/2- UC-7- Orangi Town. (F),24.96273,66.97204,Combined,Sindh,1,2,277,963
