StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
48,GBLSS Sipahi Peerabad- ST-2 Banaras UC-8 SITE (Combined),24.90746,66.9665,Combined,Sindh,3,1,1223,396
49,GBLSS Sipahi Peerabad ST. 2  Banaras UC- 8  SITE combined,24.90746,66.96653,Combined,Sindh,1,2,651,701
3,GBPS Pathan Colony (Male),24.92344,67.00077,Male,Sindh,4,0,1643,0
5,GBPS Pathan Colony Male,24.92344,67.0008,Male,Sindh,3,0,1122,0
97,GBPS Pathan Aligarh Colony UC-12 Orangi Town (Female),24.92344,67.00083,Female,Sindh,0,4,0,1421
12,St-041 KMC School Pathan Colony (Male),24.92389,67.00667,Male,Sindh,4,0,2325,0
15,Al-Zahir Public School Madina Masjid Malakand Mohallah Pathan Colony (Combined),24.925,67.00723,Combined,Sindh,2,2,931,1149
2,Bright Star Grammar School Female,24.92555,67.01083,Female,Sindh,0,3,0,1199
7,Knowledge Foundation School (Female),24.92611,67.01139,Female,Sindh,0,4,0,1383
55,Universal Grammar Sec. School Rabbani Mohallah Male,24.92654,67.0022,Male,Sindh,3,0,1407,0
56,Universal Grammar Sec. School Rabbani Mohallah Male,24.92654,67.00223,Male,Sindh,3,0,1435,0
13,ST-33 KMC School (Female),24.92805,67.01195,Female,Sindh,0,4,0,1455
61,Tameer  e Millat Loyer Sec. School (Female),24.92818,67.00316,Female,Sindh,0,3,0,1290
10,Hashmi Public School (Male),24.92833,67.01083,Male,Sindh,4,0,1850,0
11,Hashmi Public School (Male),24.92833,67.01086,Male,Sindh,4,0,1874,0
8,Iqra Roza tul ltfal / Muslim Public School (Female),24.92889,67.01139,Female,Sindh,0,3,0,1409
9,Iqra Roza tul Itfal / Muslim Public School (Female),24.92889,67.01142,Female,Sindh,0,2,0,779
14,GBPS Usmania Site Haider Challi (Combined),24.92917,67.01862,Combined,Sindh,2,2,952,554
58,GBLSS Khyber Muslim Male,24.92918,67.0038,Male,Sindh,3,0,1247,0
59,GBLSS Khyber Muslim Male,24.92918,67.00383,Male,Sindh,3,0,1457,0
60,GBLSS kyber Muslim Combined,24.92918,67.00386,Combined,Sindh,1,2,706,807
87,GBPS Khyber Muslim 01 Male,24.92918,67.00389,Male,Sindh,4,0,1858,0
88,GBPS Khyber Muslim 01 (Female),24.92918,67.00392,Female,Sindh,0,3,0,1222
64,Qasim Khattak Shaheed Dispensary UC-15 Combined,24.92944,67.00056,Combined,Sindh,2,1,1021,597
65,Qasim Khatak Shaheed Dispensary UC 15 male,24.92944,67.00059,Male,Sindh,2,0,822,0
16,The Climax School / Allama Iqbal Public (Old) (Male),24.92944,67.01389,Male,Sindh,4,0,1876,0
17,The Climax School / Allama Iqbal Public (Old) (Male),24.92944,67.01392,Male,Sindh,2,0,1098,0
18,Al-Nasir Sec. School Sarafa Bazar (Female),24.93,67.015,Female,Sindh,0,3,0,1145
4,Nasir Children Academy Female,24.93,67.01503,Female,Sindh,0,3,0,991
19,High Vision Public School (Male),24.93056,67.01611,Male,Sindh,3,0,1320,0
20,High Vision Public School (Male),24.93056,67.01614,Male,Sindh,3,0,1371,0
69,The Islamic Mountessory School Abaseen Old (Female),24.93111,67.005,Female,Sindh,0,4,0,1548
82,KMC / DMC ST- 36-37 School Noorani Mohallah (Molana Mufti Mehmood ) Female,24.93111,67.01417,Female,Sindh,0,4,0,1911
89,Ikhlas Public School (Male),24.93139,67.00945,Male,Sindh,3,0,1481,0
90,Sky Hawks School (Female),24.93139,67.00948,Female,Sindh,0,2,0,928
70,Frontiar Colony Public School Male,24.93173,67.00481,Male,Sindh,3,0,1467,0
71,Frontiar Public School Male,24.93173,67.00484,Male,Sindh,3,0,1359,0
66,Dispensary Sher Khanabad Combined,24.93254,67.00343,Combined,Sindh,2,1,1078,345
67,Dispensary Sher Khanabad Combined,24.93254,67.00346,Combined,Sindh,2,1,1123,307
75,Young Scholler Sec. School Male,24.93291,67.00323,Male,Sindh,4,0,2074,0
76,Young Scholler Sec. School Female,24.93291,67.00326,Female,Sindh,0,3,0,1164
77,Pak English School Male,24.93356,67.01093,Male,Sindh,3,0,1265,0
79,Pak English School Female,24.93356,67.01096,Female,Sindh,0,4,0,1711
84,Pak English School Combined,24.93356,67.01099,Combined,Sindh,1,3,410,1105
73,Apex Grammar School Elahi Colony Female,24.93417,67.00833,Female,Sindh,0,2,0,888
80,Apex Grammar School Male,24.93417,67.00836,Male,Sindh,4,0,1564,0
81,Apex Grammar School Male,24.93417,67.00839,Male,Sindh,4,0,1582,0
91,Global Choice Grammar School (Male),24.93417,67.00842,Male,Sindh,4,0,1855,0
78,Concept Grammar School Male,24.93417,67.01056,Male,Sindh,3,0,1524,0
68,Oasis Cambridge Sec. School  Male,24.93421,67.00043,Male,Sindh,2,0,1303,0
62,Decent  Cambridge School Male,24.93422,67.0032,Male,Sindh,4,0,1871,0
63,Decent Cambridge School Female,24.93422,67.00323,Female,Sindh,0,4,0,1673
46,Govt. Degree Science & Commerce College Orangi Town (Combined),24.93444,67.01639,Combined,Sindh,2,1,896,535
47,Govt. Degree Science & Commerce College Orangi Town (Combined),24.93444,67.01642,Combined,Sindh,2,1,844,510
92,Peoples Cambridge School (Female),24.93468,67.00986,Female,Sindh,0,3,0,1046
74,New Ideal Cambridge School Male,24.935,67.00951,Male,Sindh,3,0,1484,0
72,ST. 34/35 KMC School Frontiar Female,24.93611,67.00777,Female,Sindh,0,4,0,1643
85,Decent Montessari School Female,24.93639,67.005,Female,Sindh,0,3,0,1211
86,New Generation School Male,24.93639,67.00503,Male,Sindh,3,0,2233,0
93,GBSS Aligarh No.2 Ali Garh Colony UC-12 Orangi Town Combined,24.93671,67.01283,Combined,Sindh,2,2,834,741
96,GGPS Ali Garh Colony UC- 12 Orangi Town Combined,24.93671,67.01286,Combined,Sindh,2,1,960,491
117,Dispensary Frontier Colony No.1 Orangi Town (Male),24.93694,67.01361,Male,Sindh,3,0,1422,0
118,Taluka Education Office Frontier Colony No.1 Orangi Town,24.93694,67.01364,Male,Sindh,3,0,1341,0
57,Shaidan Dispensary Rabbani Frontier Colony Female,24.93694,67.01367,Female,Sindh,0,4,0,1835
94,GGSS Cosmopolitan Ali Garh Colony No. 2 UC- 12 Orangi Town,24.93752,67.01184,Combined,Sindh,2,2,1054,519
98,Cosmopolitan GGS School Ali Garh Colony No.02 UC-12  Orangi Town,24.93752,67.01187,Combined,Sindh,3,1,1297,278
99,Cosmopolitan GGS School Ali Garh Colony No.2 UC-12 Orangi Combined,24.93752,67.0119,Combined,Sindh,2,2,925,964
95,Kanpur Secondary Public School (Male),24.93833,67.01611,Male,Sindh,4,0,1622,0
105,KMC Govt. School- Sector 6-E UC-12 Orangi Town (Male),24.93836,67.00881,Male,Sindh,2,0,958,0
106,KMC Govt. School Sector 6-E Mujahidabad New Building UC-12 Orangi Town (Male),24.93836,67.00884,Male,Sindh,2,0,922,0
107,KMC Govt. School- Sector 6-F- Mujahidabad- Old Building- UC-12- Orangi Town Female,24.93836,67.00887,Female,Sindh,0,3,0,1294
35,GBSS Qasba Colony. UC-8 SITE (Female),24.94005,67.02176,Female,Sindh,0,2,0,1218
114,The Dehli Exclusive School Female,24.94028,67.015,Female,Sindh,0,4,0,1596
51,GBPS Madrasa Asifa Qasba Colony UC 8 SITE (Combined),24.94028,67.02139,Combined,Sindh,1,3,271,1270
