StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
20,TCF School Naya Nazimabad,24.95092,67.01595,Combined,Sindh,2,1,1070,464
24,Standard Secondry School,24.9589,67.00394,Combined,Sindh,2,2,895,476
23,GBPS Arz Muhammad Goth,24.97565,67.00154,Combined,Sindh,2,2,1479,766
9,Saima Academy School.,24.97748,67.04365,Female,Sindh,0,2,0,791
6,GBPS- Tapo Manghopir.,24.97796,67.0366,Male,Sindh,2,0,1242,0
14,GBPS Haji Hamza Goth Manghopir.,24.98061,67.03825,Female,Sindh,0,4,0,1446
4,GBLSS- Mushki Para Manghopir.,24.98223,67.04041,Male,Sindh,3,0,1470,0
5,GBLSS- Mushki Para Manghopir.,24.98223,67.04044,Male,Sindh,4,0,1512,0
13,Rural Health Center Manghopir.,24.98385,67.03754,Male,Sindh,4,0,2460,0
15,Titarco. Yagangat Primary and Secondary School Sultanabad.,24.98633,67.03751,Male,Sindh,4,0,1600,0
16,Titarco. Yagangat Primary and Secondary School Sultanabad.,24.98633,67.03754,Male,Sindh,4,0,1550,0
1,GBSS- Ghram Cheshma Manghopir (Boys School) Sheikh Fareed Chilla.,24.98685,67.04642,Male,Sindh,3,0,1605,0
2,GGSS- Ghram Cheshma Manghopir (Girls School) Sheikh Fareed Chilla.,24.98711,67.04626,Female,Sindh,0,2,0,1010
12,GBPS- Manghopir Sindhi.,24.98794,67.04179,Combined,Sindh,2,2,1255,724
17,Tanveer High School Sultanabad.,24.98849,67.03753,Female,Sindh,0,4,0,1636
10,GBPS Haji Allah Bux,24.99063,67.04633,Female,Sindh,0,2,0,840
25,Sikandar English High School Khairabad,24.99212,66.99078,Combined,Sindh,1,1,499,247
26,Sikandar English High School Khairabad,24.99212,66.99081,Combined,Sindh,1,1,600,310
18,Govt Boys Degree College Manghopir,24.99224,67.0396,Combined,Sindh,2,2,990,587
19,Govt Boys Degree College Manghopir,24.99224,67.03963,Combined,Sindh,2,1,911,345
28,Hilal Public School Haji Malik Goth,24.99258,66.99949,Combined,Sindh,2,1,784,431
7,TCF School Umer Altaf Agha Campus- Mangal Goth.,24.99328,67.04723,Male,Sindh,2,0,907,0
8,TCF School Umer Altaf Agha Campus- Mangal Goth.,24.99328,67.04726,Male,Sindh,2,0,756,0
11,The Learning House School.,24.99546,67.04301,Combined,Sindh,2,2,1306,715
3,Bab-ul-Ilm English Grammar School Pakhtoonabad,24.99837,67.04004,Female,Sindh,0,2,0,793
30,Chapter One School Sector L-2,25.00698,67.05766,Combined,Sindh,2,1,1241,328
33,The Keepler School,25.00698,67.05769,Female,Sindh,0,3,0,1525
37,The Children Education Academy No-9 and 10 Sec-L-1 Surjani,25.007,67.06236,Female,Sindh,0,4,0,1723
55,GGPS. Model Community School.,25.00814,67.07585,Male,Sindh,3,0,1481,0
56,GGPS. Model Community School.,25.00814,67.07588,Combined,Sindh,2,1,1157,310
57,GGPS. Model Community School.,25.00814,67.07591,Female,Sindh,0,3,0,1360
64,Saint Micheal School Yousuf Goth.,25.00874,67.07859,Combined,Sindh,1,3,792,1323
