StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
143,Iqra public school mustafabad  North Nazimabad,24.94361,67.0625,Combined,Sindh,2,2,1300,627
144,Iqra public school mustafabad  North Nazimabad,24.94361,67.06253,Combined,Sindh,2,2,837,583
135,Shipowner Govt college  North Nazimabad,24.94634,67.03871,Combined,Sindh,2,2,916,589
136,Shipowner Govt college  North Nazimabad,24.94634,67.03874,Combined,Sindh,2,2,829,727
137,Shipowner Govt college  North Nazimabad,24.94634,67.03877,Combined,Sindh,2,2,885,845
138,Shipowner Govt college  North Nazimabad,24.94634,67.0388,Combined,Sindh,2,2,1029,637
139,Shipowner Govt college  North Nazimabad,24.94634,67.03883,Combined,Sindh,2,2,1345,888
118,Gulf Schooling System- on A-70/15-A Bufferzone North Karachi.,24.95012,67.06673,Combined,Sindh,2,2,875,847
119,Gulf Schooling System- on A-70/15-A Bufferzone North Karachi.,24.95012,67.06676,Male,Sindh,4,0,1480,0
120,Gulf Schooling System- on A-70/15-A Bufferzone North Karachi.,24.95012,67.06679,Female,Sindh,0,4,0,1376
121,IISAR School Near Khan Cambridge Sect-15-A/5 (Male),24.9528,67.06787,Male,Sindh,4,0,1494,0
122,IISAR School Near Khan Cambridge Sect-15-A/5 (Female),24.9528,67.0679,Female,Sindh,0,4,0,1456
92,GBSS Sect-15-A/3 Bufferzone,24.95301,67.06805,Combined,Sindh,2,2,1067,934
93,GBSS Sect-15-A/3 Bufferzone,24.95301,67.06808,Combined,Sindh,2,2,847,761
94,GBSS Sect-15-A/3 Bufferzone,24.95301,67.06811,Combined,Sindh,2,2,808,759
95,GBSS Sect-15-A/3 Bufferzone,24.95301,67.06814,Combined,Sindh,2,2,831,827
123,Ferobal  Grammer School Sector- 16-A- Bufferzone,24.9531,67.06943,Combined,Sindh,2,2,1193,949
124,Ferobal  Grammer School Sector- 16-A- Bufferzone,24.9531,67.06946,Combined,Sindh,2,2,1074,967
125,Ferobal  Grammer School Sector- 16-A- Bufferzone,24.9531,67.06949,Combined,Sindh,2,2,704,564
126,Karachi Secondary School of Academic Excelence at plot No. 94- 101 KBR 1 Sector 16A North karachi,24.95328,67.06826,Combined,Sindh,2,2,1106,915
127,Karachi Secondary School of Academic Excelence at plot No. 94- 101 KBR 1 Sector 16A North karachi,24.95328,67.06829,Combined,Sindh,2,2,950,771
128,GBPS K.B.R. Sector- 16-A- Bufferzone,24.95363,67.07105,Combined,Sindh,2,2,1164,886
129,GBPS K.B.R. Sector- 16-A- Bufferzone,24.95363,67.07108,Combined,Sindh,2,2,1386,1059
133,GBPS K.B.R. Sector- 16-A- Bufferzone,24.95363,67.07111,Combined,Sindh,2,2,1017,943
134,GBPS K.B.R. Sector- 16-A- Bufferzone,24.95363,67.07114,Combined,Sindh,2,2,770,713
116,Al-Aleem Public School Sector-15-A/5- Bufferzone,24.95416,67.06586,Combined,Sindh,2,2,899,883
117,Al-Aleem Public School Sector-15-A/5- Bufferzone,24.95416,67.06589,Combined,Sindh,2,2,1247,1215
103,KBCC Scsool  Near Eidgah Sector 15-A/1  (Male),24.95462,67.0614,Male,Sindh,4,0,1774,0
104,KBCC Scsool  Near Eidgah Sector 15-A/1  (Female),24.95462,67.06143,Female,Sindh,0,4,0,1726
105,KBCC Scsool  Near Eidgah Sector 15-A/1,24.95462,67.06146,Combined,Sindh,2,2,1079,1044
106,KBCC Scsool  Near Eidgah Sector 15-A/1,24.95462,67.06149,Combined,Sindh,2,2,871,818
107,KBCC Scsool  Near Eidgah Sector 15-A/1,24.95462,67.06152,Combined,Sindh,2,2,664,628
114,KBCC Scsool  Near Eidgah Sector 15-A/1,24.95462,67.06155,Combined,Sindh,2,2,1099,1012
115,KBCC Scsool  Near Eidgah Sector 15-A/1,24.95462,67.06158,Combined,Sindh,2,2,908,838
57,Mak Collegate  Sec 14-A  Shadman Town,24.95476,67.0564,Combined,Sindh,2,2,778,736
58,Mak Collegate  Sec 14-A  Shadman Town,24.95476,67.05643,Combined,Sindh,2,2,1021,926
59,Mak Collegate  Sec 14-A  Shadman Town,24.95476,67.05646,Combined,Sindh,2,2,932,864
100,Govt.Degree College  Sect-15-A/4 Bufferzone,24.95651,67.06841,Female,Sindh,0,4,0,1265
101,Govt.Degree College  Sect-15-A/4 Bufferzone,24.95651,67.06844,Combined,Sindh,2,2,996,996
102,Govt.Degree College  Sect-15-A/4 Bufferzone,24.95651,67.06847,Combined,Sindh,2,2,967,868
96,Govt.Degree College  Sect-15-A/4 Bufferzone (Male),24.95651,67.0685,Male,Sindh,4,0,1821,0
97,Govt.Degree College  Sect-15-A/4 Bufferzone (female),24.95651,67.06853,Female,Sindh,0,4,0,1625
98,Govt.Degree College  Sect-15-A/4 Bufferzone,24.95651,67.06856,Combined,Sindh,2,2,987,914
99,Govt.Degree College  Sect-15-A/4 Bufferzone,24.95651,67.06859,Male,Sindh,4,0,1364,0
76,R.G Public School  14-B Shadman,24.95728,67.05875,Male,Sindh,4,0,1731,0
77,R.G Public School  14-B Shadman,24.95728,67.05878,Female,Sindh,0,4,0,1679
78,R.G Public School  14-B Shadman,24.95728,67.05881,Combined,Sindh,2,2,775,723
108,National Peradise School Sector-15-A/2 Bufferzone,24.95738,67.06435,Combined,Sindh,2,2,808,754
109,National Peradise School Sector-15-A/2 Bufferzone,24.95738,67.06438,Combined,Sindh,2,2,1022,948
110,National Peradise School Sector-15-A/2 Bufferzone,24.95738,67.06441,Combined,Sindh,2,2,848,769
111,National Peradise School Sector-15-A/2 Bufferzone,24.95738,67.06444,Combined,Sindh,2,2,623,613
112,National Peradise School Sector-15-A/2 Bufferzone,24.95738,67.06447,Combined,Sindh,2,2,988,984
113,National Peradise School Sector-15-A/2 Bufferzone,24.95738,67.0645,Combined,Sindh,2,2,1040,994
90,Govt.Urdu Boys Pry.School Sect.15-A/3- Gulshan-e- Habib,24.96089,67.06644,Combined,Sindh,2,2,989,943
91,Govt.Urdu Boys Pry.School Sect.15-A/3- Gulshan-e- Habib,24.96089,67.06647,Combined,Sindh,2,2,819,756
67,The Creator Schooling  System- 14-B,24.96124,67.06077,Combined,Sindh,1,1,851,825
68,The Creator Schooling  System- 14-B,24.96124,67.0608,Combined,Sindh,2,2,905,879
69,The Creator Schooling  System- 14-B,24.96124,67.06083,Combined,Sindh,2,2,1095,1051
60,New National scholar School  14-A  Shadman Town,24.96127,67.05243,Male,Sindh,4,0,1850,0
61,New National scholar School  14-A  Shadman Town,24.96127,67.05246,Female,Sindh,0,4,0,1744
79,T.T.C Girls College Sector-15-B Bufferzone,24.96272,67.07117,Combined,Sindh,2,2,906,833
80,T.T.C Girls College Sector-15-B Bufferzone,24.96272,67.0712,Combined,Sindh,2,2,1057,938
87,T.T.C Girls College Sector-15-B Bufferzone,24.96272,67.07123,Combined,Sindh,2,2,1008,908
88,T.T.C Girls College Sector-15-B Bufferzone,24.96272,67.07126,Combined,Sindh,2,2,721,657
89,T.T.C Girls College Sector-15-B Bufferzone,24.96272,67.07129,Combined,Sindh,2,2,1086,642
145,GBLSS ghani dehalvi nusrat  bhutto colony,24.96281,67.046,Combined,Sindh,2,2,1038,682
146,GBLSS ghani dehalvi nusrat  bhutto colony,24.96281,67.04603,Combined,Sindh,2,2,1123,734
62,Hilton Grammer School 14-B  Shadman Town,24.96354,67.05549,Combined,Sindh,2,2,1081,1073
63,Hilton Grammer School 14-B  Shadman Town,24.96354,67.05552,Combined,Sindh,2,2,923,861
70,Akber Public School 14-B Shadman  Town near Imam bargah,24.96371,67.06541,Male,Sindh,4,0,2038,0
71,Akber Public School 14-B Shadman  Town near Imam bargah,24.96371,67.06544,Female,Sindh,0,4,0,1841
72,Akber Public School 14-B Shadman  Town near Imam bargah,24.96371,67.06547,Combined,Sindh,2,2,1086,926
73,Akber Public School 14-B Shadman  Town near Imam bargah,24.96371,67.0655,Combined,Sindh,2,2,894,811
74,Akber Public School 14-B Shadman  Town near Imam bargah,24.96371,67.06553,Combined,Sindh,2,2,966,922
