StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
127,Government Primary School Boys Bukijani First Portion Combined,27.480911144323557,67.84329888503943,Combined,Sindh,1,1,513,445
128,Government Primary School Boys Bukijani Second Portion Combined,27.480911144323557,67.8433288850394,Combined,Sindh,1,1,519,381
129,Government Primary School Girls Bukijani Combined,27.48234190906819,67.841307779301,Combined,Sindh,2,2,844,600
125,Government Primary School Boys Qaim Khan Mugheri First Portion Combined,27.488257992568677,67.91605844159592,Combined,Sindh,1,1,620,544
126,Government Primary School Boys Qaim Khan Mugheri Second Portion Combined,27.488257992568677,67.9160884415959,Combined,Sindh,1,1,512,394
122,Government Primary School Girls Lalu Rounk Combined,27.498495793081627,67.90672698774105,Combined,Sindh,1,1,664,510
119,Government Boys Primary School Lalu Rounk Male First Portion,27.498633377109318,67.9069148256618,Male,Sindh,3,0,1388,0
120,Government Boys Primary School Lalu Rounk Female Second Portion,27.498633377109318,67.9069448256618,Female,Sindh,0,3,0,996
121,Government Boys Primary School Lalu Rounk Third Portion Combined,27.498633377109318,67.9069748256618,Combined,Sindh,1,1,694,409
123,Government Primary School Boys Pechuha First Portion Combined,27.502043682334474,67.9228081372592,Combined,Sindh,1,1,611,475
124,Government Primary School Boys Pechuha Second Portion Combined,27.502043682334474,67.9228381372592,Combined,Sindh,1,1,632,534
135,Government Girls Primary School  Maklani Female Second Portion,27.50538,67.88002,Female,Sindh,0,3,0,1214
118,Government Primary School Girls Dengal Machhi Combined,27.50593304294181,67.90352510068132,Combined,Sindh,2,2,779,632
134,Government Primary School Boys Maklani Male First Portion,27.50772,67.88058,Male,Sindh,3,0,1477,0
133,Government Primary School Nihal Tunio Combined,27.50835,67.8493,Combined,Sindh,1,1,631,459
130,Government Primary School Boys Jakhar First Portion Combined,27.51543,67.83623,Combined,Sindh,2,2,1025,671
131,Government Primary School Boys Jakhar Second Portion Combined,27.51543,67.83626,Combined,Sindh,1,1,679,464
132,Government Primary School Jakhar Combined,27.51636,67.83591,Combined,Sindh,1,1,690,466
116,Government Primary School Boys Khair Muhammad Vako First Portion Combined,27.524550474970845,67.91436959874645,Combined,Sindh,1,1,582,454
117,Government Primary School Boys Khair Muhammad Vako Second Portion Combined,27.524550474970845,67.9143995987464,Combined,Sindh,1,1,488,442
6,Government Primary School Hani Combined,27.535706695282645,67.92733511570914,Combined,Sindh,2,2,963,684
11,Government Primary School Ghatahar Second Portion Combined,27.53780806618799,67.9624832920812,Combined,Sindh,1,1,720,530
10,Government Primary School Ghatahar First Portion Combined,27.53780806618799,67.9625132920812,Combined,Sindh,1,1,653,528
12,Government Girls Primary School Ghatahar Combined,27.537826284037294,67.96149987502858,Combined,Sindh,2,2,818,598
2,Government Primary School Bago Juneja Combined,27.543260749278293,67.98855806355301,Combined,Sindh,2,2,936,692
4,Government Primary School Humayon Khan Mughari Male First Portion,27.546217803508796,67.98243814692796,Male,Sindh,2,0,1220,0
5,Government Primary School Humayon Khan Mughari Female Second Portion,27.546217803508796,67.982468146928,Female,Sindh,0,2,0,932
3,Government Primary School Tapal Combined,27.549829170451787,67.98624755646199,Combined,Sindh,2,2,739,621
7,Government High School Beer First Portion Combined,27.560284407295512,67.94019810801358,Combined,Sindh,1,1,586,404
8,Government High School Beer Second Portion Combined,27.56029982085792,67.94017304345434,Combined,Sindh,1,1,677,460
9,Government High School Beer Third Portion Combined,27.56029982085792,67.9402030434543,Combined,Sindh,2,2,937,680
1,Government Primary School Rahooja Combined,27.57599128607917,68.00787610143071,Combined,Sindh,1,1,592,387
107,Mono Technical Collage Kamber Female Second Portion,27.57662984223326,67.99750054173282,Female,Sindh,0,3,0,1104
106,Mono Technical College Kamber Male First Portion,27.57662984223326,67.9975305417328,Male,Sindh,3,0,1457,0
28,Government Primary School Sobdar Ahmed Khan Awan Combined,27.576702343561955,67.96831175586841,Combined,Sindh,2,2,925,725
104,Government Girls Middle School  Bago Dero Male First Portion,27.577154535575854,68.00674572622266,Male,Sindh,3,0,1316,0
105,Government Girls Middle School  Bago Dero Female Second Portion,27.577154535575854,68.0067757262227,Female,Sindh,0,3,0,1057
112,Shah Latif College Kamber Male First Portion,27.577264411797444,67.99773992984599,Male,Sindh,2,0,1000,0
113,Shah Latif College Kamber Female Second Portion,27.577264411797444,67.997769929846,Female,Sindh,0,2,0,791
100,Government High School Bagodero First Portion Combined,27.58258886275985,68.00402879820675,Combined,Sindh,2,2,852,651
