StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
143,GPS Abdullah Bhayo,27.93964739020698,69.91400320736994,Combined,Sindh,1,1,527,290
140,Govt Primary School Jaind Khan Mahar,27.941697949244617,69.81801363479693,Combined,Sindh,2,1,860,689
141,GPS Fakir Ghulam Qadir Panhar,27.95816556800241,69.89846922673114,Combined,Sindh,1,1,588,441
137,GMS Kehar Satabo Mahar,27.976545885108,69.822481091421,Combined,Sindh,1,1,548,422
147,GPS Haji Allah Dino Mahar,27.985331977085984,69.8368235751234,Combined,Sindh,1,1,279,168
142,GPS Sher Mohamamad Lund,27.99081829734079,69.89573647045148,Combined,Sindh,2,1,778,477
138,GPS Mohammad Khan Shar,28.008072776536956,69.80715143572202,Combined,Sindh,2,1,695,479
144,GPS Ghulam Nabi Panhar,28.016753453170494,69.84918537460224,Combined,Sindh,2,1,979,685
139,GPS Abdul Haque Arain,28.02936610927479,69.82496869794105,Combined,Sindh,1,1,353,192
152,GPS Mir Khan Shar,28.032131956288413,69.79810581261668,Combined,Sindh,1,1,563,400
145,GPS Choudhri Nazeer,28.033417966788623,69.88123393179116,Combined,Sindh,1,1,523,304
135,GPS Bahoo Kanju,28.039123726238998,69.7215461362736,Combined,Sindh,1,1,552,467
146,GPS Rajib Shar,28.044966543306458,69.87015534161485,Combined,Sindh,1,1,656,415
134,GPS Noor Dakhan,28.048887329359058,69.73362343969718,Combined,Sindh,1,1,509,372
136,GPS Soofi Rasool Pur,28.059469885787156,69.7711141263009,Combined,Sindh,2,1,813,625
132,G(G) PS Awan Village (Male),28.059874559062347,69.73049377650247,Male,Sindh,2,0,835,0
133,G(G) PS Awan Village (Female),28.059874559062347,69.7305237765025,Female,Sindh,0,2,0,647
148,GPS Ayoob Shar,28.0634974866732,69.8485971440083,Combined,Sindh,1,1,610,405
125,Govt(B) Pry: Sch: Chakar Kolachi (Male),28.0652849603523,69.5875735752664,Male,Sindh,4,0,1592,0
126,Govt(B) Pry: Sch: Chakar Kolachi (Female),28.0652849603523,69.5876035752664,Female,Sindh,0,2,0,1112
102,Govt High School Saeed Pur,28.065459692216383,69.59063603744521,Combined,Sindh,1,1,721,575
153,GPS Major Jamal Din,28.069891782862726,69.7832685392194,Combined,Sindh,1,1,401,282
151,GPS Esso Chachar,28.075450412693765,69.82217393530895,Combined,Sindh,2,1,921,707
127,GPS Katta,28.077064544382544,69.74811561633707,Combined,Sindh,1,1,447,370
44,Govt(G) Pry: Sch: Ratti,28.07905550743316,69.79402666700408,Combined,Sindh,2,1,706,639
46,Govt(G) Middle Sch: Ratti,28.07913616330575,69.79484816337556,Combined,Sindh,1,1,740,540
43,Govt(B) Pry: Sch: Main Ratti,28.079439828198026,69.79445572577318,Combined,Sindh,2,1,757,662
45,Govt High Sch: Ratti,28.080165422330904,69.79296109855417,Combined,Sindh,2,1,782,584
131,GPS Sain Dino Malik,28.081530082468394,69.71276708462445,Combined,Sindh,2,1,847,645
149,GPS Mushtaque Shar,28.08294657318361,69.88139383490216,Combined,Sindh,2,1,804,608
130,GPS Thairio Tanwri,28.085309968492556,69.71595097329757,Combined,Sindh,1,1,599,478
129,Govt: Primary School Soomro Khambhro,28.08667,69.76196,Female,Sindh,0,2,0,733
128,GPS Soomro Khambhro,28.08672340353321,69.76168037155621,Male,Sindh,2,0,969,0
82,Govt(B) Pry: Sch: Qaloo Dakhan,28.096346094133793,69.66499102518182,Combined,Sindh,2,1,1090,777
84,Govt(B) Pry: Sch: Wahid Bux Mahar,28.097090019492242,69.68876464757544,Combined,Sindh,1,1,524,373
103,Govt(B) Pry: Sch: Chaudhry Hafizullah,28.097127797083722,69.61871993912108,Combined,Sindh,1,1,398,325
36,Govt:(B) Pry:Sch:Jhangal Malik,28.10957621128321,69.771785874103,Combined,Sindh,1,1,750,586
37,Govt:(G) Pry:Sch:Jhangal Malik,28.109625316567037,69.77170715151944,Combined,Sindh,1,1,529,424
98,Govt(B) Pry: Sch: Ibrahim Shar,28.110558303910516,69.60644006653601,Combined,Sindh,1,1,417,350
150,G Masjid School Chand Mari,28.11132974671127,69.85706828511117,Combined,Sindh,1,1,409,258
