StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
54,Rural Health Center Abdul Haleem,27.570936259108393,69.41936758696572,Combined,Sindh,2,1,565,228
61,Govt Boys Primary School Achar Mahar,27.623530265618058,69.44476103406032,Combined,Sindh,1,1,286,193
56,Govt Boys Primary School Ghulam Ali Mahar,27.629504956036413,69.51737091209804,Combined,Sindh,1,1,517,146
62,Govt Boys Primary Masjid School Mohammad Bux Khan Mahar,27.6447039121848,69.48134571129091,Combined,Sindh,2,1,966,519
60,Govt Boys Primary School Sardar Garh,27.6542184276932,69.47337075805649,Combined,Sindh,2,1,906,540
53,Govt Boys Primary School Alam Tobo,27.664874177429805,69.39191521906973,Combined,Sindh,2,1,618,414
120,Govt. Boys Primary School Muhammad Bachal Gabol ( Improvised),27.699842246563936,69.49800345347838,Combined,Sindh,1,1,296,222
121,Govt. Boys Primary School Ali Sher Malik,27.70849786080073,69.51300925060305,Combined,Sindh,1,1,365,254
55,Govt Boys Primary School Bhagsar,27.70855073912749,69.5129411446461,Combined,Sindh,2,1,871,194
57,Govt Boys Primary School Bangul Laghari,27.718066024869263,69.39732388801345,Combined,Sindh,1,1,361,199
126,Govt. Boys Primary School Ghulam Mustafa Pitafi,27.728733954907668,69.49636903691473,Combined,Sindh,1,1,235,128
69,Govt.Boys Primary School Allah Ditto Mahtam,27.729472194302964,69.3315107468974,Combined,Sindh,1,1,256,210
65,Govt.Boys Primary School Makan Kori,27.73595232586195,69.348600418542,Combined,Sindh,1,1,476,346
115,Govt. Boys Primary School Deera Dadan Khan Lund,27.73819407280694,69.59411575983643,Combined,Sindh,2,1,527,238
114,Govt. Boys Primary School Waqar Abad ( Improvised),27.741907426216287,69.54761793590525,Combined,Sindh,1,1,461,360
124,Govt.Boys Primary School Kundho Talah,27.742649925161786,69.42006580356215,Combined,Sindh,2,2,738,663
63,Govt High School Lohi,27.74487806140409,69.33912824077719,Combined,Sindh,2,2,639,580
119,Govt. Boys Primary School Kohi Khengi,27.747335875614507,69.5241042840156,Combined,Sindh,2,2,754,545
118,Govt. Boys Primary School Sachal Lund,27.747419578874517,69.52415107834476,Combined,Sindh,1,1,439,269
64,Govt. Boys Primary School Lohi,27.750033016602725,69.33921307200652,Combined,Sindh,2,2,806,652
70,Govt. Boys Primary School Ghulam Muhammad Jat,27.75722407347015,69.33052202045903,Combined,Sindh,1,1,398,269
141,Govt. Boys Primary School Mashgool Gadani ( Improvised),27.7574454324776,69.37940901432678,Combined,Sindh,1,1,342,323
142,Govt. Boys Primary School Matar Daro,27.76539066610485,69.4109113978591,Combined,Sindh,2,1,622,469
125,Govt. Boys Primary School Loondi Tori,27.767907063694622,69.47069231949082,Combined,Sindh,1,1,341,216
122,Govt. Boys Primary School Wahi Ghoto,27.768988104564933,69.44495765199564,Male,Sindh,3,0,1200,0
68,Govt. Boys Primary School Bhetoor,27.769560562023248,69.29297549851822,Combined,Sindh,2,2,862,698
66,Govt. Boys Primary School Shahpur,27.773464316496625,69.32516000337421,Male,Sindh,3,0,1115,0
67,Govt.Boys Primary School Shahpur,27.773464316496625,69.3251900033742,Female,Sindh,0,2,0,850
116,Govt. Boys Primary School Landiyoon,27.77796208139426,69.59495346461794,Combined,Sindh,2,2,927,616
58,Govt Boys Primary School Ramzan Bhanbhro,27.77816639401722,69.3546096715928,Combined,Sindh,1,1,461,345
131,Govt High School Bazzar Lund (Male),27.78320320846198,69.42047244663223,Male,Sindh,4,0,1804,0
132,Govt. High School Bazzar Lund (Female),27.78320320846198,69.4205024466322,Female,Sindh,0,4,0,1477
117,Govt. Boys Primary School  Faqeer Lal Mahar,27.78497036474926,69.66659514373191,Combined,Sindh,1,1,456,315
59,Govt Boys Primary School Kamal Gabol,27.7874,69.39185,Combined,Sindh,2,1,657,468
133,Govt. Boys Primary School Sakhiro Malik,27.790602582521974,69.45663935769933,Male,Sindh,3,0,1234,0
49,Govt Boys Primary Masjid School Veeram Mahar,27.812670719452424,69.41220632752122,Combined,Sindh,2,2,976,852
6,Govt.Boys Middle School Sattaroo Mahar,27.81310026515734,69.26105920980703,Combined,Sindh,2,2,805,650
77,Govt Boys Middle School Wadhan Mahar,27.817526624172856,69.30174019651528,Combined,Sindh,2,1,655,544
91,Govt Boys Primary School Khero Mahar,27.81850946022857,69.33748296740704,Combined,Sindh,2,2,688,605
136,Govt.High School Sono Pitafi,27.81912850613238,69.48125995616932,Combined,Sindh,2,2,1089,840
137,Rural Health Center Sono Pitafi,27.81921461609265,69.48373576673387,Combined,Sindh,1,1,519,433
130,Govt. Boys Primary School Garhi Bhit,27.819329003284462,69.44008205103579,Combined,Sindh,2,1,624,505
