StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
60,GBPS Ghatti (Com) (P),27.66007672,69.27707684,Combined,Sindh,2,2,867,645
61,GHS Thikratho(Male) (P),27.66714558,69.24262708,Male,Sindh,3,0,1322,0
62,GHS Thikratho (Female) (P),27.66714558,69.24265708,Female,Sindh,0,3,0,1188
63,GHS Thikratho (Com) (P),27.66714558,69.24268708,Combined,Sindh,2,2,589,509
68,GPS Qabil Mahtam (Male),27.68160842,69.27299287,Male,Sindh,2,0,1059,0
69,GGPS Qabil Mahtam (Female),27.68160842,69.27302287,Female,Sindh,0,2,0,871
64,GBPS Roophar (Male) (P),27.69150382,69.21524557,Male,Sindh,2,0,1077,0
66,GHS Mubarakpur (Male) (P),27.70631103,69.29237947,Male,Sindh,3,0,1337,0
67,GHS Mubarakpur (Female) (P),27.70631103,69.29240947,Female,Sindh,0,3,0,1108
70,GBPS Garho Daro(Male) (P),27.72025051,69.29078035,Male,Sindh,4,0,1717,0
71,GBPS Garho Daro(Female) (P),27.72025051,69.29081035,Female,Sindh,0,2,0,1127
77,GBMS Nirch (Male) (P),27.72950507,69.10554536,Male,Sindh,2,0,987,0
78,GBMS Nirch (Female) (P),27.72950507,69.10557536,Female,Sindh,0,2,0,741
59,GMS Qaim Mochi (Com) (P),27.73764231,69.21653478,Combined,Sindh,2,2,943,668
87,GBPS Junas (Com) (P),27.74103823,69.1533934,Combined,Sindh,2,2,952,703
72,GPS Alam Khan Pitafi (com) (P),27.74510301,69.23234113,Combined,Sindh,2,2,895,662
90,GBPS Mitho Kalhoro(Male),27.74561147,69.1069662,Male,Sindh,2,0,949,0
91,GBPS Mitho Kalhoro(Female),27.74561147,69.1069962,Female,Sindh,0,2,0,711
75,GBPS Katta (Male) (P),27.7466616,69.0551603,Male,Sindh,3,0,1148,0
76,GBPS Katta (Female) (P),27.7466616,69.0551903,Female,Sindh,0,2,0,962
79,GBPS Sorho(Com) (P),27.74955454,69.09573295,Combined,Sindh,2,1,678,531
56,Govt: Middle School Wazeer Malano (Com) (P),27.76953977,69.234001,Combined,Sindh,2,2,921,650
51,GHS Sultanpur (Male) (P),27.7827805,69.181096,Male,Sindh,2,0,1172,0
52,GHS Sultanpur (Female) (P),27.7827805,69.181126,Female,Sindh,0,2,0,1123
85,GHS Haleji Sharif (Male) (P),27.78315082,69.13725696,Male,Sindh,3,0,1243,0
86,GHS Haleji Sharif (Female) (P),27.78315082,69.13728696,Female,Sindh,0,2,0,980
46,GBPS Hasul (Male) (P),27.7867363,69.19174296,Male,Sindh,3,0,1311,0
47,GBPS Hasul (Female) (P),27.7867363,69.19177296,Female,Sindh,0,2,0,992
106,FG Public School Pano Akil (Female) (P),27.78988192,69.116922,Female,Sindh,0,3,0,949
105,FG Public School Pano Akil (Male) (P),27.78988988,69.11692753,Male,Sindh,3,0,1258,0
103,Cantt: Board  (Male) (P),27.80695286,69.14042047,Male,Sindh,3,0,1361,0
104,Cantt: Board  (Female) (P),27.80695332,69.14043062,Female,Sindh,0,3,0,1157
43,GBPS Drib(Com) (P),27.81181201,69.18694974,Combined,Sindh,2,2,805,589
81,GBPS Cheechro (Com) (P),27.81898755,69.24036117,Combined,Sindh,2,2,734,575
53,GBELS Talli (Illlahi Bux Mangi) (Male) (P),27.83440345,69.17042873,Male,Sindh,3,0,1184,0
