StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
127,Govt: Primary School Arab Shaikh Sukkur (Combined) (P),26.4286467,67.8622865,Combined,Sindh,2,2,601,542
137,Govt: Girls Primary School Maindad Khoso Sukkur (Female) (P),26.4286467,67.8623165,Female,Sindh,0,3,0,1204
136,Govt: boys Primary School Maindad Khoso Sukkur (Male) (P),26.4286467,67.8623465,Male,Sindh,3,0,1392,0
157,Govt: Primary School Lal Mashaik Sukkur (Combined) (P),26.4286467,67.8623765,Combined,Sindh,2,2,780,694
1,Ghaznavi Park Maine Road Sukkur (Male) (P),27.6883595,68.8657863,Male,Sindh,4,0,1709,0
76,Govt RHC Bachal Shah Hopital Sukkur (Male) (P),27.68851465,68.83805946,Male,Sindh,3,0,1356,0
77,Govt RHC Bachal Shah Hopital Sukkur(Female) (P),27.68851465,68.83808946,Female,Sindh,0,3,0,1080
78,Govt: Boys Primary School- Dinpur Bachal Shah Maini (Male) (P),27.68865,68.83977,Male,Sindh,4,0,1636,0
81,Govt: Girls Primary School Bachal Shah Maini Sukkur (Combined) (P),27.6887,68.83909,Combined,Sindh,2,2,813,627
34,Govt: Girls Higher Secondary School Berrage Colony Sukkur (Female) (P),27.6887935,68.8550377,Female,Sindh,0,3,0,1440
12,Badul Islam High School Maini Road Sukkur (Female) (P),27.6895642,68.8598814,Female,Sindh,0,4,0,1549
2,Govt: Urdu Primary School Sukkur Nusrat Colony No: 4 - pasham Godum (Female) (P),27.689848,68.8572733,Female,Sindh,0,4,0,1439
9,Govt: Primary School Achar Ghitti Bhutta Road Sukkur (Female) (P),27.6903878,68.8628622,Female,Sindh,0,3,0,1136
82,Govt: Primary School Haji Murad Ali Kharos Sukkur (Male) (P),27.69067194,68.83335879,Male,Sindh,2,0,953,0
83,Govt: Primary School Haji Murad Ali Kharos Sukkur (Female),27.69067194,68.83338879,Female,Sindh,0,2,0,846
75,Govt: Girls High School Bachal Shah Miani Sukkur (Female) (P),27.69131524,68.82991344,Female,Sindh,0,4,0,1496
79,Govt: Girls High School- Bachal Shah Maini (Female) (P),27.69131524,68.82994344,Female,Sindh,0,2,0,1357
84,Govt: High School Bachal Shah Sukkur (Male) (P),27.69131524,68.82997344,Male,Sindh,2,0,861,0
85,Govt: High School Bachal Shah Sukkur (Female) (P),27.69131524,68.83000344,Female,Sindh,0,2,0,705
86,Govt: High School Bachal Shah Sukkur (Male) (P),27.69131524,68.83003344,Male,Sindh,3,0,1189,0
87,Govt: High School Bachal Shah Sukkur (Female) (P),27.69131524,68.83006344,Female,Sindh,0,2,0,972
32,Wapda Middle School Barrage Colony Sukkur (Combined) (P),27.6921099,68.85156,Combined,Sindh,2,2,664,582
31,Govt: Girls Primary School Barrage Colony Sukkur (Female) (P),27.6925118,68.852057,Female,Sindh,0,3,0,1409
30,Govt Double Section High School Sukkur (Male) (P),27.6926072,68.8536991,Male,Sindh,4,0,1698,0
33,Govt: Primary School Boys Barrage Colony Sukkur (Male) (P),27.6929798,68.8528022,Male,Sindh,4,0,1650,0
3,Govt: Primary School (BHA Shah) Sukkur (Male) (P),27.6931961,68.8596005,Male,Sindh,3,0,1061,0
40,Govt: Boys Primry School Shamshabad- Waritar Road Sukkur (Male) (P),27.69438,68.85686,Male,Sindh,3,0,1354,0
41,Govt: Boys Primry School Shamshabad- Waritar Road Sukkur (Male) (P),27.69438,68.85689,Male,Sindh,1,0,564,0
42,Municipal Dispensry Shamsabad Sukkur (Combined) (P),27.69461,68.85756,Female,Sindh,0,4,0,1626
44,Govt: (N) Al-Fallah high School Sukkur (Female) (P),27.6949716,68.8669815,Female,Sindh,0,2,0,558
35,Hafiz Public School Jagerani Muhallah Sukkur (Male) (P),27.6949767,68.8587637,Male,Sindh,2,0,900,0
37,Hafiz Public School Jagerani Muhallah Sukkur (Male) (P),27.6949767,68.8587937,Male,Sindh,2,0,814,0
36,Star Public School  Jagerani Muhallah Sukkur (Female) (P),27.6949767,68.8588237,Female,Sindh,0,2,0,786
38,Star Public School  Jagerani Muhallah Sukkur (Female) (P),27.6949767,68.8588537,Female,Sindh,0,2,0,701
43,Govt: Primary School Main Minara Road Sukkur (Male) (P),27.6950218,68.8670073,Male,Sindh,2,0,664,0
80,Govt: boys Primary School Sadiqia at Sadhoro Shaikh Bachal Shah Maini (Combind),27.69549,68.83102,Combined,Sindh,1,1,478,496
126,Govt: Elementary School Railway Sleeper Factory Sukkur (Female) (P),27.69588,68.84839,Female,Sindh,0,3,0,1224
47,Govt: Boys Elementry School Hussaini Road Sukkur (Male) (P),27.69625672,68.86239583,Male,Sindh,4,0,1548,0
48,Govt: Boys Elementry School Hussaini Road Sukkur (Female) (P),27.69625672,68.86242583,Female,Sindh,0,3,0,1288
39,Maria English Model High School- Waritar Road Near Taj Autos Sukkur (Combined) (P),27.69634,68.85741,Combined,Sindh,2,2,683,603
49,Railway Girls High School (Male) (P),27.69654584,68.86662564,Male,Sindh,3,0,1341,0
56,Railways Oficer Club Sukkkur (Male) (P),27.69669344,68.85577396,Male,Sindh,3,0,1086,0
57,Railways Oficer Club Sukkkur (Female) (P),27.69669344,68.85580396,Female,Sindh,0,2,0,949
58,Railways Oficer Club Sukkkur (Male) (P),27.69669344,68.85583396,Male,Sindh,3,0,1318,0
59,Railways Oficer Club Sukkkur (Female) (P),27.69669344,68.85586396,Female,Sindh,0,3,0,1167
28,Wapda Hospital Sukkur (Male) (P),27.6967702,68.8546651,Male,Sindh,2,0,1030,0
29,Wapda Hospital Sukkur (Female) (P),27.6967702,68.8546951,Female,Sindh,0,2,0,882
54,Govt: Boys High School Minara Road Sukkur (Male) (P),27.6978563,68.8680785,Male,Sindh,4,0,1640,0
55,Govt: Boys High School Minara Road Sukkur  (Female) (P),27.6978563,68.8681085,Female,Sindh,0,3,0,1372
50,Railway Hospital Station Road Sukkur (Female) (P),27.698029,68.8672903,Female,Sindh,0,3,0,1179
51,Railway Hospital Station Road Sukkur (Male) (P),27.698029,68.8673203,Male,Sindh,2,0,1071,0
52,Railway Hospital Station Road Sukkur (Female) (P),27.698029,68.8673503,Female,Sindh,0,2,0,882
53,Railway Hospital Station Road Sukkur (Combined) (P),27.698029,68.8673803,Combined,Sindh,1,1,599,482
60,Exise Office Station Road  Sukkur (Male) (P),27.69818229,68.86220791,Male,Sindh,4,0,1531,0
61,Exise Office Station Road  Sukkur (Female) (P),27.69818229,68.86223791,Female,Sindh,0,3,0,1241
73,Govt: Primary School Allah Wadhayo Kharos (Male) (P),27.69840674,68.8145731,Male,Sindh,3,0,1105,0
74,Govt: Primary School Allah Wadhayo Kharos (Male) (P),27.69840674,68.8146031,Male,Sindh,2,0,744,0
64,Little Angle Public School Race Course Road Sukkur  (Combined) (P),27.69882942,68.86678473,Combined,Sindh,1,1,465,383
4,Govt: Primary School (Bhag-e-Hayat Ali Shah) Sukkur (Male) (P),27.69886,68.84658,Male,Sindh,2,0,875,0
7,SMA Girls School Allah Wali Street Sukkur (Female) (P),27.69886,68.84661,Female,Sindh,0,3,0,1024
15,Deputy Director Office (Food Gudoon)  new Ghoth Sukkur (Male) (P),27.6991895,68.8457228,Male,Sindh,3,0,1273,0
16,Govt: boys Primary School New Ghoth upper Floor Sukkur (Female) (P),27.6991895,68.8457528,Female,Sindh,0,2,0,1014
17,Govt: Girls Elementry Adam Shah Colony Sukkur (Male) (P),27.6991895,68.8457828,Male,Sindh,3,0,1143,0
18,Govt: Girls High School New Goth Ground Floor Sukkur (Female) (P),27.6991895,68.8458128,Female,Sindh,0,2,0,984
19,District Food Controller Office (Anaj Gudoon) New Goth Sukkur (Male) (P),27.6991895,68.8458428,Male,Sindh,3,0,1381,0
20,District Food Controller Office (Anaj Gudoon) New Goth Sukkur (Male) (P),27.6991895,68.8458728,Male,Sindh,2,0,958,0
21,Deputy Director Office (Food Gudoon)  New Ghoth Sukkur (Female) (P),27.6991895,68.8459028,Female,Sindh,0,4,0,1630
27,Govt: Primary School (Boys) Adam Shah Colony Sukkur (Female),27.6991895,68.8459328,Female,Sindh,0,2,0,1008
24,Govt: Elementary School Railway Sleeper Factory Sukkur  (Combined),27.6991895,68.8459628,Combined,Sindh,2,2,892,633
152,Public School Military Road Sukkur (Male) (P),27.7016542,68.8464068,Male,Sindh,3,0,1371,0
153,Public School Military Road Sukkur (Female) (P),27.7016542,68.8464368,Female,Sindh,0,3,0,1152
26,Public School- Military Road Sukkur (Male),27.7016542,68.8464668,Male,Sindh,3,0,1285,0
102,Govt: High School Iqra Pathan Colony Sukkur (Male) (P),27.7023139,68.8587637,Male,Sindh,2,0,1060,0
103,Govt: High School Iqra Pathan Colony Sukkur (Male) (P),27.7023139,68.8587937,Male,Sindh,2,0,1090,0
62,Al Shahbaz Public School Choona Bhatta  New pind Sukkur (Male),27.70253,68.85433,Male,Sindh,2,0,696,0
63,Al Shahnaz Public School Choona Bhatta  New pind Sukkur (Female),27.70266,68.85408,Female,Sindh,0,2,0,635
45,Govt: Islamia Primary School Gurdwara Chowk Sukkur (Male) (P),27.7027031,68.8524296,Male,Sindh,4,0,1473,0
46,Govt: Islamia Primary School Gurdwara Chowk Sukkur (Female) (P),27.7027031,68.8524596,Female,Sindh,0,3,0,1293
22,Govt: Primary Masjid School (Near Harri Masjid) New Goth Sukkur (Combined) (P),27.7027031,68.8524896,Combined,Sindh,2,1,638,522
