StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
68,Govt: Primary School Gosarji Sukkur (Male)(P),26.4286467,67.8622865,Male,Sindh,3,0,1375,0
69,Govt: Primary School Gosarji Sukkur (Female)(P),26.4286467,67.8623165,Female,Sindh,0,3,0,1199
73,Govt: Girls Primary School Tamachani (Female) (P),26.4286467,67.8623465,Female,Sindh,0,3,0,1372
72,Govt: Boys Primary School Tamachani (Male)(P),26.4286467,67.8623765,Male,Sindh,4,0,1519,0
83,Govt: primary Girls School Nasirabad (Female) (P),26.4286467,67.8624065,Female,Sindh,0,3,0,1275
82,Govt: Middle School Nasirabad  (Male) (P),26.4286467,67.8624365,Male,Sindh,4,0,1592,0
109,Govt: Boys Primary School New Yard Colony Rohri (Male)(P),27.6659149,68.9045922,Male,Sindh,2,0,985,0
110,Govt: Boys Primary School New Yard Colony Rohri (Male)(P),27.6659149,68.9046222,Female,Sindh,0,2,0,821
107,Union Council Office Long Bhatti (Male)(P),27.6811775,68.9239989,Male,Sindh,3,0,1126,0
108,Union Council Office Long Bhatti (Female)(P),27.6811775,68.9240289,Female,Sindh,0,2,0,923
115,Veterinary Hospital Rajib Ali Dayo (Com)(P),27.6811775,68.9240589,Combined,Sindh,2,2,837,688
89,Badminton Hall Rohri (Com) (P) (Imrovised),27.6840507,68.8889435,Combined,Sindh,2,2,722,562
91,Town Hall Rohri (Male)(P),27.6840507,68.8889735,Male,Sindh,3,0,1286,0
92,Town Hall Rohri (Female)(P),27.6840507,68.8890035,Female,Sindh,0,3,0,1178
93,Taluka Maternity Hospital Near MC office Rohri (Male)(P),27.6840507,68.8890335,Male,Sindh,4,0,1905,0
94,Taluka Maternity Hopital Near MC office Rohri (Female)(P),27.6840507,68.8890635,Female,Sindh,0,4,0,1512
106,Govt: High School Long Bhatti (Com)(P),27.6849601,68.9034744,Combined,Sindh,2,2,762,577
113,Govt: Boys High School Badal Bakus Rohri (Male)(P),27.6856364,68.8774261,Male,Sindh,2,0,946,0
114,Govt: Boys High School Badal Bakus Rohri (Female)(P),27.6856364,68.8774561,Female,Sindh,0,2,0,704
103,Govt: Boys High School Badal Bakus Rohri (Com)(P),27.6856364,68.8774861,Combined,Sindh,1,1,464,283
111,Govt: Food Lab Rohri (Male)(P),27.6877172,68.8878258,Male,Sindh,3,0,1082,0
112,Govt: Food Lab Rohri (Female)(P),27.6877172,68.8878558,Female,Sindh,0,2,0,897
116,Govt: Boys Primary School Loco Shed Rohri (Male)(P),27.6877172,68.8878858,Male,Sindh,3,0,1059,0
117,Govt: Boys High School Loco Shed Rohri (Female)(P),27.6877172,68.8879158,Female,Sindh,0,3,0,896
118,Govt: Girls Elementary/ Primary School Loco Shed After Railway Crosing Rohri (Male)(P),27.6877172,68.8879458,Male,Sindh,3,0,1303,0
119,Govt: Girls Elementary/ Primary School Loco Shed After Railway Crosing Rohri (Female)(P),27.6877172,68.8879758,Female,Sindh,0,2,0,1080
120,Govt: Girls High School Railway Loco Shed Rohri (Com)(P),27.6887935,68.8990034,Combined,Sindh,1,1,263,205
101,Govt: High School Islamia Shahdado Muhalla Rohri (Male)(P),27.6890246,68.8982582,Male,Sindh,3,0,1402,0
87,Govt: Girls Primary School Qazi Muhallah Upper Municipal Liabrary Rohri (Female)(P),27.6894052,68.8874532,Female,Sindh,0,2,0,940
90,Govt: Primary School Mahindi-Jo-Pir Rohri (Com)(P),27.6894052,68.8874832,Combined,Sindh,2,2,717,597
59,Shoukatul Islam Yateem Khana Bunder Station Jinnah Chowk Sukkur (Female) (P),27.6895053,68.8653862,Female,Sindh,0,2,0,955
61,Shoukatul Islam Yateem Khana Bunder Station Jinnah Chowk Sukkur (Female) (P),27.6895053,68.8654162,Female,Sindh,0,2,0,1086
86,Municipal Liabarary Rohri MPS (Male)(P),27.6895771,68.8863354,Male,Sindh,3,0,1107,0
97,Govt: Primary School Shahdado Muhalla Rohri (Com)(P),27.6907128,68.8978856,Combined,Sindh,2,2,779,738
100,Govt: Primary School Boy Elementry Main School Rohri (Com)(P),27.6907128,68.8979156,Combined,Sindh,1,1,510,428
104,Govt: Girls High School Secondary Rohri (Com)(P),27.6907128,68.8979456,Combined,Sindh,2,1,572,428
58,Rehabillitation Center for Special Childern Bunder Road Sukkur (Male) (P),27.69147475,68.87076538,Male,Sindh,2,0,1112,0
96,Old Taluka Hospital Rohri (Com) (P),27.691702,68.8975131,Combined,Sindh,1,1,264,259
56,Govt: Girls High School Ghat Sukkur (Male) (P),27.6917769,68.8729688,Male,Sindh,2,0,918,0
57,Govt: Girls Primary School Ghat Sukkur (Female) (P),27.6917769,68.8729988,Female,Sindh,0,2,0,821
54,Govt: Islamia Primary School Bunder Station Sukkur (Male) (P),27.6919568,68.8701702,Male,Sindh,2,0,826,0
55,Govt: School Qadira Rizvia Sukkur (Female) (P),27.69223508,68.86940881,Female,Sindh,0,2,0,761
98,Govt: Boys Primary School Islamia Shahdado Muhalla Rohri (Com)(P),27.6926265,68.8945324,Combined,Sindh,1,1,356,357
99,Assistant District Office Rohri (Com)(P),27.6926265,68.8945624,Combined,Sindh,1,1,325,318
88,Sui Southern Gas Company Office Near WAPDA Office Rohri (Com),27.6926857,68.894905,Combined,Sindh,1,1,481,457
102,Union Council Office Rohri (Female) (P),27.6932941,68.8935704,Female,Sindh,0,3,0,1300
52,Saint Sevior High School Sukkur (Male) (P),27.69356785,68.87302489,Male,Sindh,4,0,1456,0
62,PG Male Dispensry Minara Road Sukkur(Male) (P),27.6935751,68.870722,Male,Sindh,4,0,1488,0
53,Saint Sevior High School Sukkur (Female) (P),27.69360978,68.87303886,Female,Sindh,0,3,0,1272
63,Govt: Islamia Shaheed Gunj Sukkur (Female) (P),27.6942754,68.8656101,Female,Sindh,0,3,0,1380
64,Govt. Muslim Elementry School (Bagh-e-Hayat Ali Shah) Sukkur (Male) (P),27.6942906,68.8632348,Male,Sindh,3,0,1303,0
66,Sindhi Employees Social Dispensry Bagh-e-Hayat Ali Shah Sukkur (Male) (P),27.6942906,68.8632648,Male,Sindh,4,0,1542,0
