StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
80,GMS Naseer Fakeer Jalalani (Male),27.19218,68.66868,Male,Sindh,4,0,1265,0
81,GMS Naseer Fakeer Jalalani (Female),27.19219,68.66866,Female,Sindh,0,3,0,1033
90,GHS Talpur Wada (Male),27.19303,68.58714,Male,Sindh,4,0,1747,0
91,GHS Talpur Wada (Female),27.19303,68.58717,Female,Sindh,0,4,0,1441
85,GPS Baqir Bozdar,27.19584,68.66378,Combined,Sindh,2,2,981,848
84,BHU Bago Daro,27.19712,68.64347,Combined,Sindh,1,1,496,439
89,GPS Sohrab Fakeer,27.19714,68.59028,Combined,Sindh,2,2,860,619
82,GHS Noor Bozdar (Male),27.20603,68.66634,Male,Sindh,4,0,1769,0
83,GHS Noor Bozdar (Female),27.20603,68.66637,Female,Sindh,0,4,0,1572
71,GPS Nangreja,27.22553,68.56831,Combined,Sindh,2,2,867,619
86,BHU Babar-I,27.23248,68.63153,Combined,Sindh,2,2,865,747
87,BHU Babar-II,27.23251,68.63156,Combined,Sindh,2,2,1033,890
88,GHS Babar Wada,27.23357,68.63885,Combined,Sindh,2,2,645,556
75,GHS Malhir Pato-I,27.24363,68.67397,Combined,Sindh,2,2,836,613
76,GHS Malhir Pato-II,27.24365,68.67396,Combined,Sindh,2,1,607,424
78,GBPS Ahmed Abad,27.24441,68.65216,Combined,Sindh,1,1,396,333
70,GPS Gous Bakhsh Gaho (Female),27.25868,68.58093,Female,Sindh,0,3,0,1112
69,GPS Gous Bakhsh Gaho (Male),27.25869,68.58092,Male,Sindh,4,0,1380,0
111,GPS Jhnago (Female),27.25933,68.5891,Female,Sindh,0,4,0,1500
110,GPS Jhnago (Male),27.25933,68.58911,Male,Sindh,4,0,1830,0
79,GPS Muhammad Bakhsh Brohi,27.26159,68.64037,Combined,Sindh,2,2,904,766
77,GES Bungul Khan Chandio,27.26707,68.66464,Combined,Sindh,2,2,830,784
73,GPS Bakho Lashari,27.27693,68.65743,Combined,Sindh,2,2,708,610
66,GPS Khan Muhammad Gaho,27.27806,68.56361,Combined,Sindh,1,1,610,487
74,GPS Gul Muhammad Soomro,27.28063,68.6449,Combined,Sindh,2,2,768,632
72,GPS Lal Bakhsh Shanbani,27.28096,68.62021,Combined,Sindh,2,2,703,607
62,GHS Sarai Piyaro Khan,27.29421,68.54784,Combined,Sindh,2,2,971,817
67,GPS Hamzo Solangi (Male),27.2973,68.59769,Male,Sindh,3,0,1184,0
68,GPS Hamzo Solangi (Female),27.2973,68.59772,Female,Sindh,0,2,0,962
63,GPS Girls Laiq Rajpar,27.29804,68.54988,Combined,Sindh,1,1,506,436
