StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
28,GPS Daraza (Male),27.3054,68.51338,Male,Sindh,3,0,1025,0
29,GMS Daraza (Female),27.30545,68.51338,Female,Sindh,0,2,0,865
26,GPS Juneja (Male),27.31243,68.49963,Male,Sindh,4,0,1368,0
27,GPS Juneja (Female),27.31243,68.49966,Female,Sindh,0,3,0,1139
49,GPS Fateh Muhammad Jatoi,27.32407,68.46994,Combined,Sindh,2,2,938,808
4,GPS Station Gambat,27.33929,68.54289,Combined,Sindh,2,2,942,710
5,Govt. Elelmentary School Kazim Abad,27.34727,68.5313,Combined,Sindh,2,2,765,625
6,Govt: Degree College Gambat-I (Male),27.34838,68.5241,Male,Sindh,4,0,1355,0
7,Govt: Degree College Gambat-II (Female),27.34838,68.52413,Female,Sindh,0,3,0,1129
8,GMS Girls Memon Muhalla Gambat-I (Male),27.34854,68.51784,Male,Sindh,3,0,983,0
9,GMS Girls Memon Muhalla Gambat-II (Female),27.34854,68.51787,Female,Sindh,0,2,0,876
10,GHS Girls Gambat (Male),27.35219,68.5216,Male,Sindh,4,0,1726,0
11,GHS Girls (Female),27.35224,68.52158,Female,Sindh,0,4,0,1530
1,GPS Gambat No. 2 (Male),27.35405,68.52157,Male,Sindh,4,0,1686,0
2,GPS Gambat No. 2 (Female),27.35405,68.5216,Female,Sindh,0,4,0,1423
3,GPS Gambat No. 2,27.35405,68.52163,Combined,Sindh,2,1,678,564
12,Govt: Murad High School Gambat (Male),27.35407,68.51974,Male,Sindh,3,0,973,0
17,GHS Murad 2nd Portion (Female),27.35407,68.51977,Female,Sindh,0,4,0,1345
16,Govt: Murad High School 1st Portion (Male),27.35408,68.5197,Male,Sindh,4,0,1692,0
13,Govt: Murad High School Gambat (Female),27.35408,68.51971,Female,Sindh,0,2,0,835
14,GPS Haji Khuda Bux Ujjan (Male),27.35409,68.50961,Male,Sindh,2,0,968,0
