StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
133,Govt. Primary School Gul Gahoo (Male) (P),25.893256171822813,69.1854620760204,Male,Sindh,2,0,845,0
130,GPS Shaikh Muhammad Wassan (Male),25.92491731105444,69.19581967466746,Male,Sindh,3,0,1147,0
126,GMS 18 Mile       (Male) (P),25.931538858783888,69.16494893915139,Male,Sindh,3,0,919,0
127,GMS 18 Mile       (Male) (P),25.931692280716838,69.16525830738847,Male,Sindh,4,0,1160,0
121,GHS Pir Bux Rajar (Comb) (T),25.940082841325452,69.07869647982373,Combined,Sindh,2,2,906,761
123,Govt. Primary School Ghulam Mustafa Rajar (Female) (P),25.94104231936403,69.07904248632516,Female,Sindh,0,3,0,910
128,Govt Primary School Muhammad Hassan Chandio (Female) (T),25.94251810138778,69.15801809917953,Female,Sindh,0,2,0,772
129,Govt Primary School Muhammad Hassan Chandio (Female) (T),25.94251810138778,69.1580480991795,Female,Sindh,0,3,0,893
67,Govt. Primary School Misri Faqir Rajar (Comb) (T) (Partially improvised).,25.948322519901364,69.25374644482561,Combined,Sindh,2,2,549,525
124,Govt. Primary School Bagh Khan Jatoi (Male) (T),25.953915865641456,69.05963121061849,Male,Sindh,3,0,1097,0
125,GPS Din Muhammad Chandio (Comb) (P) (Partially improvised).,25.95491015030058,69.13824045208476,Combined,Sindh,2,2,606,523
66,Govt. Primary School Ismail Rajar (Comb) (P),25.955902213660906,69.2593909563987,Combined,Sindh,2,2,631,519
64,Govt. Middle School Dhani Parto Rajpar (Male) (P) (Partially improvised).,25.95764116207344,69.10837724550592,Male,Sindh,2,0,902,0
72,Govt. Primary School Rakhail Rajar (Comb) (P) (Partially improvised).,25.964575299518827,69.26566920414348,Combined,Sindh,2,2,494,426
122,GPS Yousif Muhajir (Comb) (Partially improvised).,25.968082923572087,69.06661399199636,Combined,Sindh,2,2,664,521
75,GPS Haji Esso Jatoi (Comb) (T) (Partially improvised).,25.970253823866948,69.03964195065295,Combined,Sindh,1,1,437,368
68,Govt. Primary School Haji Pir Bux Rajar (Male) (P),25.988267225013434,69.23823831593928,Male,Sindh,2,0,811,0
69,Govt. Primary School Haji Pir Bux Rajar (Female) (P),25.988267225013434,69.2382683159393,Female,Sindh,0,2,0,720
71,BHU Tando Mitha Khan (P) @ GPS Tando Mitha Khan.,25.991397365291885,69.20357587134806,Combined,Sindh,2,2,729,620
35,Health Center Dilbar Nizamani (Comb) (T),26.008228116352775,68.93390507122923,Combined,Sindh,2,2,768,648
36,Govt Primary School Dilbar Khan Nizamani (T),26.00852192489013,68.93542722918674,Combined,Sindh,1,1,419,390
70,Govt. Primary School Syed Ghulam Nabi Shah (Comb) (T) (Partially improvised).,26.01227236968623,69.17724991008036,Combined,Sindh,1,1,267,222
43,Govt. Primary School Pir Shahib Ji Landhi (Comb) (P),26.017580821305426,69.00194062939218,Combined,Sindh,2,1,462,446
13,Govt. Primary School Police Line Sanghar (Male)  (P),26.037253526966083,68.95069527581374,Male,Sindh,4,0,1708,0
