StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
52,Govt. Primary School Ch. Muhammad Din (Male).,25.89544525027227,68.64300804029334,Male,Sindh,4,0,1890,0
53,Govt. Primary School Ch. Muhammad Din (Female).,25.895517845089998,68.64309859096548,Female,Sindh,0,4,0,1409
66,Govt. Primary School Ghulam Hyder Bhagrani (Combined)    .,25.8971491215373,68.58582830928107,Combined,Sindh,2,2,645,614
47,Govt. Primary School Ch. Muhammad Hanif Shd. (Female) .,25.900928353212706,68.6133457748113,Female,Sindh,0,4,0,1636
46,Govt. Primary School Ch. Muhammad Hanif Shd. (Male).,25.901052119687407,68.61387051443728,Male,Sindh,4,0,1938,0
64,Govt. Primary School Allah Bachayo (Male).,25.905594131994764,68.59415705726076,Male,Sindh,2,0,855,0
65,Govt. Primary School Allah Bachayo (Female).       (IMPROVISED),25.905594131994764,68.5941870572608,Female,Sindh,0,2,0,848
61,Govt. Primary School Haji Kashkali (Combined).,25.908676366977627,68.59768944072248,Combined,Sindh,2,2,628,532
67,Govt. Primary School Sultan Kapri (Combined).,25.91084973123724,68.55599175125589,Combined,Sindh,1,1,407,395
16,Govt. Girls Digree College Shahadadpur  (Male) .,25.9219304,68.6131554,Male,Sindh,3,0,1059,0
17,Govt. Girls Digree College Shahadadpur  (Male)   .,25.9219304,68.6131854,Male,Sindh,3,0,1091,0
18,Govt. (Prov.) High School Shahdadpur (Female)  .,25.9219304,68.6132154,Female,Sindh,0,3,0,969
27,Municipal Office Shahdadpur (Male).,25.9219304,68.6132454,Male,Sindh,4,0,1317,0
28,Municipal Office Shahdadpur (Male)   .      (partly IMPROVISED),25.9219304,68.6132754,Male,Sindh,3,0,1112,0
29,Municipal Office Shahdadpur (Female).,25.9219304,68.6133054,Female,Sindh,0,4,0,1757
30,Govt. (Prov.) Boys High School Shahdadpur (Male).,25.9219304,68.6133354,Male,Sindh,3,0,1104,0
31,Govt. (Prov.) Boys High School Shahdadpur (Female).,25.9219304,68.6133654,Female,Sindh,0,3,0,848
10,Govt.  Vocational Institute Shahdadpur (Female).,25.9240226,68.6156823,Female,Sindh,0,4,0,1306
11,Govt.  Vocational Institute Shahdadpur (Female)           .,25.9240226,68.6157123,Female,Sindh,0,4,0,1590
12,Govt. Girls Primary School Mahi Bukhtawar Shahdadpur (Male).,25.9240226,68.6157423,Male,Sindh,4,0,1558,0
13,Govt. Girls Primary School Mahi Bukhtawar Shahdadpur (Male)        .,25.9240226,68.6157723,Male,Sindh,4,0,1907,0
21,Municipal KG School Shahdadpur (Female)   .,25.9246517,68.6203401,Female,Sindh,0,3,0,1370
20,Municipal KG School Shahdadpur (Male).,25.924786673835385,68.61929800051458,Male,Sindh,4,0,1808,0
