StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
167,GOVT. GIRLS PRIMARY SCHOOL  KAMIL PANHWER (FEMALE) (P) Part-I,25.50697,69.01724,Female,Sindh,0,2,0,970
168,GOVT. GIRLS PRIMARY SCHOOL  KAMIL PANHWER (FEMALE) (P) Part-II,25.50697,69.01727,Female,Sindh,0,2,0,590
165,GOVT.  HIGH SCHOOL PANHWER COLONY (MALE) (P) Part-I,25.50757,69.01539,Male,Sindh,3,0,1131,0
166,GOVT.  HIGH SCHOOL PANHWER COLONY (MALE) (P) Part-II,25.50757,69.01542,Male,Sindh,2,0,662,0
169,GOVT. HIGH SCHOOL PANHWER COLONY (MALE) (T),25.50757,69.01545,Male,Sindh,4,0,1272,0
160,GOVT. GIRLS HIGH SCHOOL CAMPUS  SAT: TOWN MIRPURKHAS (FEMALE) (P),25.51028,69.01389,Female,Sindh,0,3,0,1015
170,PUBLIC HEALTH OFFICE( FEMALE) (T),25.51115,69.01167,Female,Sindh,0,3,0,1104
161,GOVT.PRIMARY SCHOOL QUID MILLAT (MALE) (P) Part-I,25.51264,69.01748,Male,Sindh,3,0,980,0
162,GOVT.PRIMARY SCHOOL QUID MILLAT (MALE) (P) Part-II,25.51264,69.01751,Male,Sindh,2,0,756,0
163,GOVT: MODDLE K.G (FEMALE) (T) Part-I,25.51282,69.01701,Female,Sindh,0,2,0,873
164,GOVT: MODDLE K.G (FEMALE) (T) Part-II,25.51282,69.01704,Female,Sindh,0,2,0,608
159,GOVT. HIGH SCHOOL QUID MILLAT (MALE) (P),25.51285,69.0174,Male,Sindh,3,0,1215,0
155,GOVT. PRIMARY SCHOOL  JINNAH (FEMALE) (P) Part-I,25.51346,69.01376,Female,Sindh,0,2,0,775
156,GOVT. PRIMARY SCHOOL  JINNAH (FEMALE) (P) Part-II,25.51346,69.01379,Female,Sindh,0,2,0,696
185,Zarai Taraqiati  Bank Limited (FEMALE) (T),25.51379,69.0109,Female,Sindh,0,3,0,1055
187,Zarari Taraqiati Bank Limited (FEMALE) (P),25.51379,69.01093,Female,Sindh,0,3,0,1113
153,INCOM TEX OFFICE (MALE) (P) Part-I,25.51414,69.01291,Male,Sindh,2,0,934,0
154,INCOM TEX OFFICE (MALE) (P) Part-II,25.51414,69.01294,Male,Sindh,2,0,801,0
158,VOCATIONAL CENTER (FEMALE) (P),25.51433,69.0167,Female,Sindh,0,3,0,1028
157,GCIT S.TOWN (MALE) (P),25.51435,69.01749,Male,Sindh,3,0,1097,0
25,GOVT: PRIMARY SCHOOL CH: BAGHDIN (P) PART-01( Male ),25.51484,69.07243,Male,Sindh,2,0,783,0
184,GOVT: PRIMARY SCHOOL WEHDAD COLONY (MALE) (P),25.5153,69.0062,Male,Sindh,4,0,1368,0
186,GOVT: GIRLS PRIMARY SCHOOLGHULSAHN COLONY (MALE) T),25.51531,69.00605,Male,Sindh,4,0,1433,0
179,GOVT: GIRLS HIGH  SECONDARY SCHOOL  BHANSINGHABAD (FEMALE) (P),25.51618,69.0136,Female,Sindh,0,3,0,1012
178,GOVT. GIRLS PRIMARY SCHOOL BHANSINGHABAD (MALE) (P),25.51619,69.01387,Male,Sindh,3,0,1204,0
176,GOVT: IQRA HIGH  SECONDARY SCHOOL : (FEMALE) (P) Part-I,25.51664,69.01464,Female,Sindh,0,2,0,841
177,GOVT: IQRA HIGH  SECONDARY SCHOOL : (FEMALE) (P) Part-II,25.51664,69.01467,Female,Sindh,0,2,0,865
174,GOVT: IQRA HIGH  SECONDARY SCHOOL : (MALE) (P) Part-I,25.51689,69.01469,Male,Sindh,2,0,1083,0
175,GOVT: IQRA HIGH  SECONDARY SCHOOL : (MALE) (P) Part-II,25.51689,69.01472,Male,Sindh,3,0,1075,0
172,GOVT.  MIDDLE SCHOOL ADIL (FEMALE) (P),25.51697,69.01405,Female,Sindh,0,2,0,881
173,GOVT.  MIDDLE SCHOOL ADIL (Comb) (P),25.51697,69.01408,Combined,Sindh,2,1,618,551
151,BASIC HEALTH UNIT SCHEME#2 (FEMALE) (P) Part-I,25.51698,69.01791,Female,Sindh,0,2,0,776
152,BASIC HEALTH UNIT SCHEME#2 (FEMALE) (P) Part-II,25.51698,69.01794,Female,Sindh,0,2,0,911
171,GOVT. PRIMARY SCHOOL ADIL (MALE) (P),25.51715,69.01382,Male,Sindh,3,0,1054,0
26,GOVT: PRIMARY SCHOOL GULSHER KHAN LUND( Female),25.51721,69.0707,Female,Sindh,0,2,0,666
145,XEN OFFICE WAPDA (MALE) (T) Part-I,25.51783,69.02018,Male,Sindh,4,0,1265,0
146,XEN OFFICE WAPDA (MALE) (T) Part-II,25.51783,69.02021,Male,Sindh,2,0,1099,0
149,REVENUE OFFICE WAPDA (MALE) (P) Part-I,25.51818,69.02032,Male,Sindh,2,0,962,0
150,REVENUE OFFICE WAPDA (MALE) (P) Part-II,25.51818,69.02035,Male,Sindh,2,0,1074,0
51,GOVT: GIRLS PRIMARY SCHOOL FRUIT FARM DEH 109 (P) PART-01( Male ),25.51941,68.99941,Male,Sindh,3,0,1035,0
52,GOVT: GIRLS PRIMARY SCHOOL FRUIT FARM DEH 109 (P) PART-02( Female ),25.51941,68.99944,Female,Sindh,0,2,0,812
183,GOVT: COMP HIGHER SECONDARY SCHOOL TECHNICAL BLOCK  (FEMALE) (P),25.52001,69.00679,Female,Sindh,0,4,0,1605
182,GOVT:.COMPREHENSIVE H.SEC: (MALE) (P),25.52004,69.00673,Male,Sindh,4,0,2030,0
147,GOVT. PRIMARY SCHOOL  WALKART (FEMALE) (T)Part-I,25.5204,69.01865,Female,Sindh,0,3,0,1158
148,GOVT. PRIMARY SCHOOL  WALKART (FEMALE) (T)Part-II,25.5204,69.01868,Female,Sindh,0,2,0,852
49,GOVT: PRIMARY SCHOOL MIR MOHAMMAD LAGHARI DEH 108 (T) PART-01(  Male ),25.52135,68.97168,Male,Sindh,3,0,1078,0
50,GOVT: PRIMARY SCHOOL MIR MOHAMMAD LAGHARI DEH 108 (T) PART-02 (Female ),25.52135,68.97171,Female,Sindh,0,2,0,851
181,GOVT: PRIMARY SCHOOL  MIR ALLAH BACHAYO COLONY (FEMALE) (P),25.52141,69.00391,Female,Sindh,0,3,0,1035
143,GOVT.MIDDLE SCHOOL RAILWAY (MALE) (P),25.52291,69.02013,Male,Sindh,4,0,1540,0
39,GOVT: PRIMARY SCHOOL BHITTARO (P)(Comb),25.52299,68.94136,Combined,Sindh,1,1,434,348
144,OLD POWER HOUSE (FEMALE) (T),25.52304,69.01592,Female,Sindh,0,4,0,1324
