StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
93,GBPS- Makhdoom Ghulam Hyder (Landhi) (Male),25.7754,68.38702,Male,Sindh,2,0,723,0
94,GBPS Makhdoom Ghulam Hyder (Landhi) (Female),25.7754,68.38705,Female,Sindh,0,2,0,632
103,GBPS- Khanoth (Male),25.77543,68.3868,Male,Sindh,4,0,1267,0
104,Govt Dispansary - Khanoth (Female),25.77543,68.38683,Female,Sindh,0,4,0,1224
95,GHS- Hala Old (Male),25.79443,68.39182,Male,Sindh,4,0,1789,0
97,GBHS Hala Old (Male),25.79443,68.39185,Male,Sindh,4,0,1198,0
96,GGHS- Hala Old (Female),25.79443,68.39188,Female,Sindh,0,3,0,1472
98,GGHS Hala Old (Female),25.79443,68.39191,Female,Sindh,0,3,0,1002
102,GGPS- Sarwari colony Hala Old (Female),25.79654,68.38845,Female,Sindh,0,2,0,546
101,GBPS- Hala Old Mohd Rafiqe-ul Zaman (Male),25.7967,68.38846,Male,Sindh,2,0,602,0
99,GBPS- Mulla Sanai (Gul Mohd Qureshi) (Male),25.79815,68.39021,Male,Sindh,2,0,487,0
100,GGPS- Mulla Sanai (Gul Mohd Qureshi) (Female),25.79822,68.38984,Female,Sindh,0,2,0,458
122,GBPS- Saleem Rahu (Combined),25.80002,68.46234,Combined,Sindh,2,2,732,616
123,GBPS Saleem Rahu (Combined),25.80002,68.46237,Combined,Sindh,1,1,396,339
107,GBHSS Bhit Shah (Male),25.80012,68.49048,Male,Sindh,4,0,1594,0
109,GBC Bhit Shah (Male),25.80012,68.49051,Male,Sindh,2,0,741,0
111,GBC- Bhit Shah (Male),25.80012,68.49054,Male,Sindh,2,0,1051,0
105,GBHSS- Bhit Shah (Male),25.80012,68.49057,Male,Sindh,4,0,1426,0
115,GBPS- Shah Abdul Latif Bhitai- (Male),25.80095,68.49034,Male,Sindh,3,0,980,0
117,GBPS Shah Abdul Latif Bhitai (Male),25.80095,68.49037,Male,Sindh,2,0,941,0
113,Rural Health Center Bhit Shah (Male),25.80477,68.48721,Male,Sindh,2,0,807,0
114,Rural Health Center Bhit Shah (Female),25.80477,68.48724,Female,Sindh,0,2,0,648
110,GBPS Dargah Sharif Bhit Shah (Female),25.80533,68.4906,Female,Sindh,0,2,0,544
112,GBPS-Dargah Sharif Bhit Shah (Female),25.80533,68.49063,Female,Sindh,0,2,0,796
108,GGHS (Female),25.8058,68.4883,Female,Sindh,0,3,0,1232
106,GGHS- Bhit Shah (Female),25.8058,68.48833,Female,Sindh,0,3,0,1144
116,GBPS- Ali Wali-un- Waliullah.- Bhit Shah (Female),25.80583,68.49637,Female,Sindh,0,2,0,841
118,GBPS Ali Wali-un- Waliullah Bhit Shah (Female),25.80583,68.4964,Female,Sindh,0,2,0,714
8,GBPS- Makhdoom Piniladho Hala (Female),25.80606,68.41779,Female,Sindh,0,3,0,1031
29,GBPS- Makhdoom Piniladho- Hala (Combined),25.80617,68.41756,Combined,Sindh,2,2,686,551
7,O/C Talib-ul- Moula School-II (Male),25.80806,68.42139,Male,Sindh,3,0,1151,0
19,GGMS- Makhdoom Nooh Hala-II (Male),25.80903,68.42167,Male,Sindh,2,0,1186,0
12,GGPS- Talib-ul- Moula Colony- Hala (Female),25.80927,68.41802,Female,Sindh,0,2,0,980
14,GGPS- Talib-ul- Moula Colony- Hala (Female),25.80927,68.41805,Female,Sindh,0,2,0,784
20,GGPS- Mukhdoom Saeed-ul-Zaman (Female),25.81061,68.42242,Female,Sindh,0,2,0,986
13,GBPS Abdul Raheem Arbab (Male),25.811,68.41783,Male,Sindh,2,0,731,0
11,Govt. Vocational Institute- Hala (Male),25.81136,68.41414,Male,Sindh,3,0,1354,0
9,GBPS- Memon Mohallah (Male),25.81137,68.41409,Male,Sindh,2,0,738,0
18,GGHS-Hala (Female),25.81259,68.41811,Female,Sindh,0,3,0,1144
10,GBPS Muslim Anjum Front Side (Female),25.81326,68.41725,Female,Sindh,0,2,0,714
16,GBPS-Muslim Anjum Hala Back Side  (Female),25.81356,68.41712,Female,Sindh,0,2,0,657
15,Special Education School- Hala (Male),25.81359,68.41665,Male,Sindh,2,0,724,0
17,GBPS- Makhdoom Mohd Zaman (Male),25.81375,68.41872,Male,Sindh,3,0,1085,0
21,MGHS- Hala New (Male),25.81514,68.42365,Male,Sindh,2,0,717,0
22,MGHS- Hala New (Female),25.81514,68.42368,Female,Sindh,0,2,0,669
23,MGHS- Hala New (Male),25.81514,68.42371,Male,Sindh,2,0,748,0
24,MGHS- Hala New (Female),25.81514,68.42374,Female,Sindh,0,2,0,747
25,MGHS- Hala New (Male),25.81514,68.42377,Male,Sindh,2,0,941,0
26,MGHS- Hala New (Female),25.81514,68.4238,Female,Sindh,0,2,0,771
27,MGHS- Hala New (Male),25.81514,68.42383,Male,Sindh,2,0,655,0
28,MGHS- Hala New (Female),25.81514,68.42386,Female,Sindh,0,2,0,559
32,Sarwari Islamia Degree Collage Hala (Male),25.81539,68.42712,Male,Sindh,3,0,1110,0
33,Sarweri Islamia Degree Collage Hala (Female),25.81539,68.42715,Female,Sindh,0,3,0,1034
34,Sarweri Islamia Degree Collage Hala (Male),25.81539,68.42718,Male,Sindh,3,0,1114,0
35,Sarweri Islamia Degree Collage Hala (Female),25.81539,68.42721,Female,Sindh,0,3,0,1060
36,Sarweri Islamia Degree Collage Hala (Male),25.81539,68.42724,Male,Sindh,2,0,896,0
37,Sarwari Islamia Degree Collage Hala (Female),25.81539,68.42727,Female,Sindh,0,3,0,747
38,Sarwari Islamia Degree College (Male),25.81539,68.4273,Male,Sindh,2,0,679,0
39,Sarwari Islamia Degree College (Female),25.81539,68.42733,Female,Sindh,0,2,0,574
3,GGDC- Hala (Male),25.81613,68.41768,Male,Sindh,2,0,678,0
4,GGDC- Hala (Female),25.81613,68.41771,Female,Sindh,0,2,0,616
5,GGDC- Hala (Male),25.81613,68.41774,Male,Sindh,3,0,1009,0
6,GGDC- Hala (Female),25.81613,68.41777,Female,Sindh,0,2,0,879
73,GPS Rahound (Combined),25.81877,68.43569,Combined,Sindh,2,2,519,458
124,GBPS-Mehmood Thaheem (Combined),25.82419,68.51653,Combined,Sindh,2,2,942,858
121,Agricultural Office  (Combined),25.82528,68.42805,Combined,Sindh,1,1,421,289
1,GBPS- Wapda Colony (Male),25.82627,68.41437,Male,Sindh,3,0,1154,0
2,GBPS- Wapda Colony (Female),25.82627,68.4144,Female,Sindh,0,3,0,1048
120,GBPS- Wasi Murad Shah (Combined),25.83,68.4882,Combined,Sindh,2,2,505,503
71,GBPS Shah Muhammad Dahri (Combined),25.83235,68.44365,Combined,Sindh,2,2,744,752
72,GGPS Shah Muhammad  Dahri (Combined),25.83333,68.44222,Combined,Sindh,1,1,382,329
30,GBPS- Sandhan (Male),25.83334,68.41832,Male,Sindh,3,0,994,0
31,GGPS- Sandhan (Female),25.83609,68.41601,Female,Sindh,0,3,0,912
