StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
96,GBPS- Jam Samoon (Combined),25.45787,68.5709,Combined,Sindh,2,2,652,622
94,GBHS- Tajpur (Male),25.47026,68.59201,Male,Sindh,4,0,2313,0
95,GBHS- Tajpur (Female),25.47059,68.59184,Female,Sindh,0,4,0,2024
88,GBPS-Suleman Khatian (Combined),25.47425,68.53974,Combined,Sindh,2,2,587,471
89,GBMS- Arif Khatian (Combined),25.4807,68.55324,Combined,Sindh,1,1,576,520
58,GBPS Mustaq Hajano (combined),25.49028,68.41695,Combined,Sindh,1,1,258,213
84,GBHS Allah Dino Sandh (Combined),25.50155,68.51937,Combined,Sindh,2,2,605,522
85,GBHS Allah Dino Sandh (Combined),25.50155,68.5194,Combined,Sindh,2,1,548,418
86,GBPS- Allah Dino Sand (Combined),25.50184,68.52048,Combined,Sindh,2,2,589,558
87,GBPS Allah Dino Sand (Combined),25.50184,68.52051,Combined,Sindh,2,2,556,436
92,GBLSS- Sanghar Soomro (Combined),25.50542,68.5847,Combined,Sindh,2,2,537,407
93,GBLSS Sanghar  Soomro (Combined),25.50542,68.58473,Combined,Sindh,1,1,289,197
55,GBPS-Ghulam Hyder Joya(Combined),25.51139,68.48139,Combined,Sindh,2,2,674,552
82,GBHS- Shahpur Darpur (Combined),25.51637,68.55407,Combined,Sindh,2,2,848,747
83,GBHS  Shapur Darpur (Combined),25.51637,68.5541,Combined,Sindh,1,1,394,353
80,GBPS- Shahpur Darpur (Combined),25.51667,68.55278,Combined,Sindh,2,2,823,752
81,GBPS Shapur Darpur (Combined),25.51667,68.55281,Combined,Sindh,1,1,263,194
57,GBPS- Dalel Mangrio (Combined),25.51917,68.47056,Combined,Sindh,2,2,643,549
90,GBPS- Abdullah Unar(Combined),25.52644,68.58556,Combined,Sindh,2,1,452,383
56,GBLSS- Penar Hampota (Combined),25.53121,68.4968,Combined,Sindh,2,2,626,447
50,GBPS-Jaindal Kot (Combined),25.5341,68.46158,Combined,Sindh,2,1,364,288
51,GGPS Jaindal Kot (Combined),25.53444,68.46167,Combined,Sindh,2,2,712,553
91,GBPS Abdullah Chutto (Combined),25.54,68.58778,Combined,Sindh,2,1,470,400
52,GBPS- Jumma Khan Khosa (Combined),25.54549,68.49712,Combined,Sindh,2,2,539,433
44,GBPS Soomar Chand (Male),25.54903,68.44389,Male,Sindh,2,0,917,0
45,GBLSS Soomar Chand (Female),25.54944,68.44389,Female,Sindh,0,2,0,862
53,GPS Kot Farooque (Combined),25.55464,68.52299,Combined,Sindh,2,1,512,413
48,GBPS Dodo Mangwano (Combined),25.5549,68.48071,Combined,Sindh,2,2,619,578
49,GDLSS- Shaikh Teer (Combined),25.55529,68.46722,Combined,Sindh,2,1,622,469
78,GBPS  Kanbho Khan Batti (Combined),25.55556,68.57389,Combined,Sindh,2,1,462,385
77,GBPS- Bux Batti (Combined),25.55713,68.57677,Combined,Sindh,2,1,490,387
74,GBHSS-Palejani (Combined),25.5621,68.5671,Combined,Sindh,2,1,418,408
75,GBHSS Palijani (Combined),25.5621,68.56713,Combined,Sindh,2,2,706,529
46,GBPS Memon Ji Wasi (Combined),25.56539,68.43652,Combined,Sindh,2,2,498,561
54,GBPS Mosque School Suleman Khaskheli (Combined),25.5675,68.56001,Combined,Sindh,2,2,609,534
71,GBPS- Palijani (Combined),25.56764,68.55987,Combined,Sindh,1,1,347,367
72,GBPS Palijani (Combined),25.56764,68.5599,Combined,Sindh,2,2,530,423
73,GBPS- Ahmed Khan Detho alias Lal Khan Batti (Combined),25.56955,68.55529,Combined,Sindh,2,1,455,362
79,GBPS- Aloo Palijo (Combined),25.57275,68.58646,Combined,Sindh,2,2,583,501
76,GBPS- Muhib Palijo (Combined),25.57276,68.60771,Combined,Sindh,2,1,435,362
47,GGPS Qasim ji Wasi (Combined),25.57428,68.47898,Combined,Sindh,2,1,485,434
59,GBPS- Hafiz Ali Muhammad Detho (Combined),25.57609,68.55121,Combined,Sindh,2,2,558,485
60,GBPS Hafiz Ali Muhammad Detho(Combined),25.57609,68.55124,Combined,Sindh,2,1,478,370
69,GBPS Jumo Faqeer Barejo (Combined),25.58133,68.6134,Combined,Sindh,1,1,405,302
64,GBPS- Hussain Bhambhro (Combined),25.58316,68.49017,Combined,Sindh,2,2,597,484
143,GBPS Hala Haveli (Combined),25.58361,68.64861,Combined,Sindh,2,2,566,474
42,GBPS Sahib Sama (Male),25.58491,68.43512,Male,Sindh,2,0,736,0
43,GBPS Sahib Sama (Female),25.58491,68.43515,Female,Sindh,0,2,0,613
40,GGPS Dato Bhatti (Combined),25.58585,68.45123,Combined,Sindh,3,3,1089,972
65,GBPS  Kot Sadiq Memon (Combined),25.58805,68.50333,Combined,Sindh,2,2,764,630
70,GBPS- Ayoub Barejo (Combined),25.58854,68.60503,Combined,Sindh,2,2,606,480
41,GBPS Rasheed Tagar (Combined),25.59397,68.46905,Combined,Sindh,1,1,545,474
17,GBPS Kachi Mohallah (Combined),25.59513,68.44096,Combined,Sindh,2,2,603,539
6,GGHS-Matiari (Female),25.59519,68.44492,Female,Sindh,0,2,0,855
5,UC office Matirai (Male),25.59524,68.44183,Male,Sindh,3,0,989,0
4,Govt: Girls College Matiari (Female),25.59551,68.44455,Female,Sindh,0,2,0,481
2,Govt: Girls College Matiari (Female),25.59551,68.44458,Female,Sindh,0,2,0,624
8,Govt. Girls College- Matiari (Female),25.59551,68.44461,Female,Sindh,0,2,0,703
14,GGC- Matiari (Female),25.59551,68.44464,Female,Sindh,0,3,0,913
16,GGC Matiari (Female),25.59551,68.44467,Female,Sindh,0,2,0,810
10,GGPS- Matiari (Female),25.59558,68.44482,Female,Sindh,0,1,0,147
12,GGPS Matiari (Female),25.59558,68.44485,Female,Sindh,0,3,0,1081
11,GBPS Main Matiari (Male),25.5956,68.44489,Male,Sindh,4,0,1283,0
