StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
139,SDO Irrigation Office (Combined),24.89828,68.81081,Combined,Sindh,1,1,465,408
144,Government Primary School  Bachal Chang (Combined),24.91756,68.65183,Combined,Sindh,1,1,364,324
138,Government Primary School  Koro Khan Lashari (Combined),24.92086,68.77961,Combined,Sindh,2,2,719,622
145,Government Primary School  Alam Khan Chang (Combined),24.93436,68.65429,Combined,Sindh,1,1,514,475
141,Government Girls Primary School  Mehar Khan Laghari (Combined),24.9498,68.63885,Combined,Sindh,2,2,566,480
119,Government Primary School  Ghulam Rasool Shah (Combined),24.95318,68.58158,Combined,Sindh,1,1,409,364
146,Government Primary School  Ghamani Khaskheli (Combined),24.95615,68.71399,Combined,Sindh,2,2,669,589
120,Government Primary School  Ahmed Khan Laghari (Combined),24.96336,68.58405,Combined,Sindh,1,1,393,340
133,Government Girls Primary School  Tando Ghulam Hyder (Combined),24.96668,68.67867,Combined,Sindh,1,1,448,341
132,Government High School  Tando Ghulam Hyder (Combined),24.96869,68.67467,Combined,Sindh,1,1,623,473
109,Government Primary School  Juman Behrani (Combined),24.97139,68.59952,Combined,Sindh,1,1,647,507
135,Government High School  Dando (Male),24.9728,68.76207,Male,Sindh,3,0,1238,0
137,Government Primary School  Dando (Combined),24.97294,68.76256,Combined,Sindh,2,1,624,491
143,Government Primary School  Azizullah Nizamani (Combined),24.9745,68.65312,Combined,Sindh,1,1,293,223
136,Government Girls Primary School  Dando (Female),24.97476,68.76311,Female,Sindh,0,3,0,1144
142,Government Primary School  Rahm Ali Chang (Combined),24.98156,68.66251,Combined,Sindh,2,1,578,476
134,Government Primary School  Gul Muhammad Bohar (Combined),24.98234,68.70378,Combined,Sindh,1,1,603,489
100,Government Primary School  Ali Muhammad Bagrani (Female),24.98503,68.56279,Female,Sindh,0,3,0,963
148,Government Primary School  Hakeemani Syed (Combined),24.99258,68.72773,Combined,Sindh,1,1,289,247
121,Government Primary School  Rab Dino Notkani (Combined),24.99372,68.64049,Combined,Sindh,2,2,579,513
147,Government Primary School  Chhuto Laghari (Combined),25.00184,68.70188,Combined,Sindh,2,1,531,405
131,Government Primary School  Wahid Dino Jagsi (Combined),25.00244,68.66944,Combined,Sindh,2,2,623,499
99,Government Primary School  Khair Muhammad Magsi (Male),25.00252,68.56773,Male,Sindh,3,0,1164,0
91,Government High School  Lakhat (Male),25.00371,68.51906,Male,Sindh,3,0,1063,0
92,Government Primary School  Lakhat (Female),25.00426,68.51953,Female,Sindh,0,3,0,902
116,Government Primary School  Haji Soomar Bhatti (Combined),25.00431,68.59742,Combined,Sindh,1,1,360,289
118,Government Girls Primary School  Haji Soomar Bhatti (Combined),25.00473,68.59693,Combined,Sindh,1,1,385,269
95,Government Health Center Nango Shah (Female),25.006317032891975,68.57133160113335,Female,Sindh,0,2,0,758
94,Government Primary School  Nango Shah (Male),25.007358206198703,68.57208794651787,Male,Sindh,3,0,969,0
98,Government Primary School  Haji Siddique Kalhoro (Female),25.00851,68.54998,Female,Sindh,0,2,0,752
117,Government Primary School  Darya Khan Warrar (Combined),25.01447,68.59776,Combined,Sindh,1,1,424,344
97,Government Primary School  Muhammad Hassan Vighamal (Male),25.01566,68.54978,Male,Sindh,3,0,1064,0
90,Government Primary School  Haji Tharo Zaur (Combined),25.01682,68.52312,Combined,Sindh,2,2,660,555
128,Government Primary School  Abdul Rehman Jagsi (Combined),25.01684,68.64682,Combined,Sindh,1,1,263,254
130,Government Middle School  Dhani Parto Khaskheli (Combined),25.01883,68.67896,Combined,Sindh,1,1,449,378
96,Government Primary School  Siddique Zaunr (Combined),25.02458,68.54182,Combined,Sindh,2,1,512,390
123,Government Primary School  Bhai Khan Jat (Combined),25.02545,68.64167,Combined,Sindh,2,1,472,449
127,Government Girls Primary School  Bhai Khan Jat (Combined),25.02548,68.64033,Combined,Sindh,2,2,622,476
93,Government Primary School  Ibrahim Khoso (Combined),25.03602,68.56934,Combined,Sindh,2,2,738,663
124,Government Boys High School  Matli II (Combined),25.03624,68.65384,Combined,Sindh,2,1,600,507
125,Government Boys High School  Matli II (Combined),25.03624,68.65387,Combined,Sindh,1,1,513,402
126,Government Primary School  Mohd Hassan Kalro (Combined),25.03742,68.64751,Combined,Sindh,1,1,214,187
105,Government Primary School  Gohram Wassan (Male),25.03829,68.52183,Male,Sindh,3,0,1178,0
106,Government Girls Primary School  Gohram Wassan (Female),25.03885,68.52238,Female,Sindh,0,3,0,998
112,UC Office Nazar Pur (Combined),25.04884,68.62502,Combined,Sindh,1,1,602,498
111,Government Girls Primary School  Nazar Pur (Combined),25.0489,68.62531,Combined,Sindh,1,1,210,174
113,Government Primary School  Nazar Pur (Combined),25.04966,68.62365,Combined,Sindh,1,1,626,564
101,Government Primary School  Fateh Pur (Male),25.057050554809784,68.56066038004698,Male,Sindh,4,0,1200,0
102,Government Primary School  Fateh Pur (Female),25.057050554809784,68.560690380047,Female,Sindh,0,3,0,919
115,Government Primary School  Taj Muhammad Keerio (Combined),25.06616,68.60352,Combined,Sindh,1,1,425,389
