StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
120,GPS (G) Jahan Khan (Female),27.80472,68.75443,Female,Sindh,0,3,0,936
118,GPS (B) Loung Labano,27.80572,68.69626,Combined,Sindh,1,1,356,309
116,GMS (B) Dodo,27.8077,68.75298,Combined,Sindh,2,2,968,797
124,GPS (B) Aghan Mahar,27.81035,68.80405,Combined,Sindh,2,2,766,601
123,GPS (B) Beechanji,27.81068,68.79255,Combined,Sindh,2,1,680,470
74,GPS (B) Nooro (Male),27.82571,68.76332,Male,Sindh,4,0,1365,0
75,GPS (B) Nooro (Female),27.82571,68.76335,Female,Sindh,0,3,0,1148
80,GPS (B) Bud Goth,27.82702,68.79755,Combined,Sindh,1,1,411,360
76,Office Zarai Farm SSC Lakhi (Male),27.82889,68.7267,Male,Sindh,3,0,1201,0
95,GPS (B) Hazrat Hambah (Male),27.83143,68.78387,Male,Sindh,3,0,1292,0
79,GPS (B) Morani,27.83697,68.79679,Combined,Sindh,2,1,462,411
88,GBPS Nimoro (Female),27.83837,68.79169,Female,Sindh,0,3,0,911
77,GPS (B) HA Karim Mahar (Female),27.84031,68.71987,Female,Sindh,0,3,0,933
78,GPS (B) Bhirkan,27.84276,68.79471,Combined,Sindh,2,2,998,735
83,GPS (B) Khahi,27.8455,68.81182,Combined,Sindh,2,1,608,497
85,GPS (B) Abdul Ghafoor Chahcar (Female),27.84652,68.82556,Female,Sindh,0,2,0,899
81,GPS (B) Hothi (Male),27.84795,68.80463,Male,Sindh,4,0,1264,0
97,GPS (B) Sarfoo,27.84866,68.85962,Combined,Sindh,2,1,531,452
82,GGPS Hothi (Female),27.84891,68.80249,Female,Sindh,0,3,0,1037
68,GPS Burira Muhalla Lakhi Town (Female),27.85246,68.7019,Female,Sindh,0,2,0,1140
103,UC: Office Vill: Arif Abad,27.8566,68.70064,Combined,Sindh,2,1,516,440
111,GPS (B) Unar (Male),27.85908,68.6982,Male,Sindh,4,0,1315,0
109,GPS (B) Jeo Mahar,27.86057,68.73254,Combined,Sindh,2,2,660,536
98,GPS (B) Fateh Tando,27.86119,68.83648,Combined,Sindh,2,2,599,564
86,GGPS Nimoro,27.86133,68.76163,Combined,Sindh,2,2,733,746
107,GPS (B) Wazirabad (Male),27.8618,68.70873,Male,Sindh,3,0,1084,0
108,GPS (G) Wazirabad (Female),27.86219,68.70894,Female,Sindh,0,3,0,961
87,BHU Nimoro (Male),27.8637,68.76134,Male,Sindh,3,0,1129,0
138,GPMS Ghazi Khan Mahar,27.86514,68.88093,Combined,Sindh,1,1,547,487
96,GPS (G) Hazrat Hambah (Female),27.86813,68.83704,Female,Sindh,0,2,0,1031
135,GPS (B) Andlani,27.87466,68.84406,Combined,Sindh,2,2,728,651
110,GPS (B) Chaho Labano,27.87922,68.72948,Combined,Sindh,2,2,608,582
134,GPS (B) Dharani,27.88253,68.84882,Combined,Sindh,2,2,929,837
112,GPS (B) Unar (Female),27.88605,68.69424,Female,Sindh,0,3,0,919
113,GPS (B) Sikandar Mahar,27.89189,68.73386,Combined,Sindh,2,2,781,739
137,GPS (B) Isso Tanwri,27.89707,68.79495,Combined,Sindh,2,2,807,837
114,GPS Saddullah Naper,27.90126,68.72667,Combined,Sindh,2,2,933,796
102,GPS (B) Masiti,27.91652,68.6981,Combined,Sindh,2,1,554,496
104,GPS (B) Gabar Junejo,27.91901,68.73808,Combined,Sindh,2,2,823,868
106,GPS (B) Baijlo (Female),27.92429,68.77922,Female,Sindh,0,3,0,1117
141,GPS (G) Amil Goth,27.9256,68.90765,Combined,Sindh,2,2,555,537
140,GPS (B) Amail,27.92713,68.90767,Combined,Sindh,2,1,581,505
29,GPS(Boys) Mehmooda Bagh (Female),27.92936,68.87579,Female,Sindh,0,4,0,1478
129,GPS (B) Sadiq Ji Wandh,27.92998,68.81574,Combined,Sindh,2,2,984,823
28,GHS: Tando Ali Sher(Male),27.93324,68.87544,Male,Sindh,4,0,1653,0
139,GPS (B) Qubo Jami,27.94234,68.84803,Combined,Sindh,2,2,803,719
100,GPS Taib  (Female),27.94554,68.72939,Female,Sindh,0,3,0,1208
99,GPS Taib  (Male),27.94554,68.72942,Male,Sindh,3,0,1267,0
101,Basic Health Unit Taib,27.94596,68.72993,Combined,Sindh,2,2,677,744
