StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
75,Al Jadoon Public School Rindh Goth,24.83778,67.24111,Combined,Sindh,2,2,776,506
83,Panchayat Office near Police Station Quaidabad (Kashmiri Mohallah),24.83843,67.21503,Combined,Sindh,2,2,1167,594
73,TCF School Labour Colony- Cattle Colony,24.84071,67.26183,Combined,Sindh,2,2,1238,686
74,TCF School Juma Himayati Labour Colony,24.84071,67.26186,Combined,Sindh,2,2,1269,737
80,Govt. Girls Collage near Metro Politon Steel Landhi,24.84192,67.22608,Combined,Sindh,2,2,1853,1132
81,Govt. Girls Collage near Metro Politon Steel Landhi,24.84192,67.22611,Combined,Sindh,2,1,546,182
65,Allama Iqbal School Zafar Town,24.84508,67.22898,Combined,Sindh,2,2,1421,755
66,Allama Iqbal School Zafar Town,24.84508,67.22901,Combined,Sindh,2,2,1657,943
68,Shumaila Public School Qazafi Town,24.8459,67.22681,Combined,Sindh,2,2,900,486
69,Shumaila Public School Qazafi Town,24.8459,67.22684,Combined,Sindh,2,1,599,396
70,Shumaila Public School Qazafi Town,24.8459,67.22687,Combined,Sindh,2,2,1255,853
78,Baldia Dispensary Dawood Challi,24.84647,67.21707,Combined,Sindh,2,2,879,528
79,DMC School No.16 Dawood Challi,24.84656,67.21664,Combined,Sindh,2,2,1331,878
76,DMC School No.18 Taouheedabad,24.84676,67.21374,Combined,Sindh,2,1,647,420
77,DMC School No.18 Taouheedabad,24.84676,67.21377,Combined,Sindh,2,2,1155,627
84,DMC School Ghulam Muhammad Dosal near Telephone Exchange 89 Landhi,24.84744,67.20724,Combined,Sindh,2,2,1253,839
85,DMC School Ghulam Muhammad Dosal near Telephone Exchange 89 Landhi,24.84744,67.20727,Combined,Sindh,2,2,1106,632
101,Sadiq Public School Water Pump Muhammad Nagar,24.84907,67.20528,Combined,Sindh,2,2,957,652
102,Sadiq Public School Water Pump Muhammad Nagar,24.84907,67.20531,Combined,Sindh,2,2,1055,721
72,New Oxford School Qazafi Town,24.84939,67.22461,Combined,Sindh,2,2,1117,518
82,Tameer-e-Millat School Mehran Highway,24.84988,67.22807,Combined,Sindh,2,2,917,458
98,GBSS Dawood Chowrangi,24.8502,67.20676,Combined,Sindh,2,2,965,605
99,DMC School No.23 Dawood Chowrangi,24.8502,67.20679,Combined,Sindh,2,2,1129,716
116,GBSS Pir Bux Village,24.85067,67.1793,Combined,Sindh,2,2,1238,949
118,GBSS Pir Bux Village,24.85067,67.17933,Combined,Sindh,2,2,1084,908
9,GBPS Ghousia at Pir Mehfooz Ghazi Town,24.85067,67.17936,Combined,Sindh,2,2,637,494
71,P.F Public School Qazafi Town,24.8514,67.22467,Combined,Sindh,3,1,798,423
117,GBPS Raees Gul Muhammad,24.85146,67.18667,Combined,Sindh,2,2,806,533
114,GBPS Naik Muhammad Village,24.85221,67.16834,Combined,Sindh,2,2,1657,1218
119,GBSS Naik Muhammad Village,24.85221,67.16837,Combined,Sindh,2,2,1588,751
97,Baldia Dispensary Moinabad Future Colony,24.85233,67.20057,Combined,Sindh,2,2,936,594
67,GBPS Sindhi Jamat Society Quaidabad,24.85265,67.24242,Combined,Sindh,2,2,1056,359
100,Dr. Ghulam Hussain Public School Moinabad,24.85283,67.20868,Combined,Sindh,2,2,917,521
60,GBPS Quiadabad Near SSP Office (Trafic) Quaidabad,24.8539,67.21227,Combined,Sindh,2,2,661,402
94,GBLSS Roomi Future Colony,24.85394,67.20073,Combined,Sindh,2,2,1204,724
95,GBLSS Roomi Future Colony,24.85394,67.20076,Combined,Sindh,2,2,1335,797
59,TCF School Quaidabad,24.85412,67.20902,Combined,Sindh,2,2,928,546
115,GBPS Hashim Goth,24.85438,67.19817,Combined,Sindh,2,2,962,661
113,GBPS Jalal Murad,24.85504,67.17124,Combined,Sindh,2,2,808,585
105,Baldia Elementary School Mansehra Colony,24.85569,67.19115,Combined,Sindh,2,2,1216,827
107,Baldia Elementary School Mansehra Colony,24.85569,67.19118,Combined,Sindh,2,2,922,518
108,Baldia Elementary School Mansehra Colony,24.85569,67.19121,Combined,Sindh,2,2,933,532
111,Baldia School Lal Kothi Mansehra Colony,24.85569,67.19124,Combined,Sindh,2,2,1278,795
89,White Rose Public School Future Colony,24.85591,67.20255,Combined,Sindh,2,2,1179,804
96,Ideal Montessori Secondary School Future Colony,24.85612,67.20197,Combined,Sindh,2,2,1159,746
93,Super Star English School Mansehrah Colony,24.85684,67.20037,Combined,Sindh,2,2,842,561
106,GBPS Mansehra Colony,24.8573,67.19154,Combined,Sindh,2,2,1408,846
103,New Robi Public School "F" Area Future Colony,24.85751,67.1991,Combined,Sindh,2,2,988,696
104,New Robi Public School "F" Area Future Colony,24.85751,67.19913,Combined,Sindh,2,2,1257,843
92,Nadia Public School,24.85809,67.19629,Combined,Sindh,2,2,1395,958
61,Grace Public School Gulistan Society,24.85846,67.20771,Combined,Sindh,2,2,766,563
62,Grace Public School Gulistan Society,24.85846,67.20774,Combined,Sindh,2,2,932,616
63,Allied Public School Gulistan Society,24.85865,67.20502,Combined,Sindh,2,2,1106,784
64,Allied Public School Gulistan Society,24.85865,67.20505,Combined,Sindh,2,2,621,425
110,Al Hadi Secondary School Mansehra Colony,24.8592,67.20277,Combined,Sindh,2,1,581,311
109,DMC School Samdani Town Mansehra Colony,24.86054,67.20152,Combined,Sindh,2,2,1051,590
90,DMC School No.24 Future Colony,24.86054,67.20155,Combined,Sindh,2,2,1463,993
91,DMC School No.24 Future Colony,24.86054,67.20158,Combined,Sindh,2,2,1213,873
112,GBPS Haji Shah Ali,24.8652,67.1624,Combined,Sindh,2,2,679,550
41,GBPS Ghulam Muhammad Goth,24.86833,67.20187,Combined,Sindh,2,2,952,717
39,Prince Ali Boys Secondary School,24.86921,67.19985,Combined,Sindh,2,2,1035,849
40,Axion Grammar School Gulshan-e-Qaderi,24.87165,67.19867,Combined,Sindh,2,2,1190,965
42,GBLSS Sher Muhammad Goth,24.87392,67.20616,Combined,Sindh,2,2,1224,1011
31,GGSS Chittai Ground,24.87711,67.19461,Combined,Sindh,2,2,810,663
35,GGSS Chittai Ground,24.87711,67.19464,Combined,Sindh,2,2,763,650
32,Iqra Bilal Academy Muslimabad near Chittai Ground,24.8772,67.19408,Combined,Sindh,2,2,831,634
34,GGSS Gul-e-Rana Asu Village,24.87877,67.19441,Combined,Sindh,2,2,693,616
47,GGSS Gul-e-Rana Asu Village,24.87877,67.19444,Combined,Sindh,2,2,495,416
43,UC Office - Ghazi Dawood Brohi Malir City (Combined),24.87918,67.19446,Combined,Sindh,2,2,1019,777
44,UC Office - Ghazi Dawood Brohi Malir City (Combined),24.87918,67.19449,Combined,Sindh,2,2,849,630
50,Ever Green Secondary School Malir,24.87924,67.19433,Combined,Sindh,2,2,1089,810
33,GBPS Asu Village (Sindhi),24.87926,67.19462,Combined,Sindh,2,2,453,353
49,Childern Valley English School Moula Ram Compound,24.87944,67.19495,Combined,Sindh,2,2,444,377
36,GBPS Ghazi Brohi,24.87953,67.19203,Combined,Sindh,2,2,779,666
11,Y.M Grammar School Ghazi Town,24.88007,67.20639,Combined,Sindh,2,2,1013,732
12,GBSS Asu Village Ghazi town,24.88011,67.20488,Combined,Sindh,2,2,716,537
48,KMC School No. 04 & 05 Moula Ram Compound,24.88021,67.19546,Combined,Sindh,2,2,614,552
45,DMC School No.04 & 05 Dawood Goth,24.88186,67.19342,Combined,Sindh,2,2,617,508
46,DMC School No.04 & 05 Dawood Goth,24.88186,67.19345,Combined,Sindh,2,2,448,382
53,Al Ghazali Institute Ghazi Town,24.88212,67.20187,Combined,Sindh,2,2,557,426
51,Qamar Bani Hashim Husnain Society,24.88369,67.19582,Combined,Sindh,2,2,693,654
52,Qamar Bani Hashim Hasnain Society,24.88369,67.19585,Combined,Sindh,2,2,886,827
56,Qamar Bani Hashim Jaffar-e-Tayyar Society 908,24.88369,67.19588,Combined,Sindh,2,2,922,800
