StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
112,SUN RISE CHILDREN ACADEMY F-S 24/5 NEAR NAFEES BANGLOWS,24.88886,67.19835,Combined,Sindh,2,2,952,710
113,SUN RISE CHILDREN ACADEMY F-S 24/5 NEAR NAFEES BANGLOWS,24.88886,67.19838,Combined,Sindh,2,2,1099,905
92,AL-BADAR SCHOOL G- AREA .,24.88923,67.19471,Combined,Sindh,2,2,825,619
111,GOVT MONO TECH BOYS URDU NAGAR,24.89439,67.20018,Combined,Sindh,2,2,1202,1028
103,DEGREE SCIENCE COLLEGE KHOKHRAPAR MALIR,24.89926,67.20536,Combined,Sindh,2,2,796,602
131,G.B.P.S. RAFA-E-AAM BALA- SABIR COLONY,24.90049,67.20496,Combined,Sindh,2,2,812,685
118,GBPS FEROZ ISLAMIA KHOKHRAPAR,24.90084,67.20914,Combined,Sindh,2,2,825,684
129,QUAID-E-AZAM ENGLISH MEDIMUM SCHOOL 14 & 15,24.90087,67.20186,Combined,Sindh,2,2,782,680
130,QUAID-E-AZAM ENGLISH MEDIUM SCHOOL 14 & 15,24.90087,67.20189,Combined,Sindh,2,2,620,502
132,HAPPY HOME PUBLIC SCHOOL LAL QUARTER H AREA (PRIVATE),24.90111,67.20349,Combined,Sindh,2,2,707,620
122,PAK PUBLIC G.B.S.S. MODEL COLONY MALIR KHOKHRAPAR,24.90199,67.21461,Combined,Sindh,2,2,1316,1082
126,FAISAL CHILDREN ACADEMY  OPPOSITE SINDH GOVERMENT HOSPITAL,24.90333,67.21045,Combined,Sindh,2,2,900,630
115,G.B.S.S.  JINNAH SQUARE HADRI MISSION IMAM BARGHA,24.90344,67.2086,Combined,Sindh,2,2,752,648
114,G.B.P.S F-AREA HADRI MISSION IMAM BARGHA,24.90346,67.20822,Combined,Sindh,2,2,675,605
116,G.B.P.S. F-1 AREA HADIR MISSION IMAM BARGHA,24.90346,67.20825,Combined,Sindh,2,2,827,729
117,G.B.S.S. JINNAH SQUARE HADRI MISSION IMAM BARGHA,24.90364,67.20862,Combined,Sindh,2,2,1100,1015
121,AKHTER G.B.S.S. MALIR KHOKHRAPAR,24.90386,67.21523,Female,Sindh,0,2,0,1433
124,AKHTER G.B.S.S. MALIR KHOKHRAPAR,24.90386,67.21526,Combined,Sindh,2,2,939,745
125,SHAFAQ PUBLIC SCHOOL D AREA KHOKHRAPAR,24.90634,67.20979,Combined,Sindh,2,2,715,641
127,AL MUBIN GRAMMER SCHOOL- D AREA KHOKHRAPAR,24.9082,67.21291,Combined,Sindh,2,2,1063,862
